OVAの,10年後の異邦人
阿笠,歩美君は今も探偵団バッヂを持っていたからの。いざとなればこれで位置を確認できる
哀,ありがとう博士。行ってくるわ
阿笠,うむ、気を付けてな
哀,いっちゃん、お願いがあるの
新一,ん？
哀,彼女には、私だけで会いたいの。2人で同時に行っても混乱させてしまうし、それに......
新一,......分かった。何となく聞いちゃいけない話があるんだな
哀,ええ。ごめんなさい
新一,良いさ。きっと蘭の時は逆になるからな。待ってるよ。終わったら連絡してくれ
哀,ありがとう。宜しくね。着いたわね
新一,ああ、さっき借りた追跡メガネで位置を確認するか。......間違いないな。あそこから反応がある。尤も、何かにつけてあるだけかも知れないから、歩美本人とは限らないけどな
哀,ええ。ありがとう
新一,何だよ？
哀,いえ、メガネ姿のあなたを久々見たなと
新一,そういや、そうだな
哀,お陰で楽になったわ。行って来る。何かあったら連絡するから
新一,ああ。気を付けてな
哀,......ふぅ
？？？,はい、どちらさまですか？
哀,すみません、こちらは吉田歩美さんのお宅で間違いないでしょうか？
？？？,記者の方ですか？申し訳ありませんが、今日はお休みなので......
哀,......やっぱり、分からないわよね
？？？,......？
哀,覚えているかしら、吉田さん。灰原。灰原哀よ
？？？,......！！
歩美,ハァ、ハァ、あ、哀ちゃん？本当に哀ちゃん？
哀,......ええ。本当よ。灰原哀よ。久し振りね
歩美,あ、哀ちゃん......。哀ちゃんっ！！。どこ行ってたの？心配したんだから！！急にいなくなっちゃって、連絡も取れなくて！本当に寂しかったんだから！！
哀,ごめんね。ごめんね......
歩美,良かった。本当に良かった、哀ちゃんが無事で......。よかったよぉぉ......。......ご、ごめんね。もう大丈夫
哀,ええ......
歩美,......エヘヘ、嬉しいな。また哀ちゃんに会えて。でも、突然どうしたの？
哀,ちょっと、その......。話がしたくて
歩美,とにかく上がって！今パパもママもいないし
哀,良いの？
歩美,もちろん！さ、上がって！
哀,じゃあ、お邪魔します
歩美,さ、座って座って
哀,ありがとう。それにしても、吉田さんはすっかり大人っぽくなったわね。とてもキレイになったわ
歩美,エヘヘ、ありがとう！哀ちゃんもとってもステキだよ！凄い美人さん！。でも良かった。たまたま今日お休みで。あ、私今芸能界で働いてるんだよ！
哀,ええ。TVで拝見させて貰ったわ。頑張ってるのね
歩美,うん、ありがとう！コナン君も......。何処かで見てくれたかなあ
哀,......
歩美,2人が突然転校しちゃった時はとっても寂しかったけど、きっと事情があるんだって。そう思って頑張って来たんだ！芸能界に入ったのは、何処にいてもきっと見てくれる様にって思ったんだよ！
哀,......
歩美,だから、哀ちゃんが来てくれて本当に嬉しいんだよ！本当にありがとう！
哀,......私にはお礼を言われる資格なんて無い
歩美,哀ちゃん......？
哀,吉田さん。いえ、歩美ちゃん。私は今日、あなたに謝らなきゃいけない事があってここに来たの
歩美,謝る？突然いなくなった事なら全然気にしないで！こうしてまた会えたんだし
哀,違うの。そうじゃないの......
歩美,......大丈夫だよ、哀ちゃん。話して
哀,歩美ちゃん......
歩美,哀ちゃんがこんなに辛そうな顔するなんてよっぽどの事だもん。話して。何があっても、私は大丈夫だから
哀,聞けばきっと、頭が混乱するわ。それに、きっと苦しい思いをする
歩美,大丈夫。どんな事だって。だって私達、友達だもん！
哀,！！
歩美,嫌な事があっても、辛くても一緒にいられるのが友達だもん！だから大丈夫。何があっても平気だし、哀ちゃんを嫌いになったりしないよ
哀,......歩美ちゃん。ありがとう。話すわ。まず、1つ聞きたいんだけど、私の姿を見て違和感を覚えなかった？
歩美,違和感？それは、とってもキレイになって......。あ、でも思った。大人っぽいと言うかちょっと大人過ぎるかなって
哀,そう。あなたの感じた通りよ。私は実際にあなたより歳上。江戸川君もね
歩美,コナン君も？どういう事？哀ちゃんはコナン君が今どうしてるか知っているの？
哀,ええ。それも踏まえた話になるけれど、大丈夫かしら
歩美,うん......。聞きたい。コナン君がどうしてるか。もう私の事なんか忘れてるかも知れないけど、聞きたい。教えて！
哀,分かった。まず言っておくと、灰原哀と言う人間も江戸川コナンと言う人間もこの世には......。存在しない
歩美,哀ちゃんとコナン君が、存在しない......？
哀,正確に言えば、灰原哀と江戸川コナンとは仮の姿。本当の姿では無いの
歩美,どういう事？訳が分からなくなって来ちゃったよ......
哀,ここから先は、他言無用でお願いしたいのだけど......。尤も、世間が聞いても誰も信じないし、あなたにも信じて貰えるかは分からないけど......
歩美,うん、分かった
哀,ありがとう。例えば......。歩美ちゃんが、今の記憶を持ったまま小学生に戻れるとしたら？
歩美,え？
哀,元々大人だった人間が、何らかの力で身体が小学生に戻ってしまったら？そんな人間が、小学生の中に紛れていたとしたら？
歩美,そんなぁ、そんな事出来る訳......が......。ま、まさか......
哀,そう。そのまさかよ。私と江戸川君は大人だった人間がとある事情により身体を子供に戻されてしまったの。あなた達と出会った時、私の本当の歳は18歳。つまり、今の年齢は28歳。だからあなたには私が大人びて見えた
歩美,じゃあ、コナン君も？
哀,ええ。とあるトラブルに巻き込まれ、私達は元の名前を隠し灰原哀。そして、そのトラブルを解決して私達は元の身体を取り戻した。だから、もう哀もコナンもこの世にはいない。この心の中には、生き続けているけどね
歩美,そう、なんだ......
哀,信じてくれるの？
歩美,うん。驚いてはいるけど......。哀ちゃんが嘘を付くとは思えないし、考えてみたら2人とも私達より余りにも大人っぽかったし。そう思うとかえって納得しちゃった
哀,確かに。繕って見ても、私達は浮いていたのは事実ね......
歩美,アハハ、そうだね！そっか。じゃあコナン君はとりあえず元気なんだね
哀,ええ......
歩美,じゃあコナン君は今、何をしているの？
哀,......それは、私達の本名を知れば分かるわ。......彼の本当の名前は、工藤新一
歩美,！！
哀,そして、私の本当の名前は......。宮野志保
歩美,......工藤、新一さん。確か蘭お姉さんのお友達？。今、サッカーの日本代表の......
哀,......ええ
歩美,確か、この間もTVに......。TV？。ちょっと待って......？確か、奥さんの名前も出てた。奥さんの名前は、確か、確か......。志保、さん......。じゃあ、じゃあ哀ちゃんは......。ひょっとして......？
哀,......そう。私は彼と結婚したの
歩美,！！
哀,数年前、私は彼と結婚した。あなた方と別れる少し前に、私は彼と思いを通じる事が出来た。そして、トラブルが解決した時。私達はあなた方に黙って姿を消した
歩美,......
哀,あなた方はまだ小さかったし、とても私達の現状を理解出来ないと思ったから。思いを伝えるのを躊躇して、そのまま姿を消してしまった
歩美,......
哀,ごめんなさい、今更こんな事を言って。本当は分かってるの。あの時本当はせめてあなたには真実を伝えるべきだったと。彼を深く愛していたあなたには、真実を伝えるべきだったって。でも私は黙って逃げて。あなたの想いを知っていながら彼を愛して結婚した。理由はどうあれ、親友であるあなたを私は裏切った。あなたの彼への愛は小学生と言う年齢を遥かに越えた深いものだった。それを私は踏みにじった。決して許される事では無いと思ってる。今更ノコノコとあなたの前に現れた事も。謝って済む話では無いけれど、せめて謝ろうと今日ここに来たの。ごめんなさい......。許してなんて言わない。本当に、ごめんなさい......
歩美,......良かった！
哀,えっ......？
歩美,だって今、哀ちゃんもコナン君も幸せに暮らしてるんでしょ？
哀,え、ええ......
歩美,なら全然謝る事なんか無いよ！
哀,な、何故？
歩美,だって、今まで何処に行ったかも分からないお友達2人が生きている事が分かって、幸せに暮らしてるって分かったんだもん！嬉しいに決まってるよ！
哀,歩美ちゃん......。で、でも私はあなたを裏切って......
歩美,ダメダメ！そうやって暗くなるのは哀ちゃんの悪いクセだよ！
哀,！！
歩美,......確かに私はコナン君が大好き。それは今も変わらないよ。でも、それよりも私はコナン君が笑顔でいてくれるなら、それが1番嬉しい！
哀,歩美ちゃん......
歩美,だから、哀ちゃん。苦しまないで。自分を責めないで。私が2人を恨むなんて、ありえない。哀ちゃんはいつも笑って、幸せでいて。そしてコナン君を幸せにしてあげて。私を気にして苦しむより、そうしてくれた方がずっとずっと良い。哀ちゃんとコナン君は私の大切な大切な......。お友達だから！
哀,歩美ちゃん、あなたは......
そして小さく,ありがとう、哀ちゃん
歩美,......もう行っちゃうの？
哀,ええ。色々まだ、しなきゃいけない事があるから
歩美,そっか。ね、ちゃんと教えたアドレス。登録してね！そしたらいつでも連絡出来るから！
哀,ええ。ありがとう。歩美ちゃん？本当に彼に会わなくて良いの？
歩美,うん。今会っても何話したら良いか分かんないし。私が1流の女優さんになったら、その時は挨拶に行くから！1流選手の新一さんに！
哀,そう。分かったわ。彼にそう伝えるわ
歩美,ありがとう。ね、哀ちゃん？
哀,何？
歩美,最後に、伝えて欲しいの。コナン君
哀,......分かったわ。何と伝えたら良いかしら
歩美,うん。あのね、今までもこれからも......。私はコナン君をずっとずっと大好きだよって。そして、ありがとう。元気でねって。そして、そして......。さようならって。そう伝えて欲しいの
哀,分かったわ。必ず伝える
歩美,ありがとう、哀ちゃん
哀,じゃあ、元気でね
歩美,うん。またね！
哀,ええ。また、いつか
歩美,......さよなら。コナン君
哀,......
歩美ちゃんは,コナン
つまりそれは、真実を知っても自分の中で私は変わらず,灰原哀
新一,お、お帰り。どうだった？
哀,ええ。とりあえず自分の気持ちは話せたわ。彼女の強さと優しさに救われたわ
新一,そうか。アイツ、強かったか
哀,ええ。私なんかより遥かにね。下手をすれば、あなたよりも
新一,そうか。いつの日か、俺からも気持ちを伝えられればな......
哀,それには及ばないわ。彼女からの伝言よ。いつか私が1流の女優さんになったら、1流の選手の新一さんに挨拶に行くから、と
新一,アイツ、そんな事を......
哀,そして、もっと大事な事を頼まれたわ
新一,え？
哀,......コナン君。そして、あなたが笑顔でいる事が、何より嬉しいと。そう言っていたわ
新一,バーロー、もっと怒って良いのによ......。こんな俺なんかを......。気遣いやがって......。......いつか俺は、歩美の前に立った時に。胸を張って会えるだろうか
哀,それは、今後次第よ。彼女との約束をしっかりと果たす事が出来れば、自ずと答えは出ると思うわ。勿論、2人で一緒に。彼女に報告出来る様に頑張りましょう。私達は、幸せだよ。って
新一,......哀も、強くなったな
哀,え？
新一,歩美の家に向かう前とは、まるで別人だぜ。壁を乗り越えたって感じだよ
哀,そう、かしら......
新一,ああ。哀は逃げなかった。次は、俺の番だな......
哀,......とりあえず、帰りましょうか
新一,ああ、そうだな
哀,ただいま
阿笠,おお、お帰り。どうじゃった？
哀,ええ。100%の解決かは分からないけど、お互いの気持ちは話せたわ
阿笠,そうか。その表情ならそれなりに上手くいった様じゃな。何よりじゃよ
新一,ああ。だが、俺の方がまだ終わってねぇ。蘭に会うって課題が残ってる
阿笠,うむ。しかし、言いにくい事じゃが......。彼女に会うのはちと難儀かも知れんぞ？
哀,どう言う事？
阿笠,新一も全国レベルで有名な人間じゃから目立つが、蘭君も今やこの町ではかなり有名人なんじゃ。そんな2人が揃うと目立ち過ぎる
新一,蘭が有名人？どうして？
阿笠,蘭君の会社はとある全国レベルの大会社なんじゃが、ある時たまたま会社の側でひったくりが起きた。それを蘭君は空手で撃退したんじゃ。すると、その様をたまたま会社の社長が見ておってな。蘭君を会社のキャンペーンガールに起用すると同時に秘書として登用したんじゃよ。ま、キャンペーンガールと言ってもパンフレットとかを飾るレベルに過ぎんが。まあ、そんな出来事がシンデレラストーリーとして地元メディアで持て囃されてな。更に落ち目だと言えあの眠りの小五郎の娘と言う事、社会人空手で全国制覇した事などのオマケも付いてな。米花町では下手なアイドルより有名人じゃよ
哀,......何とも彼女らしいエピソードね
新一,そんな事になってるなんて全く知らなかったぜ、サッカー選手になってからあんまりTVとかもチェックしなくなったしな......
阿笠,まあ、兎も角じゃ。そんな有名人をこれまた有名人の工藤新一が目立たん様に呼び出すとなるとなかなか困難じゃよ。下手に密会してる等と噂を立てられても困るじゃろ
哀,確かにね。下手にあなたが人目に出て行く訳にもいかないしね。彼女が目立たない様にこちらに来てくれるのがベストなんだけど
新一,だな。だが、電話やメールではイタズラと思われるか、態度を硬化される恐れがあるしな。参ったぜ......
哀,滞在日数にも限りがあるし......
阿笠,それに、彼女は結婚を控えた身じゃ。この機を逃せば忙しくて接触は無理じゃろう
新一,......しゃーない。アイツに頼んで見るか
哀,アイツに？
新一,俺の代わりに目立たず蘭に接触出来て、尚且つ怪しまれず呼び出せるヤツにさ
哀,そんな都合の良い人間、いる訳が無いじゃない？
新一,いるだろ？誰にでも姿を変え、どこにでも幻の様に現れるヤツが
阿笠,ま、まさか？！
哀,それって......。怪盗キッド？！
新一,そう。正解だ
哀,ちょっと待ってよ。彼はあなたの宿敵じゃない！手を貸してくれるとは思えないわ。大体、どうやって連絡を取る気？不可能よ
新一,一応あるぜ。連絡手段なら
哀,え？
新一,博士。ちょっとパソコン借りるぜ
阿笠,あ、ああ。構わんが
哀,一体何を？
新一,昔、ベルツリー急行でキッドに哀の姿に変装して貰った事があるだろう？それがきっかけでアイツと協定を結んだ事があるんだ
哀,協定？
新一,俺達は互いに追いかけている組織があった。だから、その敵が関わる事件なら休戦して解決しようって決めたのさ。で、その時に決めた連絡手段が使えれば......
哀,彼に連絡出来るかも知れない、と言う事ね
新一,ああ。良し、これだ
阿笠,これは......。SNSの掲示板かの？
新一,ああ。ここにあるキーワードを打ち込めば......
阿笠,何と書いてあるんじゃ？
哀,エル、ロック......。ショルメ？何？これは？
新一,エルロック・ショルメってのは、モーリス・ルブランの書いた小説アルセーヌ・ルパン対シャーロック・ホームズの主人公の名前さ
哀,え？でもホームズ対ルパンなんでしょ？何故名前が違うの？
新一,この本の、そしてルパンシリーズの作者であるルブランはフランス人。だがシャーロック・ホームズはイギリスの名探偵だ。ルブランは怪盗対名探偵と言う世紀のビッグマッチを思い付いたは良いが、フランスの本にイギリスの探偵であるホームズをそのまま出すのはいらない軋轢を生む恐れがあった。そこで、シャーロック・ホームズと言う名前の文字を並び替えたアナグラムを付けた、エルロック・ショルメと言うキャラクターを誕生させたってワケさ。尤も、ホームズとショルメを同一視するか、と言う点を含めて色々諸説ある本だからな。俺の話が正しいとは限らないが。とにかくこのキーワードの持つ意味は
哀,成る程。探偵と怪盗の遭遇。呼び出しの合図と言う事ね
新一,ああ。後はアイツからの返信があるかを待ってみよう
哀,ええ。分かったわ
新一,......来た！。っし！このまま博士の住所載せちまうと迷惑だから、昔決めた暗号文で......。......おっ！書き込みアリだ！。良し。後は指示通り待とう
哀,そうね。......もうすぐ時間ね
新一,ああ。アイツの事だから、時間には遅れない筈だ
阿笠,来ないのう？
哀,キッドが予告を違えるとは思えないわ
新一,......いや、もう既に
？？？,バカ正直にドアから入るとは限りませんよ？お嬢さん？
哀,！！
新一,やっぱり来てたか
キッド,よう。久し振りだな名探偵？
阿笠,ど、どこから入ったんじゃ？
キッド,愚問ですね。私はマジシャン。どこにでも現れるし、どこからでも入り込める。魔法の様にね
新一,しかし、来てくれるとはな。正直来ないと思ったぜ
キッド,そいつはたまたま俺があの懐かしい掲示板を見ていた幸運に感謝しな。それより、余程の用件なんだろうな？お互いのトラブルを解決してから使わなくなった連絡手段を使うって事は。奴等が復活でもしたか？
新一,いや。今回オメーの力を借りたいのは、酷く個人的な理由なんだ
キッド,あ？なんだそりゃ？
哀,私からも説明するわ。どうか彼に力を貸して欲しいの
キッド,君は確か......
哀,ええ。その節はお世話になったわね
キッド,いえいえ。それより、今君がコイツと一緒にいるって事は......
哀,ええ。今は彼の奥さんよ
キッド,成る程。それはお祝い申し上げる。仕方無い、レディの頼みなら聞くだけ聞いてみるとしようか。事情は分かった。だが......。気は進まないな。特に名探偵。お前がプライドを捨ててまで頼む用事がこんな事とはな
新一,......
キッド,人それぞれ事情があるから、俺が口出す筋合いはねぇ。お前等の悩みや選択も理解出来なくはねぇさ。だが......。結局は自分の色恋沙汰の尻拭いを俺に手伝わせようってワケだ。真実を誰より追求していたお前が、自分自身を見失い、挙げ句不倶戴天の敵である俺に助けを求めるとはな。正直、見損なった感はあるぜ
新一,ああ。返す言葉もねぇよ。だが頼む！力を貸してくれ！どんな事をしても俺は過去にケリをつけなきゃならないんだ！
キッド,その結果......。あの蘭って子に恨まれるかも知れないし、お互いに負わなくて良い傷を負うだけかも知れねーぞ？
哀,どうか、それでも力を貸してくれないかしら。ここで立ち止まったら、私達はまた過去に怯えさ迷う事になる。過去に決着をつけなければ、勝手な言いぐさだけど彼女もまた苦しんで生きていく事になると思う。あなたに協力する義理が無いのも、不快感を感じたのも分かってる。だけどどうかお願い。お願いします......。力を貸して
新一,頼むキッド！軽蔑してくれて構わねぇ！それでも俺は自分を取り戻さなきゃならねぇんだ！哀を幸せにする為に！
キッド,......やれやれ、仕方ねーか。さっきも言った様に、レディの頼みなら断るのも失礼だしな。そこまで頭下げるお前の気持ちにも免じて、引き受けてやらぁ
新一,ホ、ホントか？ありがとう！
キッド,礼なんざいるか！イヤイヤなのは変わらないんだ。あくまで呼び出す手伝いだけだぜ。それ以上は責任持たないぜ。必ずケリつけろ。そして蘭って子も過去から解放してやれ。で、必ずその人を幸せにしろ。それを約束出来ねーなら俺はすぐさま降りるぜ
新一,ああ。必ず......！！
キッド,......少しは良い目付きになったな。さっきまではガキの姿以下の迫力しか無かったがな。その眼をしたお前なら少しは期待出来そうだな
新一,チッ、言ってくれるぜ。いつか監獄にブチ込んでやるからな
キッド,おいおい、それが恩人に対する態度か？ま、らしくなったから良いけどよ
哀,あの、本当に......。ありがとう
キッド,いえいえ。麗しき御婦人の頼みとあらば。時間と場所は、先程の掲示板にお願いします。ではまた、運命の交差点にてお会いしましょう
新一,ったく。ワンパターンな消え方しやがって。それにキザ過ぎらぁ
哀,キザって言う所なら、あなたも良い勝負よ
新一,......んな事ねーよ
阿笠,ふぅ。何だか訳が分からんまま話が進んでしまったわい
哀,すっかり博士を置いてきぼりで話してたものね、ごめんなさい
阿笠,何、構わんよ。今日は早めに食事をして休むとしよう。明日に備えてな
新一,ああ、そうだな。......さて、寝るとするか
哀,ええ
新一,なあ、哀
哀,え？なあに？
新一,いや、何でもない。お休み
哀,ええ。お休みなさい。少しはね......。ええ。まだ全てでは無いけど。全てが済んだら、あなたにもう一度会いに行くわ。......っ、またあの夢。不安の現れ、かしら。それとも......。あら？。トイレかしら......？。一体どこに行ったの......？。この家以外に行ける場所。恐らく......
新一,......
哀,やっぱり、ここに居たのね
新一,あ、哀。気付かれちまったか
哀,たまたま目が覚めて。多分ここかなって
新一,ああ。ちょっと来たくなってさ
哀,そう。自分の家が懐かしくなった？それとも、彼女との想い出があるから？
新一,まあな。覚悟を決めてたのさ。こう見えて意外と小心者だからよ
哀,どの口が言ってるの？あなたが小心者なら私の心なんて顕微鏡でも見えないわよ
新一,へっ、言うじゃねーかよ
哀,ふふふ......
新一,......なあ、哀。さっき聞けなかったんだけどさ
哀,え？
新一,不安じゃ、無いか？
哀,どういう意味？
新一,......明日、ここに蘭を連れて来て貰う。俺の気持ちを伝える為にな。サシで話をするよ
哀,......それの何に不安が？
新一,......俺は哀と生きたい。哀を幸せにしたい。その気持ちに嘘偽りは無い。ただ、歩美と哀の場合とは違う。俺と蘭は男と女だ
哀,......
新一,誤解すんなよ。そんな間違いは犯さない。ただ、やっぱりそんな不安が過るんじゃねーかなってさ。って、まあ言い訳だ。怖いのさ。情けない事によ。哀は自分の気持ちをきちんと歩美に伝えたのによ。自分の番となると不安で仕方無い。責められるのは怖くない。ただ、自分の気持ちをきちんと言えるかが怖い。だから、少しでも落ち着きたくてここに来たけど、あんま変わらなかったよ......
哀,私には不安なんて無いわ。あなたを信じてるもの
新一,哀......
哀,あなたなら、自分と向き合って答えを出す事を信じてる。私への想いが本当だと信じてる。だから大丈夫、あなたは不安になんて負けないわ。私の知ってる工藤新一は、逆境でこそ力強く真価を発揮する。そう言う人よ。だから、どんな結末になっても私は大丈夫。思うままの気持ちを、彼女に伝えて
新一,哀......。ありがとよ。その一言でもう怖くねぇ。自分の気持ちを伝えて、必ず戻るよ。哀の元に。信じて......。待っててくれ
哀,ええ。待ってるわ。あなたの帰りを
阿笠,キッド君に連絡は終わったかの？
新一,ああ。取りあえず博士が調べてくれたデータを元に、時間と場所を指定しておいた
哀,上手くいくかしら......
新一,アイツなら上手くやってくれるだろ。キザで鼻持ちならねーが、腕は確かだ
哀,その言い方、恩人に失礼よ
キッド,っくし！誰か噂してやがんな？。しかし、誰に変装して接触したもんかね......。色々考えたが。あの子にすっか。気は進まねーけど。あの演技疲れるしな。ったく。借りは100倍にして返せよ？名探偵
阿笠,そろそろ、じゃな
新一,ああ。俺は向こうに移動して待ってる
哀,分かったわ。気を付けて
新一,ああ。後でな
哀,行ってらっしゃい
蘭,では社長。お疲れさまでした
社長,うん。今回も君のお陰で助かったよ。まさに君は能力もルックスも腕っぷしも最強の広告塔だよ。ハッハッハ！
蘭,あ、ありがとうございます......
社長,では、ゆっくり休んでくれたまえ。結婚前に忙しくして済まなかったな
蘭,いえ、そんな
社長,ハハハ。そう真面目に受けとらんで良い。じゃ、また
蘭,......ふぅ。私も帰らなきゃ。お母さん待ってるだろうし
？？？,らーん！
蘭,え、あれ？園子？
園子,奇遇だねぇ、今帰り？
蘭,うん。出張の帰りだよ。園子こそ、今海外じゃ無かったの？京極さんの応援で
園子,え？あ、まあね。ちょっと予定が変わって早く帰って来たのよ
蘭,そうなんだ。まさか京極さん、負けちゃったの？
園子,い、いや！そうじゃないんだけどね。それより蘭、今時間ある？
蘭,え？まあ予定は無いけど。今日は家でご飯食べる気だったし
園子,ちょっと付き合って欲しいんだけど、いーかな？
蘭,え？良いけど。どうしたの？急に？
園子,ま、いーからいーから。お願い！
蘭,もう、しょうがないなあ。どこ行くの？
園子,内緒！着いてからのお楽しみ！
蘭,もう。意地悪ね
園子,ゴメンね！さ、行こ！
蘭,でもこうして一緒に歩くのも久しぶりかもね。最近忙しかったし
園子,そうねー。蘭は結婚までもう少しだもんね。どう？準備は？
蘭,うん。順調。園子こそ、京極さんとの結婚生活はどうなの？
園子,え？あ、順調に決まってるじゃない！
蘭,そっか。ゴメンゴメン。当然だよね
園子,そ、そうよ。アハハ……。この子、あのバケモノと結婚してたのか……。そう言えば、新出先生はどんな感じ？いつもと変わらない？
蘭,？！
園子,どうしたの？
蘭,……うん。いつもと変わらないよ。結婚前でも落ち着いてる
園子,そっか。頼もしいね
蘭,そうだね……。ねえ、ホントにどこに行く気なの？園子？
園子,も、もう少しだから
蘭,……ねぇ、園子
園子,何？
蘭,あなた、園子じゃないでしょ？
園子,？！
蘭,……
園子,な、何言ってんのよ蘭！そんなハズ無いじゃない！あ、海外から私だけ早く帰ってきたから疑ってんの？
蘭,ううん。それは疑わなかった。予定があるんだと本気で思ってた
園子,じゃあ、何故？私が鈴木園子じゃなかったら誰だって言うの？
蘭,分からないけど、あなたは園子じゃない
園子,もう、蘭！いい加減にしないと私でも怒る……
蘭,新出先生
園子,え？
蘭,あなたが園子なら、彼の事を新出先生
園子,あ……
蘭,あなたは、誰？何故園子に変装してるの？
園子,……やれやれ。急ぎの仕事なんてするもんじゃねーな。世間話のつもりだったが、呼び方までは調べる時間が無かったぜ
蘭,やっぱり。あなた誰なの？事によっては悪いけど実力行使で
園子,……あなたには何度かお会いした事もあるのですがね、お嬢さん？あなたの姿を借りた事もある
蘭,まさか、キッド……？
キッド,ご名答。お久しぶりですね
蘭,な、何故あなたが私にこんな？
キッド,ある人から頼まれまして。あなたに会いたいので協力して欲しいと
蘭,私に会いたい人？
キッド,どうか、黙って付いてきてもらえませんか？決して怪しい事もない。危害を加えられることもない。ただあなたをある場所まで案内する。それだけです
蘭,……分かったわ。その代わり、変な事したら本当に許さないから
キッド,ありがとうございます。では行きましょう。やれやれ。空手は勘弁だぜ……。着きました。ここです
蘭,やっぱり、新一の家……
キッド,お気づきでしたか
蘭,方向から何となくね。私に会いたいのって、まさか
キッド,それは中に入れば分かります。危険が無い事だけは保証します
蘭,分かった。ありがとう
キッド,いえ。では私はこれで。麗しき御婦人にどうか幸多かれ
蘭,……入ろう。ここまで来たんだし
キッド,……良し。中に入っていったな。ヒヤッとしたが、勤めは果たしたぜ。後はお前次第だ。工藤新一。……って、ヤベ！早く帰らねーと青子に叱られる！！
阿笠,外から声がしたのう、恐らく
哀,着いたのね……
蘭,お邪魔します……。真っ暗だなぁ。多分、あの部屋にいるはず……。あなたが、私を呼んだの？そうなんでしょ？新一
新一,……ああ。久しぶりだな。10年振りだ
蘭,そうだね。元気だった？TVで見てたから、大丈夫とは思ってたけど
新一,まあ、ボチボチやってたよ
蘭,そう、良かった
新一,ありがとよ。蘭も結婚するんだってな
蘭,うん。智明さん……。あ、新出先生とね。覚えてる？
新一,まあ、な。おめでとう
蘭,ありがとう。新一も結婚してるんだよね？
新一,ああ
蘭,そっか。良かったね。言う機会が無かったけど、おめでとう
新一,ありがとう
蘭,……ねえ、新一
新一,……何故今更会いに来たか、だろ？
蘭,……あの時、新一からサヨナラを告げられた時。私は悲しかった。死ぬ程悲しかった。でも、新一が決めた以上は決して浮ついたモノじゃないと思ったし……。あの時点で私達は、ちゃんと付き合ってるとは言えなかったから。だから、電話口でのサヨナラも我慢した。周りは色々言ってきたよ。新一の事。ひどい奴だ、とか。もう関わるなとか。特にお父さんが怒ってた。でも、私自身としては新一がキチンと幸せで頑張ってるならそれで良いと思ってた。あの後連絡を絶ったのも、私を気遣っての事だと思った。……そう思おうとした。でもホントは苦しかった。ずっとそんな気持ちを見ないようにして、何とか整理を付けて。そして智明さんとお付き合いして。決心して、結婚しようという時に。何故今更現れたの？どうして？
新一,……
蘭,例えあんな別れ方でも、今こうして会わなければ良い思い出の方が残ってたよ。楽しい想い出に浸っていられた。なのにどうして？何で今更現れたのよ！？。何故今更私の心をかき乱すの？ねえどうして？答えなさいよ新一！今更何？よりを戻したいとでも？何がしたいの？どうなのよおぉぉぉ！！
新一,……すまねえ、蘭。だが、言うぜ。哀！。……今更、蘭の前に出れる立場じゃない事は分かってる。ここで会う事が、お前の傷を抉ることも。それでも俺は、どうしても言わなきゃいけない事があった。伝えなきゃいけない事もあった。だからキッドに力を借りた
蘭,……
新一,あの時……。俺はお前の前で別れを言えなかった。お前の涙を見るのが怖かった。自分が傷付くのが怖かった。だけど、もう逃げねぇ。どうか、聞いてくれないか。俺の気持ちを。どうか……
蘭,新一……。やめてよ、新一。頭を上げて。少なくとも真剣なのは分かったから。話してみて。それを聞いてどんな気持ちになるかは分からないけど
新一,……ありがとう。……俺は今日、過去から俺と蘭を解放する為にここに来た。例えお前に恨まれようと、ただのエゴだとしても。この先の未来を生きる為に
蘭,過去から、解放する……？
新一,……ずっと、引きずっていた。考えていた。あの時、蘭はどんな顔をして別れの言葉を聞いていたんだろうかと。怒ってたかな。泣いてたかな。色々考えたよ。それをずっと引きずってきた。そして気づいた。あの時逃げて……。楽になったつもりでいたけど、本当は全然楽になってなかった。蘭は本当はどんな顔をしていたのか。何を言いたかったのか。それが分からないまま頭の中にずっとこびり付く。ありもしない想像がずっと頭を駆け巡る。あの時逃げたばかりにそんな十字架を背負ってしまった。俺自身はそれで良い。逃げちまった張本人だからな。だが、俺が逃げたばっかりに蘭も同じ十字架を背負わせちまったと思った。俺の真意が分からないばかりに、思い出が浮かび上がり胸を締め付ける人生にさせちまったと。今更気づいたんだ
蘭,……
新一,もう俺は……。蘭にそんな人生を送って欲しくない。身勝手で上から目線の言い方かもしれないけど。だから……。あの時言えなかった事を、そして今の気持ちをオメーにぶつける。聞いてくれるか……？
蘭,……うん
新一,……あの頃。確かに俺はオメーが好きだった。だが、軽蔑してくれて構わないが。本当に心から好きになっちまった人が出来た。その笑顔をどうしても守りたいヤツが。出来ちまったんだ。俺は、何があってもソイツを幸せにしたい。この命に替えても必ず。それがあの時の償いになるなんて思わない。身勝手な話だけど、あの時守れなかったオメーの分まで彼女を守る。その誓いを守り通す。だから、今日ここでハッキリとオメーにサヨナラを言う。俺の事を、許さなくて良い。一生嫌ってくれて良い。だから、だからどうか……。蘭も、幸せになってくれ。どうか誰よりも、幸せになってくれ……。何言ってんだ、俺は。支離滅裂も良い所だぜ。最低だな。でも、本心を。思った事伝えるしかねぇもんな……
蘭,……言いたい事は、終わり？
新一,ああ
