第１話,賢いあなたは大好きよ
かずみ,じゃあ、そろそろ私、帰るね
答えはきっと、,それがかずみという魔法少女だから
カンナ,そういえば――。助けてくれてありがとう
かずみ,どういたしまして！
QB,エニシ、ようやく見つけることができたよ。だが、これで次の段階へ移行できる。やはり計画は予定通りに進行しよう。ほむらが円環の理の因果を完全に巻き取るまで、あと三手
第９話,最低な君に光あれ
カオル,あれからずっと、あいつらには何の動きはない・・・か
織莉子,そうでしょうね、最初から膠着状態に持ち込むのが狙いだったようだし
カオル,呼べないよな、応援
小巻,呼べるわけがないでしょう！？雅シイラの存在が広まったら間違いなく暴動が起こるわよ！！
カオル,沙々は？
織莉子,・・・。ずっと塞ぎ込んでいる、食事もほとんど受け付けてくれない。無理もない話だけどね、あんなことがあった後に地下室に監禁されているんだもの
カオル,ないよな、解放する予定・・・
織莉子,・・・。ない。まるで囚人のジレンマね
沙々,！！。ああああ、あああっ・・・。あああああああああああああああああっ！！
ミチル,キュゥべえ、来て
QB,呼んだかい？
ミチル,ねぇ、キュゥべえ。魔獣は魔法少女が生み出しているの？私たちって、ワルモノなの？
QB,訂正するほど間違ってはいない、けれど肯定できるほど的確でもないね。君はカンナの結界を通して見たんだね、魔女がいた世界を
ミチル,・・・
QB,１つずつ噛み砕いて説明しようか。けれどね、過去の統計を見るとわかってくるんだ。これが何を意味しているのかはわかるよね？
ミチル,・・・
QB,そんなことを繰り返していけば、あっという間にこの星はパンクしてしまうよね
ミチル,・・・
キュゥべえが,これ以上ここにいても意味は無い
ミチル,そっか、そうだよね
第10話,きっといつまでも
ほむら,円環の理、私はあなたに対してクーデターを宣言する。私が勝ったら、魔法少女システムは廃止よ
円環の理,・・・
マミ,魔法少女システムの廃止って、いったい・・・！？
杏子,・・・
さやか,無駄だよマミさん。この悪魔は、既に・・・その問題を塗りつぶしている！
ほむら,あなた達は今まさに体験しているじゃない。ソウルジェムが濁らず、魔獣も生まれないという、魔法少女のユートピアを。巴マミ、こんな世界を一番望んでいたのはあなたじゃないの？
マミ,！！
カミオカンデ,もう少し、具体的に説明してくれないかな？
ほむら,私の世界、フェイズゼロ。この中では何も始まらない、何も終わらない。円環の理の因果を全て巻き取ったとき、私の世界はこの星全てを永遠に包み込む。そして、同時にインキュベーター達を母星に撤退させる。これなら新しい魔法少女は生まれようがない。誰も犠牲にならない、最高のハッピーエンドでしょう？。巴マミ、あなたは魔法少女になってから何度泣いたの？。何度傷つき、何度裏切られ、何度ひとりぼっちで戦ってきたの？
マミ,・・・っ
ほむら,こんなことなら、あなたはあの時、両親と一緒に死ぬべきだった
マミ,・・・。こ、の・・・！！。あなたいったい何様のつもりなのよ！！。！？。だ、誰・・・！？
杏子,増援か？いや、こいつはあの日には見なかった顔だ・・・！
マミ,まさか・・・！暁美さん、あなたまた悪魔を増やしたの！？
さやか,エニシ、あんたなんでほむらを庇ったの！？。相変わらずあんたの言いことは回りくどくて分かり辛い！
エニシ,つまり・・・、私はほむらさんの挑戦を全面的に支持しているというわけです
円環の理,・・・
エニシ,御意に
円環の理,ほむらちゃん、あなたは自分の願いを叶えたことを後悔しているの？
ほむら,ええ。私が本当に助けたかったのはね、無力な自分自身だったの。その結果が、このザマよ。それが不相応な願いを抱いた、私なりの罪滅ぼしよ
円環の理,そっか。だったらなおさら、あなたとは敵対しなきゃいけないね。希望を抱くのが間違いだなんて言われたら、私はそんなのは違うって、何度でもそう言い返せる。きっといつまでも、ずっとそう言い張れる。魔法少女の祈りは私が守る、あなたのその願いだけは受け入れられない
ほむら,・・・
エニシ,コトワリ様。それはほむらさんのクーデターを正式に受理された、ということでよろしいのですか？
円環の理,うん
ほむら,できるかしら？
エニシ,了解しました、ではしばしお待ちを
円環の理,いいよ
さやか,やっぱりな・・・。んなこったろう思ってたよ、ほむら！
杏子,・・・。気持ちはわかる、としか言えないよな。悪い、さやか。アタシ、ほむらに味方したい
エニシ,参照が終わりました
第11話,お疲れさま
マツリ,あの・・・。入るね、沙々さん・・・
沙々,何・・・？
マツリ,あの、ご飯持ってきたよ・・・
沙々,はっ。死ね！全員死んじまえ！！
マツリ,待って！沙々さん、待って！！。お願い、マツリの話を聞いて・・・
沙々,・・・
マツリ,沙々さん、なんで・・・。なんであなたの心はそんなに傷ついているの・・・？
沙々,・・・
マツリ,・・・
沙々,アンタの人生、いったい何だったんだろうなァ！！
マツリ,そうだね・・・、マツリの人生って本当に何だったんだろうね・・・。マツリね、生まれた時から目が見えなかったの
沙々,・・・っ！
マツリ,こんな私でも、誰かのために役に立つことができるんだって
沙々,・・・
マツリ,でもね、結局何も変わらなかった。それでも、マツリは魔法少女になれてよかった。みんなと一緒に戦うことができて幸せだった
沙々,・・・
マツリ,こんな風にしかあなたを助けられなくてごめんね。これ、受け取って
沙々,なっ・・・！？。そん、な・・・っ。なん、っで・・・馬鹿だろ・・・！。どうしてこんなことするんだよ！？
マツリ,だから思い切って沙々さんに譲ることにしたよ
沙々,そういうことじゃない・・・っ！
マツリ,だから、魔法少女になっても辛いことばかりだったあなたには・・・、幸せになって欲しい。それが魔法少女、日向茉莉の願いです
沙々,・・・。受け取れません
マツリ,！
沙々,あのなぁー、私は責任とか義務とか・・・。そういうのが大っ嫌いなんだよ。後生の想いを託されるなんてまっぴらです。きっと、魔法少女という存在は。マツリさんみたいな人のためにあるんだから
マツリ,・・・！
沙々,ありがとう、マツリさん
マツリ,！！。うん、どういたしまして！
織莉子,・・・
沙々,あーあ、やっぱりバレてるー
織莉子,私は、なんて馬鹿馬鹿しいことで悩んでいたのかしらね
沙々,・・・
織莉子,それでもあなたを許せないという魔法少女がいたら、私が身を挺してでもあなたを守りますから
沙々,・・・何企んでるんですか？
織莉子,人の親切は素直に受け取っておきなさい、早くしないと私の気が変わってしまうわよ？
沙々,・・・。どーも
織莉子,お疲れさま
小巻,あんた、沙々を見逃したのね
織莉子,ええ、そうよ
小巻,あっそ
織莉子,どこへ行く気？
小巻,雅シイラを倒しに行くのよ
織莉子,できればそれは止めたいわね
小巻,はぁー・・・。織莉子、あんた優木と日向さんを見てどう思った？
織莉子,・・・。自分の矮小さを思い知りました
小巻,・・・じゃあ、次の質問。日向さんはこれから先、魔法少女をやめて人間に戻ると思う？
織莉子,・・・
小巻,ええ、そうでしょうね。私もそう思うわ。そうやって少しずつ、世界は腐っていくんでしょうね
織莉子,何が言いたいのかしら・・・？
小巻,雅シイラを放っておいたら、そんなワケの分からない世界が完成してしまう。私はそれが、ただただ気に食わないのよ！！
織莉子,そう・・・。でも、現実問題として。あなたは雅シイラに勝てるのかしら？
小巻,うっ・・・！。さ、刺し違えてでも、私はあいつを倒すわよ！
織莉子,刺し違える程度の覚悟じゃ無理でしょうね
小巻,ぐっ・・・！
織莉子,策を授けましょう。彼女に勝ち、生き残るための策を
小巻,策・・・？
ニコ,どうかな、逃げられそう？
海香,無理ね
ニコ,いよいよ私たちも年貢の納め時か
海香,冗談でもそういうこと言わないで・・・
ニコ,カオルはどうなったのかな・・・、無事だといいけどさ。ああ、それは嫌だな。伏せろ！！
海香,え？
ニコ,が、ふ・・・っ！
海香,ぐ・・・！
ニコ,いよいよ本当に、年貢の納め時か・・・。ダメだ・・・、何も思いつかない。ま、いっか。結構楽しかったしね。・・・！。もう具合はいいのかい、リーダー
ミチル,私はまだ戦える
ニコ,本当に危なかったな・・・
QB,だが、見返りも大きい。今回は大収穫じゃないか。お疲れさま
ニコ,おう
海香,ミチル。本当に・・・、本当にもう大丈夫なの・・・？
ミチル,うん、心配かけてごめんね。・・・。ありがとう、海香・・・。・・・
第12話,すっごく嬉しいわ
ほむら,89点・・・
まどか,！。やったーーー！
ほむら,・・・。昔、尊敬していた先輩に少し教えてもらったのよ
まどか,ほむらちゃんはなんでも知ってるなぁ・・・
ほむら,無駄に長生きしているからね
まどか,あはは、変なの。私と同い歳のはずでしょ？
ほむら,どうかしらね。まどか。最近、あの発作が起こらなくなったわよね
まどか,うっ！。あー、えっと・・・。うん、あれね・・・。そんなこと考えていたんだけれど・・・。なんだか最近だと、勉強とか部活動とか忙しくて・・・それどころじゃなくなっちゃったの。やっぱり、あれって・・・。厨二病ってやつだったのかな・・・？。もー！やめてよーーー！！。えーっと・・・、これもほむらちゃんが作ったの？
ほむら,いいえ、そっちは性格の悪い友人からの貰い物ね
まどか,あ、やっぱり？
ほむら,美味しくなかったかしら？。おかしいわね、あの子は私よりもよっぽど優秀なはずなのだけれど・・・
まどか,てぃひひ！
ほむら,まどか、今日あなたを呼んだのはね・・・。お別れを言うためだったの
まどか,え、えっと・・・、ほむらちゃん？。冗談・・・、だよね？
ほむら,私は本気よ
まどか,どうして・・・、どうしてそんなこと言うの！？。私、何かした！？ほむらちゃんに嫌われることした！？。もしそうだったら教えてよ！私、ちゃんと謝るから！！
ほむら,まどか
まどか,っ！。・・・
ほむら,まどか。あなたは・・・、悪魔に騙されているの
まどか,・・・。わからないよ、どういうことなの・・・？
ほむら,私が乱心して、正気を失っているとでも思っているのかしら？。まぁ・・・、それでもあながち間違いじゃないわね。私の想いとあなたの心が釣り合っていたことなんて、ただの一度もなかったのだから。・・・。私には、あなた以外の他人とのつながりという物が、一切存在しない。こんな薄気味悪い女に、どうしてあなただけがこんなにも懐いているのかしら？
まどか,・・・
ほむら,それらは全て。魔法なんかに頼らずに、あなた自身の力で手に入れたモノ。私は虚しくなったの。だからね、この辺が潮時なのよ
まどか,ほむらちゃん・・・。ズルしちゃダメなのかな、魔法に頼っちゃダメなのかな・・・。もしほむらちゃんの言うことが本当なんだったとしても。私は幸せだったよ、楽しかったよ！。ずっとほむらちゃんと友達でいたいよ・・・！
ほむら,あなたは本当に優しいのね、まどか。ここで別れることができてよかったと、絶対に思うはずよ。けれど、もしも本当に。本当にあなたが幸せだったのなら・・・。私はすっごく嬉しいわ、まどか
まどか,・・・。やっぱり・・・、ほむらちゃんが何を言っているのか全然わからないよ。けれど。本当に、ここでお別れなんだね・・・
ほむら,ええ、さようなら
第13話,ぼくは円環の理に勝って欲しい
マミ,え、ええ・・・。確か2年生の委員長の子よね。私とそこまで深い交友だったっけ・・・？
つまるところ彼女の思い出とやらは、,捏造とまではいわないが
後輩,みっともないところを見せて、すいませんでした！！
マミ,・・・
後輩,みっともないついでに、巴先輩のリボンください！
マミ,それはいいけど、ごめんなさい。明日の卒業式が終わったらね
後輩,はい！それではまた明日！
マミ,ええ、また明日
キリカ,よぉ！モテモテだな、恩人！
マミ,呉さん・・・
厨二病,暗黒系
キリカ,恩人！キミと過ごした一年間、悪くなかったぜ！明日は最高の卒業式にしてやろうな！
マミ,えーっと・・・。そうね、私も最後の中学生活をあなたと過ごせて楽しかったわ。いえ・・・。こんな時期に起こしてくれたからこそ、感謝しなきゃいけないのかしら。魔法少女のことを考えずに学校に通ったことなんて、ほとんどなかったな・・・
カミオカンデ,正解だよ
マミ,今までどこへ行っていたの？
カミオカンデ,赤い眼のぼくにいろいろ話を聞いていてね、気になったことが幾つかあったものだからさ
マミ,カミオカンデ、教えてもらってもいい？
カミオカンデ,そこはぼくも気になって問い詰めたよ、どうやらその心配はないらしい
マミ,よくわからないけれど・・・、暁美さんも他の人たちも安全なのね？
カミオカンデ,そうだね。ただほむらに関しては文字通り命を燃やし尽くした後だから、生きてはいないけれど
マミ,そう・・・
カミオカンデ,待ちに待った時が来たんだ、ぼく達はこのチャンスをずっと待っていた。これこそぼく達が夢見た、楽園そのものだ。そうだね・・・。ぼく達の目標の達成はすぐ手の届くところまで来ているのに、なぜだろうね。悔しいよ。ぼくは、円環の理に勝って欲しい
さやか,うおおおおおお！終るわけがねぇーーーー！！。ごめん、仁美！ほんっとーにごめん！こんな遅くまで手伝わせちゃって！！
仁美,いえ、大丈夫です。それに。私も、さやかさんと二人きりで話したいと思っておりましたので・・・
さやか,・・・
仁美,上条くん、やっぱり高校は普通科を志望するそうです。天城くんに負けたあの日から、すっかりしおらしくなってしまいまして・・・
さやか,そっか
少なくとも,天城の音色の方が好きだ
仁美,いいんですか・・・？
さやか,・・・
仁美,いいんですか！？こんな結末で！！。上条くんの為にあなたがどんな思いで！上条くんの手を治すためにあなたは！！。こんな・・・、こんな結末！裏切り以外の何物でもありません！！
さやか,仁美さ、それどこで知ったのかな？
仁美,・・・。雅さんという方から教えていただきました
さやか,仁美。願いが叶ったせいで後悔するのと願いが叶わなかったせいで後悔するの、どっちがいい？
仁美,そ、それは・・・。そんなのどっちも嫌です！
さやか,だよね、私も嫌だわ。じゃあ質問を変えてみよう
仁美,これは・・・？
さやか,願いが叶って満足するのと願いが叶わなくても満足するのはどっちがいいかな？
仁美,・・・
さやか,あたしは断然、叶って満足する方がいいな。そんな子が一人でも残っているなら、やっぱり私達の代で魔法少女を廃止にしちゃダメだよ
仁美,それでは、さやかさんは・・・
さやか,仕方ないよ。それに、あたしだってそれを承知で魔法少女になったんだもの。わかんないもんだよね、人生って
仁美,・・・。無駄なんですね、私が何を言っても・・・
さやか,うん、ごめんね。私は後悔、してないんだよね。全然
仁美,わかりました。じゃあ、仕方ないですね。それでは急いで作りましょうか。いくら魔法といえど、卒業生を送るアーチは作れないんでしょう？
さやか,ありがとうね
仁美,さやかさん
さやか,？
仁美,お達者で
さやか,うん。仁美の方こそ、お達者で
佐倉神父,いえ、私は仲介をしただけですから
杏子,ただいま
佐倉神父,おかえり、杏子
杏子,父さん。雅シイラ、魔法少女だって
佐倉神父,・・・。そうか。まぁ、そうなのだろうな
杏子,驚かないの？
佐倉神父,・・・。驚かないさ。彼女のような人の域から逸脱した優秀さを持つ子どもがいるとするなら、むしろ納得だよ
杏子,父さんはさ、やっぱり魔法って認められないのかな・・・
佐倉神父,・・・。魔法は異端だ。魔法という力は、私のような普通の人間の努力を否定するものだ。正直、杏子の起こした奇跡も含めて、魔法という存在は今でも受け入れられない
杏子,・・・
佐倉神父,けれども。杏子や雅さんのような素晴らしい子が活躍できるなら。案外、魔法のある世界も捨てたものではないとも思う
杏子,！
佐倉神父,奇跡を願う必要のない世界を残してやれなくて・・・、本当に申しわけがない
杏子,・・・。時々、夢を見るんだ。その夢の中で。父さんはアタシのことを、悪魔に魂を売った魔女と罵っていた。与えられた奇跡なんかに意味はないって、アタシの力は人の心を惑わす邪悪な力だって。何度も否定された。それが今度は、食うに困らなくなったから許してくださいだと？。テメェ、それでも父親か！？
佐倉神父,それでも、父親なんだ
杏子,！？
佐倉神父,一歩でも間違えば、そんな惨めで無責任な者に、私はなっていた
杏子,・・・
佐倉神父,無力な父と罵ってくれてもいい。私を見限ったのならば、その時は遠慮なく切り捨ててくれても構わない。けれども・・・、それでも。どうか、君が一人の大人として成長できるその日まで。私の娘でいてはくれないか
杏子,・・・。わかんない、そんなこといきなり言われてもわかんねぇよ
佐倉神父,そうか
杏子,だから、えーっと・・・。だから、答えは保留で。しばらくお世話になります・・・、父さん
佐倉神父,ああ、任された。今度こそ失望されないように頑張ってみるよ
杏子,じゃーね、晩御飯の時になったらまた呼んで！。ちょっと未来に行ってくる！
佐倉神父,そうか。いってらっしゃい
杏子,ああ、いってきます！。あー、マミ。やっと覚悟できた。選挙、絶対勝つぞ！。この世界は、ほむらになんか渡さねぇ！
第14話,どうか、ご武運を
シイラ,クーデターは認めるけど、暴力は断固拒否する。何というか、魔法少女らしいね。まあ、85点ってところかな。これでほぼ目標達成だ、やったね。首尾よく進んだよ。これも全部、カンナちゃんが上手く環エニシを誘き出してくれたおかげだ
カンナ,よくそんな白々しいことが言えるな、本当は捨て駒みたいな扱いだったくせに
シイラ,そうだね、言い訳はしないよ。けれど元より戦いは覚悟の上だっただろう？。人を呪わば穴二つってね
カンナ,ふん・・・
カガリ,はーい！
カンナ,最後まで食えない女だ
シイラ,さて、カンナちゃん。報酬の話だけれど・・・、本当に神那ニコを人間に戻さなくてもいいのかな？。そっか、残念。魔法少女だった頃は、喉から手が出るほど欲しかった魔法だけれど、意外と使う機会が少ないね。どこ行くの？。そっか、もう会うことはないのかな？
カンナ,たぶんな
シイラ,ばいばい、ありがと、さようなら。・・・。思い通りになるとは限らない、ね。百も二百も承知だよ、そんなことは
カガリ,ねー、シイラさぁん。私へのごほーびは？
シイラ,あー、うん、えーっと。なんだったっけかな、カガリちゃんへの報酬って
カガリ,やだなぁ、とぼけちゃって。教えてよ、私のトバリの本当の使い方
シイラ,・・・。今更だけどね、カガリちゃん。復讐をやめる気はないのかい？
シイラはカガリの地雷原,ブラックゾーン
シイラ,私ならツバキの代わりになることだってできるんだよ？
カガリ,シイラさん、冗談でもそういうこと言ったら殺しちゃうよ？
シイラ,・・・。やるせないね、わかっていたこととはいえ・・・。このままじゃ足が攣りそうだから、とりあえず茨は外してくれ。逃げたりしないから。カガリちゃん、これ以上何を求めているんだ？
カガリ,そう。魔女がいた頃みたいに、ね
シイラ,・・・。オーケー、それじゃあとっておきの使い方を教えよう。ただし、奥の手中の奥の手だぜ？これを使って負ければ、君は死ぬよ
カガリ,あっは、いいね。そういうの大好き！
シイラ,さて・・・。今更どうにかできるとは思えないけれど、いい加減鬱陶しいね。私の聖域を土足で踏み荒らす、愚かなウサギが一匹いる。いいだろう、せいぜい遊んでやるよ。骨の髄まで教えてやろうじゃないか、悪魔の本当の恐ろしさってやつをね
海香,信じられないわ、見滝原市はまるで監獄よ。いえ・・・。これは悪意というより、愛情や執着と言うべきものなのかしら？
織莉子,ということは、私たちの動きも？
海香,筒抜けよ、迎撃してこないのが不思議なくらい
織莉子,そう・・・
海香,ええ、そうね。地図を切り取ったみたいに、全て見滝原市の中で完結しているわ
織莉子,そうですか。聞こえているかしら、雅シイラ。風魔協は、見滝原の調査をここで打ち切り、見滝原に対する一切の干渉を放棄するわ。故に。これから起こるであろう小巻さんの戦いは、全て彼女の独断専行よ。ありがとう、海香さん。これが報酬よ
海香,確かに受け取ったわ
カオル,織莉子先輩、本当に私たちは行ってもいいのか・・・？
織莉子,あなた達の友人が回復した以上、あなたを繋ぎ止めることのできる理由は無いわ。私たちの同盟もここまでね
カオル,でも・・・
織莉子,短い間だったけれど、ありがとうカオルさん。あなた達の友人にもよろしくね
カオル,・・・
海香,カオル、目的を見失ってはダメよ。私たちは２つの物を同時に守れるほど強くない
カオル,わかってるよ・・・。短い同盟だったけれど、ありがとうございました織莉子先輩！何かあったら呼んでください！。あなたの友だちとして、いつでも駆けつけます！
織莉子,ええ、頼りにしていますよ。小巻さん・・・。どうか、ご武運を
カンナ,あー、えーっと・・・。カオル、だったか？
カオル,そうだよ、牧カオルだ。久しぶり
カンナ,どうしてここがわかった？
カオル,織莉子先輩が最期にくれた予知魔法さ。ここならカンナに会えるだろう、ってな
カンナ,ふぅん。で、何の用だ？ミチルがようやく円環送りになったのか？
カオル,いや、ミチルは私がこっちに来ている間に立ち直ったよ。だから今からあすなろに帰るところだ
カンナ,じゃあ、ますますわからないな。仕返しじゃなきゃあ、何しに来たんだよ。私たち、一月前には殺し合った仲だろ
カオル,これ、あんたに渡しとかなきゃって思ってね
カンナ,なんだそれ。・・・
カオル,カンナ・・・、ニコはあんたを遊び半分で作ったわけじゃないんだ。ただ、ただ純粋に――
カンナ,みなまで言うな、ちゃんとわかっているよ。なあ、ニコに会わせろよ。あいつには一発ガツンと言ってやらなきゃ、腹の虫が収まらない
第15話,そんなん気にしてどーすんの？
シイラはそんな自分のことを,イケてる
小巻,わざわざこんな場所におびき寄せるなんて、まさに臆病者ね
シイラ,じゃ、やろうか。待っててあげるから変身していいよ
小巻,・・・
シイラ,ははは、斧か。ずいぶん野蛮な武器を使うんだね
小巻,１つだけ、確認しておくわ
シイラ,え、そんなん気にしてどーすんの？。どーでもいいじゃん、そんなの
小巻,アンタ・・・！
シイラ,逆になんで私たちが人間なんて守らなきゃいけないの？。ああ、そういやそうだったね。けれどもやっぱり、私や魔法少女に責任はないよね。そんなの魔獣に襲われる奴が悪いんだよ。それで滅ぶ世界なら、滅べばいいんじゃない？
小巻,理解したわ、アンタ嫌い
シイラ,よく言われるよ。ほら、全力でかかっておいで。可愛がってあげるよ、若造
小巻,嘗めるなよ、シイラぁ！！
シイラ,・・・。ブラック・カスケード。え？。ちょ、ま――
小巻,くたばれ、サソリ女。ぐ・・・っ！。手応えが弱かった！直前で急所をガードされていた！。重力を減らしすぎた！攻撃自体の重みが少なくなってしまった！
シイラ,けれど残念。重力操作なんて集団戦を想定した、突入・制圧用の応用技だよ。私の本当の魔法は引力さ
シイラは苦戦を重ねながらも、頭のどこかでは,究極の魔法少女である自分なら、きっと最後にはあすみを幸せにできるはずだ
第16話,お姉ちゃんを超えられる妹なんていないんだよ
彼女は,本当にこの相手は自分を愛しているのか
奇怪で攻撃的な行動は、,自分を心から愛して欲しい
マツリ,・・・。ここ、だよね・・・
カガリ,やっほ、ちゃんと迷わず来れたわね。えらいえらい
マツリ,いつまでも子ども扱いしないでよ
カガリ,ねぇ、マツリ。あなたはこれからどうしたい？
マツリ,どうって・・・
カガリ,私は時間切れまで、マツリみたいな魔法少女達にたくさん意地悪しちゃうけどね。マツリはどうする？私みたいなワルモノを懲らしめるために戦い続ける？
マツリ,嫌だよ、そんなの。マツリはそんなことをするために魔法少女になったんじゃない
カガリ,・・・。じゃあ、なんなの・・・？。マツリは一体なんなの！？
マツリ,・・・
カガリ,・・・
マツリ,・・・
カガリ,なに・・・？
マツリ,カガリ！
カガリ,・・・
マツリ,そんな風に誰かを傷つけて回るくらいなら！どうしてツバキを生き返らせることを願わなかったの！？
カガリ,・・・
マツリ,っ！！
カガリ,ふぅーん。それ、マツリが言っちゃうんだ・・・
マツリ,カガリ。思えば私たち、姉妹喧嘩なんて一回もしたことなかったよね。カガリはずっと、マツリを守るために我慢していてくれたんだもんね
カガリ,！
マツリ,戦おう、カガリ。私はあなたの妹として、家族として。あなたの間違いを止めて見せる
カガリ,・・・。あっは・・・。あはっ、あはっ、あははは。あははははははははははははは！！。お馬鹿さん！お馬鹿さん！マツリのお馬鹿さぁん！！。目が見えるようになっただけで！私と対等になれたつもりなのかしら！！。お姉ちゃんを超えられる妹なんていないんだよ。マツリ、今謝れば許してあげるよ？
マツリ,・・・
カガリ,え・・・？。ぐっ・・・！
マツリ,お返し。これがカガリと家族でいられる、最期のチャンスだから！
カガリ,それで、どうするの？
マツリ,・・・っ！
カガリ,あははっ！できっこないわよねぇ！。泣き虫のマツリ！弱虫のマツリ！意気地なしのマツリ！。やっぱり喧嘩一つ満足にできないじゃない！！。・・・
マツリ,・・・
カガリ,・・・。・・・。なんかもう、いいや。おめでとう、お姉ちゃんの負けだよ。マツリ。強くなってたんだね、いつの間にか。やっぱり私はほむらさんに勝って欲しい、マツリを円環の理になんか取られたくない。きっとマツリならなれるよ、ツバキよりもカッコいい大人に。バイバイ、カッコ悪いお姉ちゃんでごめんね
カンナ,よう。久しぶり、私
ニコ,・・・
カンナ,酷い顔だな。私は親愛なる我が娘じゃなかったのか？
ニコ,動くなっ！！
カンナ,・・・
ニコ,・・・
カンナ,意を決して会いに来たらこれか。ガッカリだぜ、私
ニコ,何を・・・、何をやっているんだ、私は！？。・・・。ごめん
カンナ,Don’tmind.大丈夫だ、気持ちはわかる。それに、アポなしでいきなり来た私にも非があるからな
ニコ,本当にごめん、こんなに気持ち悪いなんて思わなかった・・・
カンナ,そこまで言われると傷つくね
ニコ,私、いや・・・。カンナ、私を殺しに来たのか？
カンナ,それでもよかったんだがね。やめたよ、友だちに釘を刺されちゃったからな
ニコ,そっか・・・。じゃあ、何をしに来たんだ？
カンナ,説得だよ、ただの話し合いだ。自分で自分を励ましに来たのさ。例え奇跡が起こったとしても。お前の人生は、やっぱりお前の物なんだよ。聖カンナをやり直す気はないか？
ニコ,無理だよ、カンナ。君が持っている多くのものを、私は持っていないんだ
カンナ,自分にはできないから他の人にやってもらおうってことか？
ニコ,そうだ。私は自分の魂を犠牲にしたんだ！それくらいの願い、叶ってもいいじゃないか！
カンナ,魔獣なんて生まれてくるわけだ
ニコ,なんだ、どういう意味だ？
カンナ,気にするな、これはどうでもいい話だ。そして、ここからが肝心な話だ。だから、こうしようニコ。悪魔側が当選したらお前がもう一度、聖カンナとして生きてみろ。円環側が当選したら、改めて私が聖カンナの名前と人生を譲り受けよう
ニコ,乗った
第17話,アンタの愛なんて、迷惑なだけよ
小巻,ぐっ・・・！。ぐ・・・！悔しいけれど、格が違い過ぎる！。こいつ、何もかもが格上だ！スキルも、魔法の使い方も！。けど・・・、負けてたまるもんか・・・！。負けるもんか、あんたなんかに！
シイラ,参ったな・・・、そろそろネタ切れだぞ。だから？。この程度の袋小路、私は何度だって突破してきたんだよ。小巻ちゃん。もう諦めたら？
小巻,・・・。今更なんのつもりよ。・・・
シイラ,私はもう飽きたんだよ、そろそろお開きにしないか？。じゃあ取り返しがつけばいいわけだね、ならばこうしようか。魔法少女を人間に戻す力・・・、私はこれをメフィストフェレスって呼んでいるんだけれど。もし私を見逃してくれたら、これはもう二度と使わない
小巻,！？
シイラ,魔法少女は人間に戻らないし、私たちは二人とも生きて帰れる。落とし所としては悪くないんじゃないか？
小巻,・・・。まあ、そうね
シイラ,ふぅん？
小巻,一応、最後に確認しておきたいんだけれど。あんた、なんでこんなことやっているの？
シイラ,・・・
小巻,自分の命を危険に晒して、自分の能力を犠牲にして、他人から憎まれて。あんた、いったいどこに行きたいのよ
シイラ,愛ゆえに。愛ゆえに！。私は！全ての魔法少女に！生きていて欲しいと願っている！。魔法少女の未来に光あれ！！
小巻,何のために生まれて、何のために生きるのか。あんたには無縁の話ね
シイラ,は？
小巻,つまり・・・。あんたにも未来を選択する時が来た、ってことよ。私が退けばあんたは二度とメフィストフェレスを使わないでくれるって約束だったわよね。いいわよ、退いてあげる。けれど。これを見てどう思う？
シイラ,！？。ぐ、ぐっ・・・！。う、ぐ、ぐ、ぐ・・・！
小巻,さあ、未来を選択する時よ。雅シイラ
シイラ,・・・。さっきのはナシだ！！。ぁ・・・
小巻,誰彼構わずにばら撒き続けるアンタの愛なんて、迷惑なだけよ
第18話,あとは任せたよ
シイラ,ああ、そうか・・・。負けたのか、私は
QB,やあ。目が覚めたのかい、シイラ
シイラ,キュゥべえ、か。まあ、そうだね。私が勝てなかったのも、小巻ちゃんが負けなかったのも。結局は、その感情ってものが原因なのだろうね
QB,君の言葉は理性的なのに、内容は酷く難解だね。もう少しぼく達の目線に立って話して欲しいよ
シイラ,君はわざわざ禅問答をしに来たのかい？
QB,まさか、ちゃんとした用事だよ。小巻から言伝を預かっているんだ。見逃してやる、だから約束を守れ、だそうだ
シイラ,そっか
QB,よくわからないけれど、君は約束を守るのかい？君は何の強制力も持たない契約を大切にするのかい？
シイラ,そんなことより小巻ちゃんは？その後、小巻ちゃんはどうなったの？
QB,わからない。ぼく達は彼女を追わなかった。けれど君の監視網でも見つけることができないとするなら。つまり、そういうことなんじゃないかな？
シイラ,・・・。あはっ、あはは・・・。ちょっと慢心しただけでこのザマだ、欲深者は辛いねぇ・・・。帰ろう・・・
QB,君は小巻との約束を守る気なのかい？
シイラ,・・・。わからない。・・・。黒い、羽根・・・？。そっか。そういえば君のトバリは、見滝原を隅々まで包んでいたのだったね。やあ、ほむらちゃん。お久しぶり・・・、でもなかったっけ？
ほむら,・・・
シイラ,なんかしばらく見ない間にずいぶん大人っぽくなったね、イメチェンした？
ほむら,そういうあなたこそ、しおらしくなってしまったわね。私の知っている雅シイラは、もっと毒気に満ちた人物だったはずよ
シイラ,あはっ。あはははは、ははははは・・・。そっか、そうかもね。うん。なんか、色々疲れちゃってね
ほむら,そう、お疲れ様
シイラ,うん。じゃーねー、ばーははーい
ほむら,シイラ・・・。あなたはこのまま消えてしまうの？
シイラ,消えないよ。私は消えない。そんなことしたら、あすみちゃんと同じじゃないか。この先どうなろうと、私はこの世界で生きていく
ほむら,そう
