本田未央,プロデューサー……もう、残された時間は僅かだね……
楓,菜々さん、菜々さん。車が来るまで、車が来るまでっ。ふふっ
菜々,あぁ……えっと…………ん～…………………………キャハ☆
モバＰ,マジか……
ちひろ,あ、どうでした？昨日のコーラまみれの子。社長はなんと？
モバＰ,いや、部長……社長でいっか。オッケーでした。スカウト枠ってことで
ちひろ,おぉ、確かにカワイイ子でしたもんね。そこまで、驚くことではないんじゃ？
モバＰ,ええ、そこはいいんです
ちひろ,？
モバＰ,オーディションあるのに、それをすっ飛ばす訳ですから、俺も結構気合入れてお願いしようと思ってたんです
ちひろ,へぇ、実はあの子のこと気に入っちゃってるんですね。昨日はコーラのお詫びに渋々頼んでみるって感じだったのに
モバＰ,まぁ、照れ隠しですね。変な意味じゃなく、あんな子は好きですから。それで、社長に経緯を説明して、なんとか採用して貰おうとしたら、いろいろ聞いてるよ、オッケーだって
ちひろ,え？誰に？
モバＰ,わからないんですよ。しかも、オーディションの最終面接に俺も出ろって
ちひろ,それは、確かに驚きますね
モバＰ,でしょ？それも、誰かに言われたからって感じなんですよね……う～ん
ちひろ,ま、考えても仕方ないですよ。それより、卯月ちゃんからメールが届いてますよ
モバＰ,お、どれどれ
曰く,ここがローマの街……か。歓声が聞こえるね……。じゃあ……残していこうか、私たちの足跡……！
モバＰ,卯月の悪意０％は、シビれますね
ちひろ,ふ、ふふ……純粋であればあるほど、毒になるものもありますからね
モバＰ,でも、無事着いて良かったです。……んふふ
ちひろ,ふふ……ふひゅ……んふふふふ
幸子,こんにちは……えっと、呼ばれて来たんですけど
仁奈,あ！幸子おねーさんでごぜーます。Ｐ！幸子おねーさんさんが来やがりましたよ！
モバＰ,んふふ……ん？おー来やがりましたか
仁奈,来やがりましたっ！
幸子,昨日の今日で、呼びつけるなんて……そんなにボクに会いたかったんですか？まあ？世界一カワイイボクの
モバＰ,そっか～、来やがったかぁ！仁奈はカワイイなぁ！！
仁奈,うおー、すげぇ回ってます！ぐるぐるしやがってますっ！あははは
モバＰ,ふはは……それで、なんだっけ
仁奈,ほぅ……なかなか刺激的なアトラクションでごぜーました。ん～と？
幸子,っ！！いろいろとっ！いろいろとぉ！！こ、このっ……ふぬぬ
ちひろ,プロデューサーさん。ふざけ過ぎですよ。怒りで言葉が出てこなくなってます
幸子,っ！っっ～！！
モバＰ,お、ごめん！
幸子,なんですかその軽さは！このカワイイボ
モバＰ,いい知らせだぞっ！
幸子,また被せてっ！それ、思った以上にムカ
モバＰ,幸子っ！
幸子,ふなぁ！！！
モバＰ,採用だ！
幸子,いい加減に……ん？
モバＰ,アイドルデビュー決定！
幸子,……
モバＰ,あ、あれ？嬉しくない？
幸子,……ボクは騙されないですよ。だって、昨日の事ですよ？馬鹿にしないで下さい
モバＰ,確かに、普通じゃないよな。でも、事実
幸子,事務所に入れろとは言いましたが、正直ノリと勢いでしたよ
モバＰ,うん、そんな感じだったな。でも、事実
幸子,……ホントなんですか？
モバＰ,イエス！これからよろしくなっ
幸子,やった……やったぁ！ありがとうございますっ！！
モバＰ,……うん。おめでとう
仁奈,幸子おねーさんも、Ｐの事好きでいやがりますか？ライバルは多いですよ？
モバＰ,仁奈もおませさんだなぁ
幸子,ふふーん！Ｐさんがボクのことを好きなのは当然ですが、ボクはそんな事はないですから！これは、ご褒美の抱擁ですっ
モバＰ,それは、光栄なことで。そんな幸子に初仕事だ！
幸子,ボクのカワイさが怖いです！もう仕事ですかっ！撮影！？レコーディング！？
モバＰ,事務所の片付け！の、仕上げ！
幸子,……は？
モバＰ,そして、軽トラに荷物載せて、新しい事務所へ、ゴー！
幸子,……
モバＰ,大きい荷物は業者さんにお願いしてるから。やったね！
幸子,……
モバＰ,やったね？
幸子,……
モバＰ,いてっ。う～ん……案外片付けるのに、日数掛かりましたね
ちひろ,普段の仕事をしながらですから、仕方ないですよ
モバＰ,疲れましたよ～。明日の温泉がありがたいです。結果的に楓さんに感謝ですねぇ
ちひろ,いいですねぇ、私も休みだったらなぁ……あ、卯月ちゃんからメールですよ
モバＰ,お、きましたか
特に慌ただしくないですね！ちなみに、二人とも,外国はむーりぃー……怖い……
曰く,ヴェニスの水音は静かだね｡でも私たちは消えない音を刻みたい……｡この国の……ファンの心に……！
モバＰ,……ヴェニスです
ちひろ,ふっ！……う゛んっ！いや、まあ……卯月ちゃんもそこしかピックアップしないんですね
モバＰ,凛のテンションが気になる……
千枝,プロデューサーさんっ！
モバＰ,うおっ！びっくりした。あ、お母さん。お迎えはいつもの時間でお願いします
千枝,お母さんまた後でねっ！それより、聞きましたっ！
モバＰ,それよりって……お母さん苦笑してたぞ。それで、何を聞いたんだ？
千枝,お母さんが千枝も346プロのアイドルになったって！！本当なんですか！？
モバＰ,あー、言ってなかったな。千枝の事務所も統合したんだよ
千枝,とーごー？
モバＰ,そうだな……これからはお姉さん達と一緒だ。もちろん、俺もな
千枝,み、みんなですか？
モバＰ,うん
千枝,前みたいに、ありすちゃんと晴ちゃんだけっていじわる言いませんかっ？
モバＰ,あ～、そういえば……あの出張、意味なかったな……
千枝,もう、プロデューサーさんとお別れしなくていいんですかっ？
モバＰ,ん？……ふふ
ちひろ,また、くだらない事言いそうな顔してますね
モバＰ,ただ、いい子だけなんだ。わるい子は……
千枝,あ……ぁ……。ち、千枝……このごろ、わるい子って……ぁ……ぁ
ちひろ,ちょっと、プロデューサーさん！すごいガクブルしてますよっ！！
モバＰ,ち、千枝っ！ちーえっ！！大丈夫、だいじょーぶっ！千枝はいい子っ！すごく、いい子っ！！
千枝,で、でも……
モバＰ,千枝がやさしい子だって知ってるから！千枝のことなら何でも知ってるから！
ちひろ,……通報？
モバＰ,くっ！茶々いれんでください！
千枝,……千枝、わるい子じゃない？
モバＰ,もちろん！それにな？千枝がわるい子なら、同じ千の字の千川さんなんて……悪魔神官だぞ？棘付き鉄球の棍棒を持ってるんだ
ちひろ,今、その武器がないのが悔やまれますねっ
モバＰ,……えっとですね？
千枝,ちひろさんは、いい人ですよ？
モバＰ,そうっ！いい人だろ！？千枝がわるい子なら悪魔神官だけど、ちひろさんはいい人だ！という事は、千枝は？
千枝,いい子？
モバＰ,はい、正解！
千枝,よかったぁ……これからもプロデューサーさんと一緒……えへ♪
モバＰ,……ふぅ
ちひろ,……もう一声欲しいですね
モバＰ,っ！千枝は超絶いい子だから……ちひろさんは女神、かな？
ちひろ,つまり？
モバＰ,え！？つ、つまり！？……け、結婚したい？
ちひろ,はい、言質
モバＰ,……ボイレコ？
ちひろ,はい、ボイスレコーダーです
モバＰ,……
ちひろ,……
モバＰ,……
ちひろ,……
晴,うーっす。……何してんだ、アレ
千枝,う～ん、追いかけっこ？あ、捕まった
ちひろ,きゃあ！離してぇ。だれか～プロデューサーさんに襲われる～
モバＰ,人聞きの悪い事をっ！とにかく、それを渡してください！
ちひろ,い～や～。あ、やわらかいとこ触った！
モバＰ,言い方っ！二の腕っ！こ、このっ
晴,イチャイチャしやがって……そうだ
菜々,おはようございまーす！
晴,ヒューヒューだよっ！ヒューヒュー！
モバちひ菜々,！？
菜々,……ぶっとびー
晴,は？何言ってんだ？
菜々,！？
幸子,あの……温泉なんて聞いてないんですけど。しかも、こんな朝早く
モバＰ,日帰りだからな。新人アイドル親睦会☆裸の付き合いで距離感短縮☆歳の差なんて関係ないさっ！……で、どうだろう？
幸子,知らないですよ。大体、そんなに歳の差あるんですか？
楓,幸子ちゃんは、14歳よね？私は25歳だから……
幸子,ほぁ……見えないですね……もっと若いかと……
楓,ふふ、ありがと
モバＰ,菜々さんは17歳だから、そんなにか
菜々,え！？
幸子,え？
菜々,いや……そうですよー。ちょっとお姉さんなだけです！
幸子,はぁ……そうですね？
菜々,あ、あはは……
モバＰ,くふっ……じゃあ、行きますか！日帰りと言っても、夕御飯までは居ますので、ゆっくりしましょう！
楓,はい。ふふ、昼間から露天風呂……贅沢です
菜々,……プロデューサー、流石にもう知ってますよね？
幸子,何をブツブツ言ってるんですか？
菜々,……キャハ☆
幸子,！？
モバＰ,ついたー！んはぁ！空気がうめぇ！！……気がする！
楓,お疲れ様です。すいません、運転してもらっちゃって
モバＰ,いえいえ！気兼ねなく飲んじゃってくださいね！ばっちり送り届けますのでっ
楓,ふふっ、じゃあお言葉に甘えて
菜々,ナナも……いや、でも…………ムムム
幸子,またブツブツと……ん？あれ……Ｐさん
モバＰ,どした？
幸子,あの子、前に迷子になってた子じゃないですか？
芳乃,……
モバＰ,ほんとだ。何してんだろ？
芳乃,……
幸子,あ、こけた
芳乃,……
モバＰ,何か出したな。……ほら貝か。え、ほら貝？
芳乃,ぷおー、ぶおー
楓,ほら貝の生音、初めて聞きました。結構大きな音なんですね
菜々,ほんとに、ほら貝なんですね……
芳乃,ぷおー、ぶおー。そなたー
幸子,なんとなく思うんですけど、Ｐさんのこと呼んでません？
モバＰ,え？でも、あの子こっちに気づいてないぞ？
芳乃,そなたー、そなたー。ぶおー
幸子,どっちにしても、ほっとけないでしょう
モバＰ,だな。お～い、大丈夫かぁ？
芳乃,遅いのでしてー。心細かったのでしてー
モバＰ,ご、ごめん？とりあえず、立てる？
芳乃,足が痛いのでしてー
モバＰ,……ん、了解。よいしょ
芳乃,おんぶされるのは、楽チンなのでしてー
幸子,割と、平気そうに見えますが……ここには、お一人で？
芳乃,新人の親睦会なのでー、わたくしもー。では、行きましょー
モバＰ,え？……え？
芳乃,そーでしたー。これを読むのでしてー
楓,何ですか？手紙？
モバＰ,みたいですね。社長からだ…………また、これは…………
菜々,何て書いてあるんですか？ナナ、このRPGみたいな展開にちょっとワクッときてますよっ
モバＰ,えっと、この子もうちのアイドルになったみたいです。一応、確認の電話していい？
芳乃,どうぞー
モバＰ,んじゃ、ちょっと降ろすね。はい、幸子
芳乃,おー、わたくし大移動ー
幸子,ちょっ！人選おかしいでしょうっ！！ふぬっ……楓さん、あの
楓,かわいい。かわいいわ、幸子ちゃん
幸子,ふ、ふふーん！当然ですっ！もっと撮ってもいいんですよ？ふぬぬっ
菜々,幸子ちゃん……でも、確かにこの二人の状態はかわいいですね。ナナも
幸子,ふ……ふーん！！何をしてもボクはカワイイ……くぬっふーん！
モバＰ,ドヤ顔と必死な顔で、ただの顔芸になってるぞ
幸子,んなっ！？こ、このっ！電話終わったんなら、早く
モバＰ,そんな幸子もカワイイよな
幸子,ふっふーん！！！
芳乃,おもしろい方でしてー
楓,それで、やっぱり本当だったんです？
モバＰ,ええ、手紙に書いてある通りみたいです。お世話になった方のお孫さんみたいです
芳乃,ばば様には頭が上がらないようでしてー
モバＰ,いろいろ助言もらってるみたいだね。君のことも大切に扱いなさいって言われたよ
芳乃,芳乃でいいのでしてー。特別扱いは無しの方向でー
モバＰ,了解。ここで立ち話もなんだから、行こうか
芳乃,はいー、みなもこれからよろしくお願いしますー
楓,よろしくね。芳乃ちゃん
菜々,よろしくお願いします！キャハっ☆
幸子,お、降りて……
モバＰ,ふぅ、昼からいろんな湯に浸かってるからか、肌がツルっとしてる気がする
楓,気持ちよかったですねぇ。浸かりながら一杯いけたらさらに良かったんですけど
モバＰ,ま、ま、そう言わず。ここでまず一献
楓,ふふ、ありがとうございます。……ふぅ。おいし
モバＰ,うわ、すげぇ色っぽい。な？幸子
幸子,……
モバＰ,カニに必死だな。菜々さんは、どうします？
菜々,ナ、ナナは……未成年です……のでっ！何を言ってるんですか、プロデューサーはっ…………それ、賀茂鶴？久保田？
モバＰ,いえ、獺祭
菜々,！？
芳乃,ほー、いいお酒ですねー。でも、賀茂鶴も久保田も十分いいお酒でしてー
モバＰ,おー、詳しいな
芳乃,神事に日本酒はつきものでしてー。未成年は飲めないのは残念ですねー。ねー？
菜々,っ！？そ、そうですね……くぅ！
モバＰ,己を突き通す、菜々さんに賞賛を
楓,このお酒を前に……尊敬します
芳乃,ほー、すごいですー？
幸子,……
菜々,幸子ちゃんの無関心さに救われます……
女の子1,わー！おめでとうございます～
菜々,おめでたい事では……って、どちら様ですか？
女の子1,私達、961プロのアイドル見習いで～、顔覚えて貰うためにお酌して回ってるんです～
女の子2,実は最近オーディション受かって、初仕事なんですよ。ささ、もう一杯
楓,ありがとう。女の子にお酌されるのも乙ですね。ん～、おいしい
女の子3,……
モバＰ,……
女の子1,それじゃ、私達あちらのお客様のところへ～
女の子2,失礼します。ほら、行くよ
女の子3,……
幸子,……何、見つめ合ってるんですか。カワイイボクを見ないでそれは失礼ですよ
モバＰ,いや、なんか目が離せなくってな。なんだろ……あの子、すごい人を惹きつける
芳乃,ほー……あの方もー
モバＰ,え？あ、うん。楓さんと似た雰囲気ではあるよな……芳乃？
芳乃,ちょっと、お花摘みー
菜々,ナナが付き添いますね
モバＰ,ああ、お願いします。ん？あの子も出てったな
幸子,乗り気ではない感じでしたからね。あの仕事を否定する訳ではないですけど……気持ちはわかりますよ
モバＰ,961プロで最近オーディション受かったって言ってたな。もしかしたら、幸子もあそこにいたのかもな
幸子,……芳乃さんに感謝です。あんな仕事、ボクは嫌です
モバＰ,あんな仕事っていうけど、度胸つけるにはいい仕事だと思うぞ。俺はさせないけどな
幸子,どっちにしろ、ボクは度胸あるから必要ないですけどね！
モバＰ,ほう？どれくらい？
幸子,ふっふーん！一人でスカイダイビングできるくらいはありますね！
モバＰ,把握
幸子,……例えばですよ？
モバＰ,デビューは野外ステージで……空から幸子が……イケルっ！
幸子,イケないですよっ！例えばですって！
モバＰ,でも、幸子って天使だぜ？
幸子,まあ、そうですね！
モバＰ,天使がステージに舞い降りたら？
幸子,素敵っ！
モバＰ,な？
幸子,はいっ！……いや、何がですか
モバＰ,ちぃ……勝負が早かったか……
楓,仲いいですねぇ。そんなプロデューサーにご報告。お酒が無くなりました
モバＰ,はやっ！二合あったのに！
楓,だって、二人だけで楽しそうに……
モバＰ,ヤベェ！カワイイっ！自称カワイイ人とか、目じゃないっ！
幸子,肩をツンツンされただけでっ！この愚か者っ！！
モバＰ,っ！ふ、ふふ……
幸子,……ちょっと、変なボクが出てきました。ふふ、んふふ……
楓,仲いいですねぇ……
菜々,もう、急にいなくなるから、びっくりしましたよっ
芳乃,ちょっと、揉め事の仲裁にー。導かれしものを導いてもおりー
菜々,ドラクエかな？ていうか、揉め事に一人で関わりに行っちゃ駄目ですよっ！めっ！
芳乃,ごめんなさいー。はは様みたいですねー
菜々,ナナはまだ若いですからっ！
芳乃,そなたーただいまもどりましてー
菜々,あ、待ってくださいよ。あれ、プロデューサー、二人は？
モバＰ,おかえりー。二人もトイレに。入れ違いになりましたね
菜々,こんなとこでも仕事ですか？ノートパソコンなんて持ち込んで……
モバＰ,芳乃の事を、ちょちょっとやっとこうかなと。あとはメールチェックを
芳乃,ほー、わたくしのことでしてー？なんと書きましてー？ほらー、教えてー
モバＰ,めっちゃ食いつくな。プロフィールどうしようかなって感じだから、まだなんも
芳乃,そなたとわたくしは、これから永き時をふたりで歩んでいくゆえー、そこのところよしなにー
モバＰ,お、おう……？あ、卯月からメール着てるな
曰く,ステージのスポットライトに照らされて……私たちもきっと輝ける……。さぁ、LIVEの時間だよ！
客席からも,スズホ・サン……
先輩Ｐが,ほんとに、こんなセット作るとは……スタッフ、ぱねぇ……
モバＰ,鬨の声？……生ハムメロン？……スズホ・サン……え？
菜々,あの、プロデューサー……ナナ、このままでいいんでしょうか？キャラ薄い気がしてきました
モバＰ,あ、そこは大丈夫です。十分濃いです
菜々,……釈然としないのは、何故なんでしょう
モバＰ,菜々さんはそのままが一番いいんですよ。ん～、大成功ならいっか！いい加減、飯食おっ！
菜々,芳乃ちゃんも食べてるし、ナナもカニ食べよっ！
芳乃,……
モバＰ,……
菜々,……
三人,……
幸子,静かですね……親睦会にカニは、難しいんでしょうか。ね、楓さん
楓,……
幸子,……。……
ちひろ,今日、最終面接でしたっけ？
モバＰ,はい。ほんとに、俺みたいなペーペーが居ていいんですかね
ちひろ,社長命令ですから、胸張って行けばいいんですよ
モバＰ,ですよね。これも勉強だ
ちひろ,ちなみに、面接はプロデューサーさんに全部任せるみたいですよ
モバＰ,は？
ちひろ,さらに言うなら、その場にいるの社長と芳乃ちゃんだけみたいです
モバＰ,え？は？芳乃？
ちひろ,……そうなりますよね。私もよくわからないんですが、どうも芳乃ちゃんに頼ってるふしがあるんですよね、社長
モバＰ,芳乃のお婆さんに世話になってたみたいだし、何かあるんでしょうね。それに、芳乃ってちょっと神秘的なとこあるし
ちひろ,ま、細かい事言わない社長と芳乃ちゃんなら、気楽にできると思いますよ
モバＰ,ですね。でも、俺なりに真剣に面接に来た子に向き合いますよ
ちひろ,それでいいです。そろそろですか？
モバＰ,はい。よしっ！
ちひろ,頑張ってくださいね。あ、卯月ちゃんからメールが……無事、ドイツに着いたと。あと、NGとTP以外の子もバックダンサーで出演するみたいですよ
モバＰ,おお！良かった！俺も気合入れよう！それじゃ、いってきますねっ！
ちひろ,は～い。いってらっしゃ～い
宮本フレデリカ,フレデリカだよ！
モバＰ,！？
フレデリカ,19歳で、フランス人と日本人のハーフなんだ！サウスポーでもあるよ！
モバＰ,う、うん……いろいろ言いたいことはあるけど、出来れば呼ばれてから入ってきて欲しかったな
フレデリカ,うんうん、こんな世の中はポイズンだよね。で、座ってもいいのかな？
モバＰ,……ポイズン？あ、どうぞ座って
フレデリカ,フンフンフフーン♪スカートチラッ♪なーんて！
モバＰ,……ください。うん、自由ね君。……んん？君どっかで会ったことがあるような……
フレデリカ,あー！佐藤さんだっ！久しぶりだね♪
モバＰ,……違います
フレデリカ,冗談だよー、鈴木さん
モバＰ,違うがな
フレデリカ,ごめんごめん！あーあー、昨日行ったサイネリアでね？
モバＰ,……サイゼリアのこと？
フレデリカ,そう！それっ！ミラノ風ドリアおいしかった！
モバＰ,うん
フレデリカ,フンフンフフーン♪
モバＰ,……………………ん？
フレデリカ,そんなにジーっと見られたら照れる～♪アタシも見つめちゃおっ
モバＰ,あ、さっきのくだり終わって……うん。ま、いいや。じゃあ、始めましょうか
フレデリカ,どんとこいっ！
モバＰ,まずは、何故このオーディションを受けようと思ったのですか？
フレデリカ,友達に、容姿もったいないから、生かせば？って言われたから！
モバＰ,ふんふん……確かに容姿はかなり整ってますね
フレデリカ,テレビ局でバイトしてた時も、いっぱい言われたかなー。アタシってラブリーエンジェル？
モバＰ,え？えぇ……
フレデリカ,おぉ！それじゃあ……サービスの小悪魔キッス♪
モバＰ,エンジェルが？
フレデリカ,堕天使？
モバＰ,いや、聞かれても……
芳乃,いい気の流れですねー。縁もあるようですしー
フレデリカ,おほっ！びっくりした！他の子もいたんだぁ
モバＰ,それが、この子も面接官だったりするんですよ
芳乃,アイドルでもあるのでしてー
フレデリカ,やっぱり？そうだと思ってたんだー！嘘だけど♪
芳乃,そなたー、この方は間違いないかとー
モバＰ,え！？間違いだらけな
社長,採用っ！
モバＰ,！？
フレデリカ,やったね♪
モバＰ,……まあ、正直嫌いじゃないから……いっか！この場で決まるなんて俺もビックリだけど、これからよろしくなっ！
フレデリカ,わっはー、テンション上がるー！よろしくね♪
モバＰ,次の方、どうぞー
姫川友紀,失礼します！
モバＰ,そちらにお掛けください。では、自己紹介のほうをお願いします
友紀,はいっ！姫川友紀。キャッツをこよなく愛する、20歳！お酒も大好きですっ！
モバＰ,キャッツ？四季？演劇に興味が？
友紀,野球です！強豪キャッツ！言わずと知れた、あのキャッツ！！
モバＰ,は、はぁ……野球……ん？あれ？君もどっかで見たことがあるような……
芳乃,ほー、どれー
友紀,ひゃっ！ち、ちかっ！えっと……？
芳乃,この方もーいい気の流れですねー。間違いないかとー
モバＰ,何が間違いな
社長,採用っ！
モバＰ,！？
友紀,え？え？
モバＰ,……えっと、合格です
友紀,あ、ありがとうございます？
モバＰ,……
友紀,……
モバＰ,だ、だよねー。こんな空気にもなるよねー。……えっと、プロデューサーのモバＰです。せっかくだからアイドルを目指した切っ掛けなんて聞いても？
友紀,あ、はい。野球関係の仕事……始球式とかしてみたいなぁ、とか……キャッツファンを増やしたいなぁ、とか
モバＰ,へぇ。あ、もう敬語はいいよ。俺もこんな感じでやらしてもらうね
友紀,なら……プロデューサーはどこの球団のファンなのかな？
モバＰ,特にないけど……担当アイドルが、あの赤い球団のファンだから、つられて応援してるな
友紀,プロデューサー、自分を持とう！つられて応援なんて駄目だよ！ちゃんと贔屓球団を作って、好きになって、愛して……心から応援しないと！
モバＰ,え、あ、ごめん？
友紀,そんなプロデューサーにおススメの球団がっ！その名も……キャッツ！！
モバＰ,うん、だろうね
友紀,一回見に行ったらわかるから！キャッツの魅力がっ！今度一緒に行こう！
モバＰ,前に見に行ったんだけど……まあ、いいか。さっき言ってた担当アイドルと一緒に行こうか
友紀,むむっ！ファンの獲得合戦、負けないぞー！ふぁいおーっ！！
モバＰ,はは。まあ、これからよろしくな。ふぅ……終わった。あとは、資料に纏めて選考会議に……
芳乃,そなたー。まだ、あと一人いるのでしてー
モバＰ,え？エントリーシートはもう無いけど……
速水奏,あの、ここに来るようにって……あ、本当にいた
芳乃,この方もー、そなたを導き、導かれる者でしてー
社長,採用っ！
モバＰ,！？
奏,……はい。一応この子に持ってくるように言われたから
モバＰ,紹介状……芳乃さん？これは……
芳乃,この方はー、温泉の時にお酌して回ってた方でー
モバＰ,あぁ！あの時のっ！
奏,また会ったね。ふふっ、しばらく見つめ合ったよね
モバＰ,そ、そうだっけ？それで、この状況は……
奏,ふふっ、そうね……私、あの時いい加減ウンザリしてたの。いきなり、コンパニオンの真似事をさせられて、セクハラまがいなこともされてね
モバＰ,やっぱり、そうだったんだ。出て行くの見てたからさ
奏,うん。そしたら、961のプロデューサーに捕まって、説教してきたの。私もアイドルにそこまで執着ないから、言い返したりしてたわ
芳乃,そこでーわたくし登場ー
奏,この子凄いね。あんだけ興奮してたプロデューサーも、すぐ大人しくなったわ
芳乃,争いは何も生まないゆえー。遺恨も残さない為にー、この方の契約もーなかった事にー
モバＰ,は？……は！？よしのんっ！？それは……
奏,私としては、助かったから……ね？
モバＰ,はぁ……なら、いいけど……あ、じゃあ
奏,うん。変わりにって、ここの紹介状貰って。半信半疑だったけど
モバＰ,なるほどね……でも、いいの？アイドルにそこまで……
奏,そうなんだけど、この子からあなたがプロデューサーって聞いて
モバＰ,え？
奏,見つめ合った時、特別な何かを感じたの。惹きつけられるっていうか……あなたはどうなのかしら？
モバＰ,い、いや、その……
芳乃,そこまでにしとくのでしてー。これ以上はわたくしもー、おもしろくないのでしてー
奏,ふふっ、残念。そういう訳だから、私もここに来た訳だけど……駄目かしら？
モバＰ,いや、大歓迎。これからよろしくな
奏,うん……見てて｡隅々まで見ててね？
モバＰ,……こりゃ、手強そうだな。引越し完了っ！改めて見ると、この事務所デケェ！！アイドル部署の優遇っぷりスゲェ！！
ちひろ,他もこのぐらいですよ、多分。こんなに広い敷地なんですから
モバＰ,もう、学園都市かって感じ！あいつら、帰ってきたら驚くだろうなぁ
ちひろ,ふふ、学園都市は言い過ぎですよ。子供達も喜んでましたね。早速、いそいそと探検に……かわいいですねぇ
モバＰ,未央あたりも、同じテンションで行きそうですね。明後日帰国でしたっけ？
ちひろ,はい。今日はフェス大成功のご褒美で、いろいろ遊ぶみたいで……あ、丁度メールが……ん？
モバＰ,どうしたんです？……げ
ちひろ,……取り上げられた模様です
モバＰ,送信だけはやり遂げてくれたんですね。泣ける
ちひろ,何言ってるんですか。それより、皆には黙ってたんですか？卯月ちゃんを報告係にしてたの
モバＰ,皆に言ったらキリなくなるからって、先輩が。元々、報告係ってのも、先輩と連絡方法について話し合ってたのを卯月に聞かれて、仕方なくですよ
ちひろ,そうだったんですね。先輩Ｐからもちゃんと報告上がってたから、報告係ってなんでだろうとは、思ってたんですよ
モバＰ,ま、大したやりとりしてないし、大丈夫でしょ
ちひろ,わかってないですねぇ。プロデューサーさんと内緒でやりとりしてたって事が……お、おぅ……すごい受信してるんですが……
モバＰ,スパムみたいですね……
ちひろ,ん？あら、卯月ちゃんから…………は、はは……
モバＰ,どうしたんです？そんな引きつって
ちひろ,あの、私に直接卯月ちゃんからメールがきまして……
モバＰ,携帯、返してもらったんですね
ちひろ,ええ……それで、バレましたと
モバＰ,え？さっきの続きですか？
ちひろ,いえ……凛ちゃん、私からの受信メールも勢い余って見てしまったらしく
モバＰ,ん～……ちょっとやり過ぎですね。流石にそこはちゃんと言っとかないと
ちひろ,そこは、本当に勢い余ったみたいで、すごく謝ってたみたいです……ただ
モバＰ,ただ？
ちひろ,そのメール……楓さんが雪美ちゃんにチョコを食べさせて貰ってる画像が……
モバＰ,それの何が…………あっ！おのれっ！ちひろぉぉ！！
ちひろ,てへっ☆
モバＰ,くあっ！ちょっとかわいいのが余計に腹立つぅ！
ちひろ,やだぁ、かわいいなんてぇ～
モバＰ,くぬぬ………………あの、俺の仕事用の携帯が荒ぶってるんですが
ちひろ,アイドルの子達には仕事以外、電話もメールも禁止にしてましたよね？
モバＰ,ええ、ええ……
ちひろ,確認したほうがいいのでは？
モバＰ,そうですね……………………………………………………………………………ふぅ
ちひろ,……どんまい！
モバＰ,ちひろさん……俺ここ最近、休み一日だけでずっと頑張ってましたよね？それこそ馬車馬のように
ちひろ,連休も返上で……うぅ
モバＰ,嘘泣きアリガトウございます。そこで、俺……明後日から、有給取ろうかなって
ちひろ,何を馬鹿なことを。こんな忙しい時に、取れるわけがないでしょう。ましてや、今年入社したばっかりの人が
モバＰ,明後日には、先輩帰ってきますから大丈夫
ちひろ,だから、何を……オーディションで受かった子達のプロジェクトだって
モバＰ,それ、宮本フレデリカが真面目でいい子だから、リーダーにおススメと伝えといてください
ちひろ,私、あの子ともう会ったんですが……とにかく、有給なんて取れませんって
モバＰ,……芳乃っ！よしの～んっ！！
芳乃,なんでしてー？
ちひろ,わっ！びっくりした！
モバＰ,俺、明後日から休みを貰おうと思ってるんだけど
芳乃,むー？ズル休みはいけないのでしてー
ちひろ,そうですよ。無駄な抵抗は……
モバＰ,そっか……芳乃のばば様にあいさつしようと、鹿児島に行きたかったんだけどな
芳乃,……
ちひろ,え！？芳乃ちゃん！？
モバＰ,みんなには、鹿児島に自分を見つめ直す旅に出かけたと伝えてください
ちひろ,そんな、こち亀のオチみたいに……
芳乃,なにをしてるのでしてー、早く出発するのでしてー
モバＰ,はやっ！じゃなくて、明後日から……
芳乃,許可は得たのでー、だいじょうぶー。早くーほらー
モバＰ,え、ちょっ……
ちひろ,……マジか
トライアド,プロデューサーのバカはどこ！？
ちひろ,鹿児島に自分を見つめ直す旅に出かけました
まゆ,え？
ちひろ,鹿児島に自分を見つめ直す旅に……
まゆ,え？
ちひろ,鹿児島に……
まゆ,え？
ちひろ,……プロデューサーの連絡先は、社長……部長が知ってます
凛,みんな、行こう
ちひろ,…………………………………………………………怖いわっ！
