子供たちは口をそろえて言う。,将来は、あの組に入るんだ
時津風,でもさー。……こんな手紙が置いてあったんだー
黒潮,ほほう？なになに……拝啓陽炎組さま。お前たちのオモチャは預かった。返してほしくば明日の正午、○○の倉庫まで来いだと。また微妙な場所を指定するもんやなぁ。うちと朝潮組の境やないか
陽炎,それもあるけど……。ってことは、私たちに気付かれずにこの本部の中に入ったってこと？
黒潮,……だったら、下のもんが手を抜いてたってことやろか
陽炎,それでも考えづらいわね。……ふふっ、おもしろい事してくれるじゃない
黒潮,ちょっ、組長が行くんかっ？別に浦風とかに行かせれば……
陽炎,別にいいわ、体動かしたいと思ってたとこだし。……時津風も一緒に行きましょうか
時津風,うんっ！いくー！
黒潮,はぁ……。まぁ、せいぜい気を付けてな
陽炎,わかってるわ。……明日の、正午ね……――
朝潮,ねぇ……。私たちは、このシマの方々を助けることができたと思う？
大潮,またセンチメンタルですねー、朝潮組長！最近は落ち着いてるじゃないですかー
満潮,そうですよっ！最近は組の残党も出なくなったし！
荒潮,うふふふ……、心配性ですねぇ
朝潮,モブ田組と、モブ本組の度を越えたショバ代とみかじめ料。それに苦しめられてる人々は、見るに堪えなかった……。…………こ、これは……。…………ッ！！。失礼っ！
モブ本A,……あぁ？何の用だ
朝潮,これはあんまりではないですかっ！？あなた達には、苦しんでる人々が見えないのですか！
モブ本A,はっ！おいおい、お前になんの関係があるってんだ。お嬢ちゃん、教えといてやる。……この世は弱肉強食さ。あいつらが弱いのがいけないのさ。あっはっはっは！！
朝潮,…………っ！
モブ本A,――おい、誰か早く追い出せ
モブ本B,へいっ！
朝潮,――だったら、私が代わります
モブ本A,あぁ……？
朝雲,さぁーって、出番よね。山雲、準備できてる？
山雲,朝雲姉はせっかちさんね～。爆雷、投げま～す
モブ本A,なっ……――っ！！
朝潮,――あれから少しは……
霞,組長ッ！大変ですっ！
朝潮,か、霞？いったいなにが？
霞,住民からの電話で、〇〇の倉庫で何やら怪しい動きがある……と！
朝潮,――っ！また組の残党がなにかを……っ？すぐに向かうわ！
陽炎,……そろそろ時間ね。さて、どうなるかしら
時津風,がるるー！
朝潮,――ここねっ、この倉庫――……って、あ、あなたは陽炎組の……！？
陽炎,そんな…………嘘でしょ。まさか、朝潮組――？
イタリア,る、るーるるる……。るーるるるる……
リベッチオ,パスタが無ければ暮らせないよっ！！
ザラ,ここでの生活に……金はいりません。小麦粉と水…………、なんなら後は卵を使って……パスタを作ればいいんです。どうしても食べたいなら、マカロニも作ればいい
ポーラ,それでもやっぱり……私はお酒が飲みたいわけでありぃ～……。こっそり家を抜け出してはぁ～……地中海をみながら、お酒におぼれるのでしたぁ～……
ルイージ,……あむっ……
ローマ,………………
アクィラ,すいません、あの――
ローマ,子供が、まだパスタ食べてるでしょうがっ！
朝潮,――あなたは、陽炎組の……っ！？
陽炎,嘘でしょ……。まさか、朝潮組……？
モブ本A,へっへっへ……。どうやらうまくいったみたいだなぁ、モブ田組よぉ
モブ田A,あぁ、作戦成功だ。うまくぶつけることができたみてぇだ。くくっ……！陽炎め……。どうせ何もできねぇとでも思って逃がしたのかもしれねぇが、俺はタダじゃ転ばねぇ男だぜ。お前たちが使ってる本部は、もともと俺たちの本部なんだってことを忘れるんじゃねぇぞ。いざという時の隠し扉ってもんがあんのさ
モブ本A,しかし、陽炎組を連れてくるとは……。なかなかやるじゃねぇか
モブ田A,そっちこそ。朝潮組をうまく誘導したな
モブ本A,あいつらは馬鹿正直なもんでな。適当に電話入れてやりゃこの通りよ
モブ田A,ふふっ……！こうなっちまえば、あいつらも争わずにはいられないはずだ……
モブ本A,弱り切ったところを、俺たちが潰すって算段だな。ふざけたやつらだが、そうなれば俺たちも負けやしねぇ――
陽炎,……参ったわね。……正直、まだ朝潮組とはぶつかりたくなかったんだけど……
朝潮,……同感です
陽炎,でも、そうも言ってられないわよねぇ？こうして出会ってしまったんだもの
朝潮,……えぇ。幸い、ここなら大きな被害は出ないでしょうし
陽炎,……時津風。……やるわよ
時津風,がるるー……！
朝潮,みんな、覚悟はできた？
大潮,テンションアゲアゲですっ！
満潮,えぇっ、いつでも
荒潮,仕方ないわねぇ～……
モブ田A,ははっ！いよいよやり合うみたいだぜっ！
モブ本A,へっへっ！本当、馬鹿な奴らだっ！
初風,――見ーつけた
モブ田A,――なっ！？て、テメェは……！？
初風,……組長。組長の読み通り、居ましたよ。今から連れて戻ります
陽炎,――あら、それはよかった。お願いね
朝潮,……見つかりましたか？
陽炎,みたいだわ。悪いわね、猿芝居につき合わさせちゃって
朝潮,いえ、かまいません。それよりも、陽炎さんが居てよかったです
大潮,はぁ～っ！なかなかスリリングでしたねっ
満潮,別に、そうでもないわ
初風,――お待たせしました
モブ田A,こ、この野郎っ！この縄を解きやがれっ！
モブ本A,お、おいッ！これはどういうことだッ！！
荒潮,うふふふふ。あなた達が、なにも知らなかったってだけよぉ
モブ本A,なんだとっ！？
陽炎,もともと、私たちと朝潮組は同盟関係にあるってことよ。……まぁ、知らなくても不思議じゃないわ。誰にも言ってないもの
モブ田A,くそったれめ……！
陽炎,あら、久しぶりね。とっくに逃げたものだと思ってたけど、その根性は見直したわ
モブ田A,いつから気付いてやがった
陽炎,最初っからよ。だいたい、色々と不自然だし
時津風,――ねぇねぇくみちょー。こいつ、私のオモチャにしていいの？
モブ田A,ひっ……
陽炎,まだダメよ。……とりあえず、私たちの本部にどうやって忍び込んだのか、詳しく聞かないとね
モブ田A,お、俺が喋ると――
陽炎,アンタは喋るわ。……いずれ、喋りたくなる。そういうものよ
モブ田A,…………っ
陽炎,――朝潮。もしそっちが良ければ、この二人は陽炎組が預かるけど……。それでいいかしら？
朝潮,はい、お願いします。……しかし、危ない所だったのかもしれません
陽炎,あぁ、同盟関係に無かったらってこと？正直、それでも私は朝潮組に手をだそうだなんて思ってないけどね
朝潮,それはありがたいのですが……。もし、この場に居たのが陽炎組じゃなくて、白露組だったらと思うと……。少し、自分は軽率だったのかもしれません
陽炎,……たしかに、ね。……まぁ、白露組はあの若頭が居る限り、こんな安い罠に引っかかるなんてことないでしょうけど
朝潮,わ、私はその安い罠にかかってしまったのですが……
陽炎,あははっ、そうだったわね。――でも、それが朝潮の良い所だと思うわ。恥じることはないわよ。……それに
朝潮,……それに？
陽炎,そんなあなたを支える組員が居るでしょう？……それでいいのよ、自分の道を貫きなさい
大潮,アゲアゲですねっ！
満潮,ふんっ……
荒潮,うふふふふっ
朝潮,――……はいっ！
陽炎,ふふっ……。それじゃ、私たちは引き上げるわね
朝潮,わかりました。……陽炎さん、お達者で。――それじゃ、私たちも帰りましょうか。私たちのシマへっ！
大潮,おーっ！
満潮,はいはい……！
荒潮,はぁ～い！
若葉,若葉だ。………………。………………。………………。次回暁が如く。くう腹の秋月組／謎多き初春組。任侠桜に仁義の嵐。……だが、悪くない
暁,……んぅ。……なによ、朝から騒がしいわね……
電,はわわっ！飛んでるのですー！
雷,で、でも、操作が難しいわね……。――って、組長っ！？
電,あ、危ないのですっ！
暁,えっ……？。――んがっ！……な、なにかぶつかった？
雷,ご、ごめんね組長
電,あー、組長が急に扉開けるからなのです
暁,私は悪くないでしょっ！？……これ、なによ？
雷,ドローンっていうんだって。なんでも、今度にやるお祭りの景品なんだとか。一個くれたの
暁,どろーん……？ふーん……
雷,組長もやってみる？
暁,ま、まぁ……。それじゃ、ちょっとだけ……――。――む、難しいわね……
電,天井にぶつかっちゃうのです！。あぁっ、ほら！壁に行っちゃうわ！
暁,わ、わかってるわよっ！え、えぇっと、こっちのレバーが高さで……
響,――ただいま
暁,ひ、響っ！危ないっ――
響,…………
暁,あっ……
電,組長とは大違いなのです
暁,わ、私だって寝起きじゃなきゃ――！
響,邪魔をしてすまないね。……ただ組長。ちょっと問題があったんだ……
暁,えっ、問題……？
響,うん。口で言うより、見てもらった方が早いかもしれない――
秋月,――うぅ……
照月,はぅ……
涼月,………………
初月,くっ……
暁,こ、この人たちは……？
響,シマの人たちの通報があってね。どうやら秋月組らしいんだけど、みんなここで倒れていたんだ
電,あ、あの、大丈夫なのです？
雷,ど、どうしましょう。救急車でも呼ばなきゃっ？
秋月,ご…………を……
暁,えっ？なんて言ったの？
秋月,――ご、ご飯を……下さい……
照月,うぅ…………
涼月,………………
初月,くぅ…………
暁,……ご、ご飯……――？
秋月,――助けていただいてっ！本当にありがとうございますっ！！
照月,とっても、おいしかったですっ！
涼月,この御恩は忘れません……！
初月,すまない、助かった……
暁,すごい食べっぷりだったわね……
電,みかじめ料が無くなっちゃったのです……
秋月,す、すいません……。もう何日も水しか飲んでなかったもので……！
雷,しかし、あんた達どうしてあんなところに？
秋月,え、えぇっと、その……。――あ、これドローンですね
暁,ドローンがどうしたのよ
秋月,い、いえ、実は……。私たち秋月組は日々射撃訓練を一生懸命やっていたんです。そして、ある時このドローンを見つけて。射撃訓練に良いんじゃないか……って話になったんですけど……
電,けど……？
秋月,き、気付いたらお金なくなっちゃって……。そしたらもう、あれよあれよという間に土地も取られちゃって……。今日までなんとか水だけで生きてたんですけど、ついにあの公園で倒れちゃったんです
暁,バカなの？
電,バカなのです
雷,バカね
響,ハラショー
秋月,――と、とにかくっ！この御恩はわすれませんっ！……忘れないのですが……その……
暁,なに、どうしたのよ？
初月,僕たち、行くところが無いんだ……
涼月,な、なので、その……ご迷惑だとは思うのですけど……
照月,――どうかっ、私たちを置いてはくれませんかっ？
暁,えぇっ！？そ、そう言われても……
雷,まぁ、下の部屋なら開いてるわ
電,でも……みかじめ料が……なのです
秋月,わ、私たち、一生懸命働きますからっ！
響,…………っ！組長っ、窓の外を見て！
暁,……あ、あれって……！？
電,ど、ドローンの大群なのです……！
雷,どういうことよっ！？
モブ山A,――はっはっは！！観念しやがれ暁組め……！
モブ山B,さすがアニキっ！すごい執念っす！
モブ山A,長かったぜぇ……。お前らに事務所を追い出されてから、復讐することだけを考えてやってきたんだっ！。この、ドローン爆弾で……事務所ごと吹っ飛ばしてやる！！
モブ山B,しかし、あの秋月組とかいうとこが馬鹿で助かりましたねっ！
モブ山A,あぁ、自分たちの金とドローンが盗られてることに気付かねぇで、さらには土地までくれたんだからなぁ
モブ山B,ははっ、いい気味ですぜ！
響,――……どうやらあのドローン、爆弾が付いてるみたいだ。組長、ここは引こう
暁,ば、爆弾ッ？みんなっ、逃げるわよッ！
電,はわわっ！だ、大事な物は……！
雷,そんなの今はいいわっ！いいから行くわよ！
暁,――ほらっ！秋月達も早くっ！
秋月,…………みんな、屋上へ！
照月,うんっ！
涼月,はいっ！
初月,あぁ！
電,え、皆さん、逃げないのですっ？
秋月,ここは秋月組にお任せを！練習の成果、示す時ですっ！。――いい、みんなっ。……一機も地上に落としちゃダメよ
照月,任せてっ！
涼月,近づかせるわけにはいきません
初月,了解っ！
秋月,さぁ、始めましょう。――撃ち方、始めっ！！
モブ山A,――あっはっはっはっ！！全部ぶっ壊れちまえっ！
モブ山B,……あ、あれ、アニキ……。なんかおかしくないですか？
モブ山A,な……っ！ドローンが空中で……っ！？
モブ山B,そ、そんな……！
秋月,――止めっ！。……全部、撃ち落とせたでしょうか……
暁,す、すごいじゃないっ！よくやってくれたわ！
電,すごいのですー！
雷,……あれ、響。ドローンに爆雷なんか付けて、何してるの？
響,あぁいや、向こうのドローンがこっちに届くなら、こちらのも……って思ってね
雷,わぁ、操作上手じゃない、響
モブ山A,そ、そんな……嘘だろ……
モブ山B,全部、撃ち落とされちまった……
モブ山A,――ってあれ、一機帰って来る……？
モブ山B,いや、アレはウチのじゃないですよ
モブ山A,じゃあアレはなんだよ
モブ山B,ん、なんか落とし――
暁,――しょうがないわね、わかったわ。下の部屋に置いてあげる
秋月,わ、わぁっ！ほ、本当ですかっ！
暁,ただしっ！ちゃんとシマの人たちの手伝いをして、自分でみかじめ料をもらうのよっ。わかった？
秋月,はいっ！ありがとうございますっ！
照月,やったぁー！
涼月,精一杯、がんばりますね
初月,あぁ、本当によかった――
青葉,――青葉ですっ！そんなあなたのお悩み、解決しますっ！。安心丁寧、明朗会計っ！今ならお得なアフターサービスまでっ！。お客様満足度No.1！この機会にみなさんもどうしょうかっ？。まずは無料相談窓口までお気軽にお電話をっ！。グリーンリーフ探偵事務所でした！
モブ村A,――……ぐっ！。……あ、あれ、どこだここ？縛られてるし……、俺なんでこんなところに……。た、たしか、俺は……。――そ、そうだ……。事務所に居たところを急に襲われて……！。クソッ！つかまっちまったのか……、逃げないと
モブ木A,――諦めな。そんなんで解けるんだったら、誰も苦労してねぇよ
モブ村A,えっ？だ、誰だあんたは……？
モブ木B,おうおう、ここに居るのは天下のモブ木組のアニキだぜぇ。気安い口きいてんじゃねぇぞっ！
モブ木C,そうだそうだっ！
モブ村A,俺と同じく縛られてるやつに威張られても……
モブ木A,はっはっは……。まぁまぁ、そんな畏まんなくたっていいぜ。……で、お前は？
モブ村A,お、俺はモブ村組のもんだ……。ここがどこだかわかるのか？
モブ木A,はっ、わかるわけねぇだろ。俺だってお前と同じで、気付いたらここに居たんだからよぉ
モブ木B,あぁん？てめぇアニキに変なこと聞いてんじゃねぇぞコラァ！
モブ木C,そうだそうだっ！
モブ村A,なんだこいつら……
モブ木A,――ま、こんなことしてくれたのが、何処のどいつだか知らねぇが……。へへっ、後悔させてやるぜ……
モブ木B,ひゅー！さっすが、こんな状況でも怯まない男だぜっ！
モブ木C,さすがさすがっ！
モブ村A,と、とはいっても……どうするっていうんだ？
モブ木A,ふんっ、これだからひよっこは……。――まぁ見てな。俺がちょっと言葉を荒げたら、誰だって許しを請うってもんだ
モブ木B,フーフーっ！そこに痺れる憧れるゥ！
モブ木C,ふーふーっ！
モブ木A,――へっ、さっそく来たみたいだぜ……。……見てなッ！。おうおうおうおうッ！！いい度胸じゃねぇかあぁんっ！？俺をどこの誰だか知ってんのかあぁんっ！？。天下のモブ木組だぜぇ……！お前たちなんかなァ、バラッバラにして犬の餌にしてやるぜあぁんっ！？
モブ村A,なんだ……？暗くてよく見えないが、子供にも見える……――？
モブ木A,ハッ！おう、いい度胸じゃねぇか！はっはっはっ、撃てるもんなら撃ってみやがれあぁんっ！？。あぁんっ！？知るかバカ野郎ッ！！いいから大人しく――
モブ木B,えっ
モブ木C,えっ
モブ村A,えっ
モブ木B,ひっ……！。え、えぇっと、今日はですねーっ！！確か○月の○日だったかと――
モブ木C,えっ
モブ村A,えっ
モブ木C,あ、あぁあああ……。あ、あのぉ……えっとぉ――
モブ村A,えっ。えぇえええええええ…………ッ！！？。ま、マズいマズいマズいマズいッ！！な、なんなんだこのクレイジー野郎は……！！。今日は何の日？だとっ！！？答えはなんだっ？二番目のやつが言った、ただの日にちじゃダメなのか……？で、でもそれじゃ何の日なんだッ！！？。は、早く言わないと殺される……！な、なにかいい答えは……、なにか……――。――ぼ、ボクの命日～。……な、なんちゃって……。わ、笑った……！助かっ――。あっ、俺死んだ……
初春,――待つのじゃ、子日っ！！
モブ村A,な、なんだ……？俺は死んだのか……？あれは……神か……
子日,………………
初春,……そこのお前
モブ村A,は……はい……
初春,生きたいか？
モブ村A,い、生きたいです……！
初春,……ならば、わらわのためにその命、使うと誓えるか？
モブ村A,はい……っ！誓います……っ！！
初春,そうか……。――初霜っ！
初霜,初霜、ここに……
初春,この者を昇華の間へと連れていくのじゃ……。生きることの喜び。同志と共に分かち合おうぞ
初霜,ふふっ、ではこちらに……
モブ村A,い、いいんですか……。私なんかが……
初霜,私たちはね、一人でも多く救えるなら、それで満足なのよ
モブ村A,うっ……ぐすっ……！ありがとうございます、ありがとうございますっ！
初春,はっはっは……。精進するのじゃぞ。………………さて、もういいぞ
モブ木A,――ふぃー！いやぁー、子日の姉御っ！今日の演技も極まってましたねぇー！
モブ木B,何回やっても鳥肌が立っちまいやすぜっ！
モブ木C,子日の姉御っ！最高っす！
子日,…………あ、あの、組長。子日、もう辞めたい……
初春,何を言っておるのじゃ！まだ今日のノルマが残っておるのじゃぞっ！
モブ木A,そうっすよっ！最高だったじゃないっすか！
子日,で、でも……
初春,子日……。これも我が初春組を大きくしていくためじゃ。わらわのために、もう少し頑張ってくれんか？
子日,…………はい
初春,ふっ、それでこそ子日じゃ
若葉,組長。準備できました
初春,うむっ！よし、それじゃ引き続き頼むぞっ！
モブ木A・B・C,はい、組長！
子日,…………はぁ……
白雪,――吹雪組、若頭を務めております、白雪です。雨には雨の戦い方がある……。とは言いますが、今回ばかりはそれも難しい……。雨は雨でも白露組。あの若頭・時雨を筆頭に血濡れの村雨狂犬夕立……どれも強敵ぞろい。隣にシマを持ってしまったが不運。私たち吹雪組の運命は……？。次回暁が如く。キケン、近寄るなっ！武闘派集団白露組。任侠桜に仁義の嵐！。組長……、どうかご決断を
暁,――お祭り？
雷,えぇ、この前言わなかったかしら？
電,今度、このあたりの商店街でお祭りがあるのですっ！
響,ハラショー
暁,……そういえば、ドローンがお祭りの景品だとかなんとか言ってた気がするわ
雷,だから、私たちも何か手伝いをしないとね
暁,えっ？て、手伝いって言っても、何をやるのよ？
電,お手伝いはお手伝いなのです
暁,えぇー……、ちょっと面倒くさいかも……
響,……そうか。残念だね
暁,えっ？
響,……手伝えば、みかじめ料でお好み焼きやたこ焼き、焼きそばとか貰えるかもしれないのに――
暁,――みんなっ！暁組の勢力を上げて手伝うわよッ！
秋月,――み、みなさんっ！
暁,秋月？そんな慌ててどうしたのよ
秋月,そ、それが……。私たちが見回りをしてたら……その、見つけてしまって……
暁,見つけた……？見つけたって……なにを？
秋月,そ、それがですね……――
モブ口組長,――白露組だァ？はんっ、だから何だってんだよ
モブ口A,し、しかし組長！あいつらの事を甘く見ない方が良いですよっ！あいつらのせいで、近くにシマを持ってた組のやつらは……――
モブ口組長,ガタガタうるせぇっ！お前、いつからそんなビビりになっちまったんだ、えぇっ？
モブ口A,――っ！く、組長……！！
モブ口組長,おいおい、よく考えてもみろよ。近くにシマを持っていたやつらがやられただぁ？それがどうした
モブ口A,えっ？
モブ口組長,俺たちだって、あの程度のシマを奪おうと思えば出来たんだよ。ただ、少し面倒だっただけだ。むしろ好都合じゃねぇか。その白露組を潰せば、全部のシマが俺たちのものになるってことだしなァ……。くく、はっはっはっ！！
モブ口A,………………っ！。組長はわかってない……！確かに、モブ口組はこの辺りでは一番の規模を持ってはいる……。そこらの組になら負けるはずはない。――だがっ！あいつらはそんなもんじゃない……！俺は……この目で……――。――今でも、目を閉じれば聞こえてくる……。あの悪魔の声が……！
山風,――はぁ……、……なんで私がこんなこと……
モブ口A,…………えっ？
山風,…………なに？
モブ口A,な、なにって……。お前は……！
春雨,もう、山風。口を慎みなさい
山風,………………
モブ口組長,……へぇ、テメェらが噂の白露組か？
春雨,はい、どうやら知っていただけているようですね
モブ口A,いつの間に本部の中にっ！？組長を逃がさないと……！。――ッ！！？
海風,――ゆっくり動いてください。変なマネはしないように
モブ口A,……わ、わかった
モブ口組長,……で？お前たちは俺たちと戦争でもしようってのか？こんなとこまで土足で入ってきやがって……。礼儀のなってねぇガキ共だぜ
春雨,戦争……というと、少し違うかもしれません
モブ口組長,へぇ？それじゃなんだってんだ？
春雨,戦争というのは、ある程度実力が拮抗してないとできないでしょう？だから、これは違うかと
モブ口組長,言いたいことがわかんねぇな。……同盟でも組みたいってか？
春雨,寝言を言うには、随分と目が開いているようですが
モブ口組長,…………ッ！
春雨,――ここは狩場です。今から約十分後、ここにハンターが来ます
モブ口A,狩場？ハンター？なにふざけたことを……！
春雨,どう思おうがあなた達の自由です。――私たちは、あなた達が逃げないように監視させていただきます
モブ口組長,ハッ！逃げ出すのはそっちの方だろッ！！――出て来いッ！！。お前ら……、生きて帰れると思うなよ
春雨,――江風、涼風
江風,はいよっ！
涼風,がってんだ！
モブ口B,なっ……！
モブ口A,だ、ダメだッ！お前たち、手を出すんじゃないっ！
春雨,そうです。ここに居る私たちには争いの意思はありません。――あぁ、もう時間が無くなってしまいますね……。それでは、私たちはこれで
モブ口組長,誰が逃がすか――
山風,――動かないで……
モブ口組長,――ッ！
春雨,山風。……村雨姉さんに怒られますよ
山風,………………
モブ口A,……村雨？それって……もしかして……
春雨,――あなた達に逃げ道などありません。……生き残る道はただ一つ。立ち向かうこと。それでは、がんばってくださいね
モブ口組長,お前ら……、武器は持ったか？
モブ口A,く、組長。やはり、逃げたほうが……！
モブ口組長,ここまで馬鹿にされて、逃げられるわけがねぇだろ……！ハンターだかなんだか知らねぇが、ぶちのめしてやる……！
モブ口A,…………っ。この声……。やっぱり、村雨っていうのは……！！
村雨,あらあら、いい感じね……。春雨はいい仕事をしてくれるわ。――うふふふっ。それじゃ、始めましょうか……
モブ口組長,――やっちまえっ！！
村雨,村雨……狩り、だーい好き
榛名,――霧島、聞いて！
霧島,榛名、急にどうしたの？
榛名,なんとですね！あの、ヒエーハウスが鎮守府にオープンするんですっ！
霧島,そ、そんな……！艦隊の頭脳と言われる私が、そんな大事なことを見逃していたなんて！
榛名,今すぐにでもチェックしないといけませんねっ！
金剛,――その心配は無いネー！榛名、霧島！
榛名・霧島,金剛お姉さまっ！？
金剛,今度openするヒエーハウスのために、ちゃーんとクーポンを確保したデース！
榛名,さすがお姉さま！
金剛,さらに！Openしてから一週間は、ドリンク一杯無料のサービスもやってるのネー！
霧島,すごい情報ですねっ！
金剛,サァ！準備はOK？
榛名・霧島,はいっ！
金剛,――Hey！そこのキミも、一緒に行くデース！
比叡,気合！入れて！待ちますっ！。――皆さんっ！ぜひ来てくださいねー！
時雨,はい、組長
白露,白露組はまだ一番じゃないの？
時雨,はい、まだです。いま、みんな頑張っている最中ですから
白露,ふーん……。いつ一番になれるの？
時雨,大丈夫ですよ。そう遠くない未来に……必ず
村雨,――はいはーい！村雨、いま戻りましたー
時雨,あぁ遅かったね。また遊んでたのかな？
村雨,そうかも。いい感じに……ね
時雨,――五月雨
五月雨,は、はいぃっ！
時雨,村雨にタオルを。そのままじゃ畳が汚れちゃうよ
村雨,えっ？
五月雨,も、持ってきますっ！――あっ
村雨,もう、大丈夫？……ちょうどいいから、村雨ちょっとお風呂に入ってこようかな
時雨,そうするといいよ
村雨,――あら、夕立は？
時雨,夕立なら、もう行っちゃったよ
村雨,えぇっ？まだ止めておく予定じゃなかったの？
時雨,まぁ、いいんじゃないかな。春雨たちに様子を見に行ってもらってるし
村雨,村雨も行きたかったなー……
時雨,お風呂に入ってからでも、きっと間に合うさ。何しろ相手は――。――あの吹雪組だからね
村雨,残ってればいいけど……
時雨,それでも艦娘さ。人間とは違う……。――あれ、夕立？
夕立,………………
村雨,もう終わった……ってわけじゃなさそうね。なにがあったの？
夕立,…………居なかったっぽい
村雨,居なかったって……
時雨,ふふっ。へぇ……なるほどね――
暁,――それで、これを見つけたってわけね
秋月,はい……
初月,どうしようか？
暁,砲は下ろしていいわ
雷,あなた達、吹雪組よね？……どうしてこんなところに？
吹雪,あ、あのっ！私たちのシマが、し、白露組に狙われてるって情報が入って……
電,えっ！あ、あの白露組なのですっ？
白雪,……えぇ。ですので、早々にシマを引き上げてきてしまったのです
吹雪,苦肉の策だったんですが……。幸い、白露組は堅気の人たちには興味が無いみたいなので……。お別れを言う暇は、ありませんでしたけど……
響,それで、何故ここに？
叢雲,ここが暁組のシマだって知らなかったのよっ！
磯波,ほ、本当です！私たち、逃げるのに一生懸命で……
浦波,ほとぼりが冷めたら、こっそり出て行こうと……してたんですけど
初月,そこを、僕たちが見つけたってところか
吹雪,はい……。――お、おねがいですっ！本当に悪気はなかったんです！見逃してもらえれば、すぐ居なくなりますから！
暁,……別にいいけど。あなた達、行くところはあるの？
吹雪,あ、いや……。はぁ……
雷,……どうするの、組長？
電,ちょっと、可愛そうなのです……
暁,…………そうね。私に一つ、良い案があるわ
雷,案……？
暁,――吹雪組のみんな、あなた達が良ければこのシマに居てもいいわよ
吹雪,ほ、本当ですかっ！？
暁,ただしっ！……条件として、吹雪組にはある仕事をしてもらうわ
吹雪,し、仕事……ですか？そ、その仕事っていったい……？
暁,……それは――
吹雪,――綿あめー！綿あめはいかかですかー！
白雪,甘くて、おいしいですよー！
初雪,なんでこんなことに……
深雪,まぁまぁ、初雪の姉貴！綿あめでも食べて……
叢雲,はいっ、お釣りよ！――って、なに見てるのよっ
暁,うんうん。よく仕事してるわねっ！
雷,いいじゃない！
電,なのです！
叢雲,ふん、組長命令よ。あんたの言うことを聞いてるわけじゃないわ
磯波,だ、ダメですよ叢雲姉さん……。お客さんもいますし……
雷,――お祭り、手伝ってもらえてよかったわね
暁,ふふんっ。やっぱりレディは頭を使わなきゃね
電,お祭りって、賑やかで楽しいのですー！
暁,あっ、射的もやってるみたいね！
秋月,秋月の射的屋ですよー！いかかですかー！
照月,照月の射的もどうですかー！
涼月,涼月も、射的やってます……！
初月,少しぐらい譲り合おうよ姉さん……
暁,あははっ、相変わらずね
響,――それじゃ、射的やろうかな
秋月,はい、どうぞー！
響,………………
秋月,ちょっ！ひ、響さんストップストップっ！！
電,わぁー！響ちゃんすごいのです！
雷,あはは、容赦ないわね
暁,――さてっ！私たちも、何か手伝えることがないか聞いてみましょうか
雷,そうねっ
電,なのです！
響,ハラショー
秋月,け、景品が……
暁,――それじゃ、みかじめ料獲得のため、みんな張り切っていくわよっ！
春風,神風組、若頭補佐……春風です。最近、他の組の動きが激しくなっているみたいですね。私たちはただ、静かに暮らせればそれでいいのですけれど……。はたして、風はどこへ吹くのか。次回暁が如く。けんもほろろ、神風組／陽炎組の収入源。任侠桜に仁義の嵐……ですね。風が嵐にならないことを祈りましょう……
陽炎,――はぁ……まったく、白露組は余計な事をしてくれたもんだわ……
不知火,………………
黒潮,そやなぁ……。まさか、睦月組・秋月組に続いて吹雪組まで……。暁組、たかが四人と見くびってたわぁ
陽炎,まぁ、まだ同盟を組んでいると決まったわけじゃないけどね。大きい動きは見られないけど、油断はできないわ
磯風,ふむ…………
浦風,それで、組長……。ウチらはどうするんですか？
陽炎,出来ることなら、白露組と同盟を結べればいいんだけど……。あの白露組が相手じゃ、望みは薄いわね。むしろ、何処でこちらを狙ってるのかわからないわ
初風,朝潮組を抜いて、シマが近いのは初春組とかかしら。……でも、初春組もいい噂聞きませんね
陽炎,……そうね。あとは親潮の結果次第ってところだわ……。――とりあえず、いつも以上に見回りは強化しときなさい。……さぁ、神風組はどう動くかしら――
神風,――それで……。この度はいったい何の用かしら？……陽炎組の親潮さん？
親潮,まずは、私たちの話を聞いていただける場を用意していただき――
神風,前口上はどうでもいいわ。用件をいいなさい
秋雲,ちょ、ちょっとその言い方は――！。――うっ……
旗風,お座りください。ここは私たちの本部ということをお忘れなきよう
親潮,……秋雲、ここは大人しくしていて。……ありがとう
秋雲,うぅ……
春風,旗風も……、その物騒なものはしまっておきなさい
旗風,はい……
親潮,――最近、睦月組や吹雪組に動きがあったことをご存知でしょうか
朝風,あぁあれね。噂程度には聞いてるわ
親潮,その中心にいるとされるのが暁組です。近頃動きが活発になりまして、今や私たち陽炎組にも匹敵するほどの勢力となっています。朝潮組とはほぼ同盟関係にあるのですが、なにしろ近くにはあの白露組がシマを持っていることもありまして、陽炎組としてはとても動きづらい状況です
松風,……なるほど。それで僕たちに協力を求めに来た……と。そういうことかな？
親潮,話が早くて助かります。……神風さん、どうか陽炎組に力を貸してはいただけないでしょうか？
神風,そう。まぁ、言いたいことはわかったわ。……どう思う、春風？
春風,……そうは言いましても。その暁組と私たちのシマは離れていることもありますし、直接は関係ないように思えますけど……
神風,そうなのよねぇ。それ、私たちになにか得なことってあるのかしら？
親潮,……これはあくまで推測にもなりますし、私個人の考えでもありますが――。あの白露組の事は、神風組の皆様もよくご存じかと思います。今回、いよいよ白露組はシマの拡大のため吹雪組に仕掛けました。……しかし、吹雪組がそれをいち早く察知し回避しました。……それでは、その白露組の次の矛先はどこへ向くと思いますか？
神風,へぇ、なるほどね。たしかに、無い話じゃないわ
