本田未央,しまむー！！なんで……なんでこんな事に……！
モバＰ,うおっ！引き留めるならもっと優しく……って、何この握力っ！
友紀,でも、晴ちゃんを待ち受けにしてるプロデューサーも悪いよー！疑われても仕方ないっ！ねっ？
心,そうだー☆大体、担当アイドルを差し置いて……ましてや坊主の待ち受けなんて嫌みの一つも言いたくなるでしょ～☆
モバＰ,わ、わかったから！これもう握撃の類だからっ！ぬあぁぁ！！
友紀,佐藤さんすっご……お？……っと
楓,あら。ふふふ
晴,誰が坊主だ！オラぁ！！
心,っんはぁ！！てめぇ、くそがきゃぁあ！天使の尻をおもっくそ蹴るとかありえんぞっ！！
晴,何が天使だっ！三枝でも襲名してろっ！！
心,二代目狙えってか？おーしおし……戦争じゃあ！！
モバＰ,うおぉぉ……助かった……
友紀,晴ちゃん、ダッシュで戻ってきたねっ！
楓,プロデューサーの事、ほっとけなかったんですね
モバＰ,いやいや、純粋に坊主呼ばわりにキレただけでしょう
友紀,今のに限ってはそうじゃないよ！プロデューサーもまだまだだねぇ
モバＰ,マジか……。乙女心って難しいな……
楓,ふふ。ところで話は変わりますが、夜……大丈夫ですか？私はその気なんですけど……
モバＰ,え？何がです？
楓,大人の本番の事です
モバＰ,……あぁ！もちろんヤリましょう！
楓,やった！久しぶりですから、とことんイキましょう！今夜は寝かせませんよ？
モバＰ,はは、お手柔らかに
友紀,ひゃ～……あたしはちょっとあっちに行ってるね……
モバＰ,待て待て。これお前も参加する奴だから
友紀,えぇ！？そ、そんな……い、嫌だよ！！
モバＰ,え？来ないの？
友紀,あ、当たり前でしょ！？あたしはもっとちゃんとした……その……
モバＰ,そっか……。友紀とも久しぶりに飲みたかったんだけどな
友紀,……え？
楓,プロデューサーの復帰飲み会……ふふ、楽しみです
友紀,……だよね～、楽しみ～
モバＰ,ん～？
友紀,……それ以上何か言ったら、セクハラで訴えるよ。先輩Ｐに
モバＰ,あ、ホンマスンマセン。……おっと。別の意味ですまん、友紀
友紀,あらら……じゃあ、楓さん向こうで予定立てよ！プロデューサーは反省しとく事っ！
モバＰ,ういうい
楓,ふふ。それではプロデューサー、また後で
モバＰ,はい。…………さて、ありすに千枝
橘ありす,……なんでしょう？
佐々木千枝,……なんですか？
モバＰ,急に手を繋いできた訳を聞いても？
ありす,晴さんにＰさんを呼んできてもらおうと頼んでたんですが
千枝,なんかそれどころじゃなくなったみたいなんで、私達がエスコートしようかなって
モバＰ,エスコート？
ありす,はい。こっちに来てください
千枝,ふふ、ビックリしますよ？
モバＰ,っとと。ビックリ？
財前時子,法子ぉ！！ソーサーにドーナツ置いたの貴方でしょ！！
椎名法子,そうですねっ！あたしですねっ！！
時子,っ！っっ！！言葉が出ないわっ！！何を開き直ってるの！！
法子,開き直るも何も、コーヒーにはドーナツ！鉄板ですよ！それもアイドル達の手作り！なんの不満が！？
時子,そこじゃないわっ！！コーヒーカップに立てかけられてるドーナツ！これに何も思わないのっ！？
法子,……一つの完成系？
時子,あぁ！？
法子,鞭は駄目！鞭は駄目ぇ！！
モバＰ,……確かにビックリした
千枝,は、はは……
ありす,あれは日常茶飯事ですから気にしないでください。本当はこの
城ヶ崎莉嘉,Ｐく～ん！会いたかっ……たぁ！！
モバＰ,うおっ！
ありす,……ドーナツをみんなで
市原仁奈,Ｐ！やっと帰って来やがりましたね！もう寂しいのは嫌だから、こうやってぎゅ～ってして、はなさねーです！
モバＰ,おう、今度は後ろから
佐城雪美,千枝…………交代………………
千枝,え？あ…………ぁ
雪美,Ｐの手…………安心……する…………
モバＰ,おぉ。今度は横からか
ありす,……
モバＰ,あぁ、すまん。ドーナツをみんなで、何だ？
ありす,知りません
モバＰ,えぇ……。ドーナツをみんなで作ってくれたって事でいいのかな、千枝？
千枝,ぅ～……
モバＰ,なんで涙目なの……
薫,みんな～、残りのドーナツ持ってきた……って、ああ！ずるい～！かおるもせんせぇと遊びたい～！！
みりあ,みりあも～！蘭子ちゃんこれお願いっ！
神崎蘭子,うむ。私が運んでおこう。存分に我が友と戯れてくるとよいわ！
薫,かおるのもっ！
蘭子,う、うむ
遊佐こずえ,……ん
蘭子,えぅ……りょ、両手が塞がってるゆえ……その……無理かなぁって……
こずえ,ん～！
蘭子,ぁぅぁぅ……だ、誰か……
前川みく,……何してるにゃ
蘭子,あ！みくちゃん助けて！私もう持てない！
みく,……Ｐチャンをこっちに呼んだ方が早いにゃ。Ｐチャ～ン！蘭子チャンが素になるくらい追い詰められてるにゃあ！
モバＰ,何だそりゃ。……待ってろ、すぐ行く……ふぬっ！
みく,……子供達に纏わりつかれて七英雄みたいになってるにゃ
蘭子,え！？カッコイイ！！
みく,カッコイイ！？
モバＰ,おぉ！美味い！これをチビ達だけで作ったとは！
みりあ,みりあはもう中学生だから、チビじゃないもん！
こずえ,こずえもー……おっきくなったー
モバＰ,……チビ達だけで作ったとはっ！
みりあ,もうもう！
こずえ,むー……
モバＰ,ははは。でも、本当に美味いなコレ
法子,当然！あたしが監督したんだからっ！
モバＰ,ん？君はさっき時子さんから逃げてた……
法子,椎名法子だよ！初めましてプロデューサー！
モバＰ,うん、初めまして。新しいアイドルでいいのかな？
法子,そうだよ！くるみちゃんと時子さんを仲良くする為に、ドーナツで篭絡作戦をしてたらなんかスカウトされてた！
モバＰ,……そうか。よくわからんけど、これからよろしくな！
法子,うん！よろしくっ！そしてこの素晴らしいドーナツの喜びを心に刻みこんでね！
モバＰ,お、おう。それじゃあ
莉嘉,Ｐくん！これっ！これアタシが作ったやつ！食べて食べてっ！！
モバＰ,わかったわかった。それじゃ……
仁奈,仁奈のも食べやがるです！
モバＰ,おう、ちょっと待ってな
ありす,Ｐさん。このいちごチョコの……
モバＰ,うん。美味そうだな。でもちょっと待って
千枝,これ……甘さを控えめにしたんです。食べてもらえますか？
モバＰ,オッケー。流石千枝ちゃん。気が利く良い子。だけどちょっと待って
こずえ,くち……あけれー
モバＰ,こずえもちょっと待っおぼ！？
こずえ,おいしー……？
モバＰ,くひにふっこんひゃいへまへん！んぐんぐ……うん、美味いぞ
こずえ,へへー……
莉嘉,もう！莉嘉のが先でしょ！はい、Ｐ君っ！！
仁奈,はいっ！
薫,はいっ！！
みりあ,はい！
ありす,……はい
千枝,……はい
モバＰ,待て待て！そんな一気には……うおぉ、ドーナツに包囲されたっ！
法子,幸せ包囲網っ！！幸せ包囲網だよ！？なんて羨ましいっ！！
モバＰ,何を言ってんのっ？はは～ん、さては君！アホだな！？
法子,アホじゃない！強いて言うならドーナツバカだよ！
時子,そうね。馬鹿の極みね。わざわざ戻って来るのだから
法子,ひぃ！時子さん居たの！？
時子,躾けの前に……ほら、ガキ共。Ｐと会話してない人がまだいるのだから、後になさい
莉嘉,う～……わかった。Ｐ君！後で絶対食べてよ！？
モバＰ,もちろん！……時子さん、ありがとうございます
時子,貴方はもう少しあしらい方を覚えなさい
モバＰ,うす。それじゃ、失礼します
法子,え！？ま、待って！躾けがどうとか言ってたんだけど！なんとか
モバＰ,出来ないなぁ……。ごめんな？
時子,アーハッハッハッ！！
法子,ひぃ！！三十六計逃げるが勝ちっ！！
時子,ドーナツがここにある以上すぐ戻ってくるハメになるのに、馬鹿ね
モバＰ,戻ってくるハメになるんだ……
瑞樹,あら、Ｐ君。ドーナツはもういいの？
モバＰ,後でまた頂きますよ。まずは皆に挨拶を
ヘレン,いい心がけね！
モバＰ,時子さんのおかげなんですけどね。……ていうことで、不肖の身ながら一年間の勉学を修め、この度プロデュース業に復帰することになりました！これからまたよろしくお願いします！！
安部菜々,おかえりなさい！また楽しい日々にしましょうねっ！
瑞樹,ふふ、約束通り全力でプロデュースしてね？改めてお帰りなさい、留学お疲れ様
ヘレン,ここで貴方の顔が見れて嬉しいわっ！一年間よく頑張ったわね！！
モバＰ,ははは。ヘレンさんは一緒に帰国したから、なんか変な感じですね
ヘレン,それでもホームに帰ってきた家族なんだから私は心から言うわ。お帰りなさい、Ｐ！！
モバＰ,……っ！な、菜々さん！相変わらずカワイイですね！なんですか、その不自然な若さ！マジ菜々さんじゅうななさい！！
菜々,な、なんですか！？急に褒められても……あれ？褒められてる？
瑞樹,……泣きそうなのを誤魔化したわね。Ｐ君？
モバＰ,……ヘレンさんの言葉は瞬発力があり過ぎるんですよ。スッと張り詰めてたものが溶けて……わかります？
瑞樹,ふふ、わかるわ
ヘレン,中々カワイイこと言うじゃない。いいわっ！来なさい！ハグしてあげるわっ！！
モバＰ,え！？それは恥ずかしいから……って、ヘレンさんが来てるじゃないですか
ヘレン,今は甘えなさい。心を休めることも大事よ
モバＰ,あ……意外と優しい……
菜々,誤魔化しのワンクッションで雑に扱われたナナにも優しさが欲しいです……
ヘレン,ほう……女をフォローするレベルの高さも、世界では求められているわ。Ｐ……男の見せ所よ
モバＰ,……見せ所ですか
瑞樹,そうよ。菜々ちゃんも女の子なんだから……わかるわね？
モバＰ,え？女の……子？
菜々,またそうやって……。どうせ、プロデューサーはナナの事なんてアスファルトに咲く花の様にしか思ってないんです……涙の数だけ強くなれば？的な……チラっ
瑞樹,……ほらＰ君。適当を装って照れ隠しもいいけど、度が過ぎると真意は伝わらないわ
モバＰ,……確かにちょっと配慮が足りませんでした。すいません
菜々,あ、あれ？シリアスな空気……。ボケたつもりだったのに……
モバＰ,菜々さん。さっきは変は言い方してしまいましたけど、真面目にカワイイと思っていますから
菜々,あぅ～……もしかして凄いスベったからシリアスにナナはカワイイ……って、え、え！？
モバＰ,はい。カワイイです
菜々,な、な……
モバＰ,若さについても……その容姿は奇跡です。誰もが羨んでいるはずです
菜々,あ、あー！それは嘘です！言い過ぎです！ナナはこれでも自覚して……
瑞樹,菜々ちゃん。本当に羨ましいわ。何その肌……ズルくないかしら？
菜々,でもでも……
モバＰ,面談の時のこと思い出して下さい。俺、１７歳に疑問を抱かなかったでしょ？
菜々,あ、あの時はプロデューサーの体調が悪かったから……
モバＰ,確かに。でも、菜々さんのプロフィールを作るまで気付かなかったのは事実です。それまでは女子高生だと思ってましたからね。ちひろさんに指摘されて初めて知ったんで、ちひろさんに確認してもいいですよ
菜々,……ぁ……ぅぅ
モバＰ,実は、今でもちょっと信じられないんです。この前卯月に、因果律と人の認識をうやむやに出来るのはウサミン星人の特権と言ったんですが、本当にそうなんじゃないかと疑うくらいには
菜々,……ふふ
モバＰ,これはアイドルにおける一つの理想像です
菜々,……ふ
モバＰ,そんな天性の素質に加えて、あきらめない心で常に前向きに努力してる菜々さんは、担当プロデューサーである……俺の誇りです
菜々,……ぅ
モバＰ,そして尊敬してます……って、流石に恥ずかしくなってきた！
菜々,……ぅぅ
モバＰ,そういう事でっ！……雑な感じになっちゃったのは、好きな子には意地悪したくなる少年心？な～んて……菜々さん？
菜々,……ふあぁぁあ゛あ゛あ゛～！んあ゛あ゛あ～！！
モバＰ,嘘ぉ！？泣いたっ！
菜々,だってぇ、だってぇ！！
モバＰ,俺、地雷踏みました！？
菜々,踏みましたぁ～！うあ゛あ゛あ゛～！！
モバＰ,ど、どこら辺に埋まって……
菜々,ナ、ナナ……年齢とかキャラとか……んぐぅ……いつもイジられてて……それに合わせてリアクションするけど……ひぐっ……ナナは只のキツイ人なのかなとか、そんなナナはアイドルをやっててもいいのかなとか……たまに不安になって……ふぐぅ
モバＰ,……
菜々,そんな地雷を踏み抜くように……プロデューサーの想いを聞かされると……聞かされるとぉ！爆発しちゃいますよぉ！！うわあぁぁん！！
瑞樹,あらあら。くるみちゃんとどっこいの泣きっぷりね
ヘレン,そうね。でも溜め込むよりいいわ！
モバＰ,ですね。恥ずかしかったけど言って良かったです
菜々,んぐぅ……ふ～ふ～……ホントに良かったと思ってますか？
モバＰ,ええ。菜々さんの不安に気付けなかったのは反省ですが……多少なりとも俺の想いで楽になれたのなら、嬉しいですよ
菜々,ホントのホントですか？そうやって心の柔らかいところへ優しい言葉を刺すと、女はコロっといっちゃうんですよ？
モバＰ,……？どういうことです？
菜々,……
モバＰ,……？
菜々,……きゃは☆
モバＰ,！？
瑞樹,Ｐ君。察してあげなさい。コロっといっちゃって、それをつい言ってしまったものだからテンパってるのよ
菜々,わー！わー！！わあぁぁぁああ！！プロデューサー！あっちで幸子ちゃんが呼んでる！……気がする！
モバＰ,んふっ！！おふっ！！わ、わかりましたから、背中を拳で押さないで！！そ、それじゃ、また後で！
菜々,はぁはぁ…………ふふふ
ヘレン,恋する乙女はとてもブリリアントねっ！菜々の表情がグッと良くなったわ！！
瑞樹,でも、ライバルは多いわよ～。留美さんに美優さんでしょ？美嘉ちゃんに……莉嘉ちゃん達も大人になってきたし
菜々,……ふふ
瑞樹,トライアドプリムスは言わずもがな、みくちゃん、卯月ちゃんもそうね。未央ちゃんはどうなのかしら？
ヘレン,未央も惚れてるわ！あの照れ隠しはどうにかしないといけないわね！
瑞樹,ほうほう。あとは、奏ちゃんと芳乃ちゃん……新人ちゃん達の中にも居そうね
菜々,……ふ
瑞樹,そして……まゆちゃん
菜々,……
瑞樹,まゆちゃん
菜々,……んぐぅ
ヘレン,さっき泣いた時と同じ感じになってるわね
瑞樹,さもありなん……ガンバレ菜々ちゃん！！
菜々,……ふぇぇ
モバＰ,よお、さっちゃん！俺を呼んでたって？
輿水幸子,別に呼んでませんよ……ふんっ！
モバＰ,……なんで怒ってんの？
速水奏,ボクを差し置いて他の人をカワイイと言って……それも効果的に泣かすシリアスさで！相変わらず節操がないですねっ！……て、とこかしら？
モバＰ,そうか……それより、奏も怒ってない？
奏,……さあ？
幸子,ちょっと！それよりってなんですかっ！それよりって！！
モバＰ,冗談だって
奏,冗談なの？私のことはどうでもいいの？
モバＰ,そうくるかぁ。まいったな……どうしよう、さっちゃん。俺詰んだ
幸子,……そこでボクに振るのはどうなんですか。もう一人居るでしょう
モバＰ,だって真ん中の子……ほっぺ膨らましてカワイイのに、威圧感が凄いんだもの。だったら普通にカワイイ幸子に振るよ
幸子,……ボクがカワイイのは当然ですけど、その言い方はズルいです
依田芳乃,むー……そなたはあちこちに気を持たせすぎなのでしてー
奏,同意見なのでしてー
モバＰ,そんなつもりはないのでしてー……で、なんで三人腕組んでんの？仲良いな
幸子,……ここ最近ずっとなんですよ。気付けば芳乃さんが隣にいるんです
奏,謎の安心感があるからいいのだけれど……
芳乃,二人に向けられる悪意はー、わたくしが振り払うゆえー
奏,この調子なのよ
モバＰ,芳乃……それは大ごとか？二人は大丈夫か？
幸子,急に真面目なトーンで何を言ってるんですか……
芳乃,それがー……少し嫌な思いをさせてしまうかとー……
幸子,え！？よ、芳乃さん！？
芳乃,察するのが遅れ、己の未熟さを痛感していましてー……でも、きっかけを作った責任は果たしたいとー
モバＰ,きっかけ？
奏,……何が起きるの？
芳乃,人の不幸は蜜の味、これを生業とする輩が嗅ぎ回っていましてー
モバＰ,二人にスキャンダル……
幸子,そんなの無いですよっ！ねっ、奏さんっ！！
奏,……
幸子,え！？
モバＰ,……まさか、奏が俺にキスしたことが？でも、芳乃きっかけじゃ無いしな……
幸子,奏さん！？本当にしてたんですか！？
奏,……隙だらけなＰさんがいけないのよ
モバＰ,えぇ……
芳乃,……そなたは脇の甘さを改善する努力が足りないと思いますゆえー、もっと強く、強く強く心構えを
モバＰ,よ、よしのんっ！それはまた後でっ！
芳乃,では、後程たっぷりとー。件のことは奏の接吻の事では無いのでご安心をー
モバＰ,そっか……。まぁ、事務所内での事だったしな
幸子,ほっ……。奏さん！もっとアイドルとしての自覚を持って下さい！プロデューサーとキスとか致命的ですよっ！
奏,そんなに怒鳴らなくても……。キスくらい……
幸子,くらい！？今くらいって言いましたか！？あり得ませんよ！！
奏,……Ｐさ～ん
モバＰ,圧倒的に幸子が正しい。反省しなさい
幸子,プロデューサーさんも！普段ゆるすぎるから隙をつかれるんです！もっと緊張感をもってください！
モバＰ,……ごめんなさい
幸子,気をつけてくださいよ！……って、説教してる場合じゃなかった。ボク達にスキャンダルが……
芳乃,二人はそこまで心配することは無いかとー。ただー……
モバＰ,……？
芳乃,……そなたー。想いというのは、時に自らを包む重い影となりー、周りはおろか、己の在り所まで見失ってしまうこともあるでしょー。これはそなただけのことでは無いのですがー、己を律して、信念を曲げず良き判断をー
モバＰ,……肝に銘じておく
芳乃,邪な意思が蠢いていますがー、そなた達なら自らの力で、如何なる困難も……今だ囚われてる過去も乗り越えられるでしょー。……口惜しいのですが、わたくしの介入をばば様に止められてましてー……見守ることが最良の場合もあるとー……
モバＰ,……そっか
幸子,あれ？じゃあボク達のことは？
芳乃,わたくしが関わったことについてはー、介入も問題ないとー
幸子,そうですか……。でも芳乃さんに頼りっぱなしていうのもアレですね。ボク達も気を引き締めないと！
奏,そうね。けどやっぱり不安だから……Ｐさん、安心させて？
モバＰ,……おうっ！何があっても守るから大丈夫。それが俺のプロデューサー道！
奏,そういう事じゃなくて
モバＰ,あ、ひでぇ
奏,行動で。具体的にはお互いを感じられる最高のコミュニケーションよ。ん
幸子,またこの人はっ！！芳乃さん！！
芳乃,かしこまりー。そなたー、邪な意思が蠢いているのでー、この場から離れたほうが良いかとー
奏,あん。芳乃ちゃんお願い。私不安なの
芳乃,幸子がしてくれるので、安心をー
幸子,何で！？
モバＰ,ガンバレ幸子。女の子同士ならノーカンだ
幸子,他人事のように！
モバＰ,じゃあ俺にするか？ほれ、カモン。ん～
幸子,なんでそうなるんですかっ！出来る訳ないでしょう！？腹立つぅ！！
モバＰ,んはは。幸子はカワイイなぁ！
芳乃,そなたー？わたくしはー、この場から離れたほうがいいとー、言いましたがー？
モバＰ,はいすいません早急に離れます
奏,あぁ……もぅ……
幸子,まったく……
奏,……幸子ちゃん、する？
幸子,しませんっ！！
モバＰ,過去か……
双葉杏,……
大沼くるみ,……
森久保乃々,……
モバＰ,…………え！？いつの間にか囲まれてるっ！
杏,結構前から居たよ。一番最初に担当した杏達を放っておいて、イチャついてばっかりだったプロデューサーを囲んだのは結構前からだよ。一番最初の担当だから杏達は特別なのかな？だから後でゆっくりと話をしたいのかな？っていいように解釈して待ってたけど、いつまでたっても来ないよね。シビレを切らして視界に入るほど近くに寄ってみてもスルー。しまいには、過去か……って呟き。一番最初の担当アイドルなのにホントくそ腹立つよ
モバＰ,じ、饒舌ね……
くるみ,……ぷろでゅーしゃー……くるみ達のこと、もう忘れちゃったのぉ？一番最初に担当したくるみ達のことぉ……
乃々,プロデューサーさんの一番最初の担当……もりくぼはそれがちょっと自慢だったのに……一番最初の担当だからって特別ではなかったんですね……
モバＰ,そ、そんなに一番最初の担当を強調せんでも……
杏,だって、ここのみんなパンチ効きすぎなんだもん。杏達のアドバンテージはフル活用するよ
乃々,最近もりくぼ達の存在感が薄いですから……。まぁ、それはそれでいいんですけど……
くるみ,でもぉ、ぷろでゅーしゃーには忘れられたくないからぁ……
モバＰ,忘れんって。他が強烈なだけで、お前達も十分個性的だから心配すんな
杏,……それ逆に心配になるんだけど
モバＰ,いい意味で
杏,あ、殴りたいその笑顔
モバＰ,んはは。まあでも……お前達が言うように、一番最初の担当アイドルだからな。やっぱり特別な想いがあるし……大切な三人だよ
くるみ,ふえぇ……よかったぁ……
杏,……聞いてるこっちが恥ずかしいセリフなんだけど。何？口説いてるの？
モバＰ,照れんなよ～。素直にデレてくれてもいいのよ？
杏,馬鹿じゃないの？
モバＰ,バッサリだな、おい
乃々,特別な想い……ふふ……
杏,お？乃々がデレてる
モバＰ,マジかっ！よし、乃々！ハグしてくれ、ハグっ！
乃々,べ、別にデレてないんですけどぉ！？ぁ……ハ、ハグとか恥ずかしいんですけど……ぅぅ、恥ずかしいんですけど……
モバＰ,テンションのコントロールをミスった乃々がカワイイんですけど
乃々,ぅぅ～……
モバＰ,おぉ……乃々が攻撃してくるなんて……。強くなったなぁ……嬉しいぞっ！このこのっ！！
乃々,な、撫でるならもっとやさしく……ぅぁぅぁ……
杏,ボブルヘッドみたいになってる。……もりくぼぶるへっど
モバＰ,もりくぼぶるへっど……イイね！グッズ作ってみるかっ
乃々,語呂悪いんですけど……
モバＰ,いいじゃん。もりくぼぶるへっど。な？くるみ
くるみ,ん～！
モバＰ,……どした？急に抱き付いて
くるみ,くるみはデレてるからぷろでゅーしゃーにハグぅ
モバＰ,そこ喰いついたか
くるみ,だって、乃々しゃんばっかりズルいからぁ。くるみも強くなったよぉ？
モバＰ,ホントか～？さっき泣いてた気がするけど？
くるみ,……あんまり泣かなくなったもん。う～
モバＰ,ははは、ごめんごめん。ほら
くるみ,ひゃあ！
モバＰ,ドーナツでも食って機嫌直せ～？
くるみ,みんな一緒に？
モバＰ,おう！
くるみ,えへへ～
杏,……ふふ
モバＰ,……杏も機嫌直ったか？
杏,別に本気で卑屈になってた訳じゃないよ。プロデューサーが難しい顔してたから茶々いれてみただけ。まあ、いつもの光景が見れて安心したよ
モバＰ,……そうか
杏,何を悩んでるか知んないけど、あんまり根を詰めないようにね
モバＰ,ん。……にしても
杏,？
モバＰ,杏が大人になってるのが悔しい！見た目全然成長してないのにっ！
杏,貴様っ！最低な……ていうか、降ろせー！
モバＰ,うはは！いつまでも子供でいようぜー！
杏,や、やめ……ふへへへ
くるみ,う～、いいなぁ
乃々,これもいつもの光景なんですけど……。プロデューサーさん、変わってないですね……
モバＰ,そう！俺は変わらない！杏のネバーランドはいつでもここにあるからな！
杏,うるさいよ……くそぅ、やっぱり楽しんでしまう……
モバＰ,ふはは。さて、それじゃあチビ達のドーナツを食いに行くかっと……その前に
くるみ,どうしたのぉ？みんなで一緒に食べよ？
モバＰ,ん～……ちょっと待ってな
ツタンカーメン,……
モバＰ,鈴帆
上田鈴帆,……なんね
モバＰ,いつからそこに？
鈴帆,……フレデリカしゃんがバズーカぶっ放したときにはすでに
モバＰ,棺に入ってたのか……ずっと……
鈴帆,……あれで飛び出すタイミングを失ったばい
モバＰ,あぁ……。なんかごめんな？すぐ気付かなくて……
鈴帆,謝らんでほしいと……声かけてくれただけでも嬉しかばい……
モバＰ,そうか……
鈴帆,うん……
モバＰ,……
鈴帆,……
モバＰ,ドーナツ……一緒に食べよう？
鈴帆,うん……
モバＰ,……
鈴帆,……
モバＰ,鈴帆ちゃん！！
鈴帆,なんね！！
モバＰ,それ、初めて会ったときの格好だよな！？
鈴帆,そうたい！！
モバＰ,出迎えを想い出の格好でとかっ！なんかありがとう！！
鈴帆,Ｐしゃんっ！優しさが痛いっ！！その無理矢理捻り出したフォローが、ブローになっとると！
モバＰ,フォローが、ブロー……上手い！
鈴帆,いちいち拾うんじゃなかっ！！恥ずかしいでしょっ！！
モバＰ,あ、今の言い方キュンとくる
鈴帆,んもー！！ウチはボケ側の人間！そういうの上手くツッコミ返せないから以後禁止っ！！
モバＰ,やだもう鈴帆ちゃんカワイイ
鈴帆,あ゛あ゛あ゛っ！！みんなー！！Ｐしゃんがウチのこと口説いてくるとー！！キュンとくるとかカワイイとかマジヤバかー！！
モバＰ,ば、馬鹿っ！！そんな天丼はいらな……
クラリス,Ｐ様
芳乃,そなたー
モバＰ,……二人共早過ぎ
鈴帆,……みんなまだ動き出せてないばい
クラリス,Ｐ様からお話しを聞く前に、私からもお話しをしないといけませんね
芳乃,ちょっとおイタが過ぎるのでしてー
モバＰ,……力強いね、二人共
クラリス,さぁ、行きましょう
芳乃,ドーナツを食べながら、ゆるりと話しをしましょー…………たっぷりとー
モバＰ,……くるみー、みんなでドーナツの時間だぞー
くるみ,む、む～り～……
モバＰ,マジかぁー……
みく,大変にゃあ！！Ｐチャンがっ！Ｐチャンがぁ！！
蘭子,ついに至ったか！？
みく,何に！？
蘭子,我が魂と共鳴しめし暗黒守護騎士へと！
みく,……はい！そうですねっ！じゃ、これ見るにゃ！
蘭子,プロデューサー……みくちゃんがいじめるぅ……
モバＰ,お～よしよし。かわいそうな蘭子。自分が猫キャラをおざなりにされたら引っ掻いてくるくせになぁ
みく,そういうおふざけはまた後にゃ！とにかくこれ見てっ！！
モバＰ,何を必死に……
蘭子,週刊誌？……え！？
モバＰ,346プロが誇る人たらし！アイドルをも虜にしてる！？モバＰという人物を徹底解明！！…………は！？
蘭子,顔写真まで……
モバＰ,なんだよ……これ……
みく,Ｐチャンのことは、気持ち悪いくらい良い様に書かれてるけど……
蘭子,これ今やバラエティには欠かせないボクっ子Ｓ、高校卒業してさらに引き込むような妖艶さがましたＫ。この二人、実は961プロのアイドルだったが―――って、幸子ちゃんと、奏さんじゃ……
みく,うん……。二人がＰチャンに惚れて、無理矢理移籍したみたいな書き方されてるにゃ
蘭子,幸子ちゃんはオーディションを受けただけなのに……
みく,奏チャンもセクハラ営業が嫌で辞めたのににゃ。Ｐチャンを褒めるダシに適当なこと書くなんて……んもー！！
モバＰ,……芳乃が言ってたの、これか……
みく,Ｐチャン？
モバＰ,でも、奏はともかく、幸子と961の関わりなんてあってないようなものなのに、どこから……？まさか……
みく,Ｐチャンっ！！
モバＰ,……え？
みく,電話出ないの？
モバＰ,あ、ああ。すまん。……！ちょっと外すな。…………お待たせしました。……どうも。黒井さん。私から連絡を入れようと思ってたんでちょうど良かったです。今日発売の週刊誌に、不自然に私を持ち上げてる記事があるんです。黒井さん……関わっていますよね。……簡単に認めるんですね。……なぜこんな事を？。その話ははっきりとお断りしたはずです。…………それはあり得ません。……アイドルの子を巻き込むのは止めてください。……。速水も事実とは異なります。それは……。……え？。ぐっ……。くっ……芳乃のことは何としても隠さないと……っ！。……は？。よしのんスゲェ……。……ど、どうも。来週の……記事？。……やっぱり今回だけじゃないんですね。っ！。……はぁ
みく,Ｐチャン……大丈夫？みくがお膝に乗ってあげようか？
モバＰ,なんでだよ……
みく,だって、電話の後からあからさまに元気無くなってるにゃ。猫は主人が落ち込んでる時寄り添うものにゃ
モバＰ,あぁ……猫ってそういう空気読むよな
みく,うん。だから……
モバＰ,大丈夫大丈夫。ただよしのんスゲェなぁって感嘆してただけ
みく,そんなため息じゃなかったにゃ。Ｐチャン無理しないで？
モバＰ,……わかったよ。じゃあ、蘭子おいで
蘭子,え！？
みく,なんでにゃ！！
モバＰ,突然のにゃんにゃんゲームっ！
みく,それはねこみみをつけた人がにゃあをつけて喋るという画期的な遊び！もう！Ｐチャン！！
モバＰ,冗談冗談。蘭子も……
蘭子,いざ求めん！安住の地へ！！
モバＰ,……ノッて来おったわ
みく,ダブルミーニングにゃ……
蘭子,……っ……っっ……
モバＰ,あ、やっぱ恥ずかしいんだ
みく,勢いって怖いにゃあ……
幸子,プロデューサーさん！芳乃さんが言ってたのこれだったんですね！バラエティには欠かせないとかカワイイボクにふさわしくない……って、貴様はドール愛好家かっ！！
モバ・蘭子・みく,……
幸子,……ほ、ほ～らスベりました。やっぱりボクはバラエティに向いてないただのカワイイ子なんですよ～？
みく,勢いって怖いにゃあ……
奏,幸子ちゃん。ドアはゆっくり開けないと危ないわ。怪我するでしょ
幸子,確かに……身をもって知りました……
奏,で？Ｐさんはなんで蘭子ちゃんを膝に乗せてるの？
モバＰ,……ドール愛好家だから？
幸子,くっ……
奏,……蘭子ちゃんも、なんで？ねぇ？
蘭子,ひぃ！す、す……
奏,す？
蘭子,水銀燈です
奏,……何？
蘭子,第一ドールです
奏,……Ｐさん
モバＰ,いや、俺にも分からん
蘭子,や、闇に飲まれにゃあ！！
モバＰ,おごっ！ら、蘭子の後頭部が顎に……
蘭子,ぁぅぅ……いたい……
みく,羞恥と恐怖で、蘭子チャンが自分を見失ったにゃ
幸子,カオスですね……って、そんなことより！この記事って本当にボク達のことなんですか！？
モバＰ,そんなことって……。まぁ、読者の捉え方によるけど、大半の人は幸子と奏だと思うだろうな
幸子,んなぁ！カワイイボクがバラエティ要員だなんて大問題じゃないですかっ！
モバＰ,それを突っ込むのか
幸子,当たり前じゃないですかっ！他にどんな
奏,幸子ちゃん。ちゃんと最後まで読まないと。はい、ここから読んで？
