輩,ともがら
電,長門お姉ちゃんですか？そういえば提督宛に手紙を預かっているのです
提督,お手柄だな。では早速見せてくれ
電,確かこの茶封筒だったかな……？
提督,どれどれ……。ぬぅぅぅぅぅぅぅわぁぁぁぁぁぁぁぁがぁぁぁぁぁぁとおぉぉぉぉぉぉぉぉっっっ！！！
最後の,赤城
？？,特型駆逐艦“○”よ。って、こっち見んな！このクソ提督！
曙,ねぇ、クソ提督！
提督,……
長門,……
曙,私ずっと遠征しかしてないから、演習でもいいんで戦わせろって言ってたわよねクソ提督！
提督,……
長門,……
曙,直談判したそのすぐ後にまた遠征に向かわせるとか、ホント冗談じゃないわ！このクソ！クソ提督！
提督,……
長門,……
曙,ねぇ聞いてるのクソ提督！ご飯食べながら聞き流すとかほんと踏ん切り悪いわねクソ提督！？ねぇちょっとクソ提督！？
提督,おぅカレー食ってるときにＮＧワード連発やめぇや
長門,提督
提督,あん？
長門,おかわり！
提督,おかわりは三回までだっつってんだろ胃袋セブン
長門,む、人を牛みたいに言うのは失礼だぞ。流石の私でも七つは持ち合わせてないな
提督,その言い方だと胃袋をマジで複数持ってるみたいに聞こえて恐ろしすぎるんだが
曙,……夫婦漫才も大概にしなさいっての
提督,曙ちゃんは遠征組が不満なのか？
曙,他にどう聞こえるか教えてほしいくらいよクソ提督
長門,曙ちゃんもそう言ってるじゃないか排泄物提督
提督,つまり前衛で戦いたい、と
曙,わざわざ言わないと分からないからクソ提督なのよ
長門,こんなに可愛い子の話もロクに聞けないから味噌提督なんだろうな
提督,適材適所。曙ちゃんが輝ける場所はちゃんとある。今は遠征枠として頑張ってくれないか
曙,……いつかちゃんと出撃させてくれるんでしょうね？
長門,うっかり騙されちゃダメだぞ。この白痴提督は言葉巧みに罠にかけるからな。私も何度それにかかったことか
提督,少し間は空くが、とある島では駆逐艦だけで戦ってもらう事になる。そこの旗艦になれるよう邁進してほしいんだ。おぅビッグセブンちょっと表出ろや、今日こそ白黒つけてやるわ
長門,上等だ。もし私の拳を見事受け止められたら人間卒業を認定してやろう
提督,殺る気満々なところ恐縮だが、涅槃でもらっても嬉しくもなんともねぇよ
曙,……イチャイチャするなら余所でやってくれないかしら
提督,なぁ、長門よ
長門,どうした？
提督,“Iloveyou”って日本語に訳すとどうなるか、知ってるか？
長門,“貴方のご飯は最高です”だろう
提督,不覚にもちょっと感心しちまったじゃねぇか
長門,他にも有名どころだと、“月が綺麗ですね”や“君の為なら死ねる”だな
提督,さすがに知ってたか
長門,では“Ihateyou”はどう訳すべきだろう
提督,“月は綺麗ですね”とかどうだ
長門,なるほど、奥深いな。つまり、日々の何某を共に分かち合えるのが愛の表現ということか
提督,愛とまで深くはなくとも、親しんだ仲の表現法としては良い形なのかも知れないな
長門,ふむ。では私と提督もそういう親しい仲として何か分かちあってみるか？
提督,俺とお前が分かち合えることねぇ……開発とか？
長門,一理ある
提督,４６ｃｍ砲が出来たらもれなく“月が綺麗ですね”と叫びたいわ
長門,ペンギンは３体作成できたぞ
提督,……
長門,他にはアレか、間宮さんのアイスを共に食べて美味しさを分かち合うのはどうだ？
提督,それは妙案。美味いものは同意し易いから良い着眼点かも知れん
長門,では早速向かおう
提督,もちろん折半でな
長門,いやそこは話の流れ的にも提督の奢りだろう
提督,お前が駆逐艦級の食欲なら考えたわ
長門,淑女とのデートだぞ？
提督,バケツ３杯分もパフェを食う淑女とか、アイス食べる前から腹が痛くなるわ。腹がよじれるのが原因か
長門,それに折半なら給料の前借り待ったなしになるがいいのか？
提督,おい待てや、最近だろ月給渡したの！？お前一体何をどんだけ買ってんの！？
長門,ヒントは駆逐艦、とだけ答えておこう
提督,それもう答えじゃねぇか！あんだけ無駄遣いすんなっつってんのに！
長門,むぅ……
提督,頬を膨らませてもダメに決まってんだろ
長門,……
提督,……
長門,……
提督,……
提督・長門,月は綺麗ですね
提督,あ？
長門,お？
電,ふ、二人とも！凄い形相でメンチ切り合うのはやめてほしいのです！
長門,ふぅ……
提督,アンニュイな溜息だな。何か悩み事か？
長門,む、失敬。少し考え事をしていたんだ
提督,お前が物憂げだと槍でも降ってきそうだ。俺でよければ話くらい聞くぞ
長門,なんだ、今日の提督は妙に優しいな。それこそ槍が降りそうだ
提督,このハンサムが優しくないときなんて無かっただろうが
長門,ハンサム、か……。なぁ提督、ラーの鏡というものを知っているか？
提督,なんの真実を俺に見せようとしているんだお前は。何があったか話してみろよ。そういうのは相談すりゃ意外と早く片付くもんだ
長門,気遣い痛み入る。ではその言葉に甘えさせて頂こう
提督,おぅ、どんとこい
長門,これはあくまで、もしもの話題になって恐縮だが……
提督,もしも？
長門,提督は週に一度の楽しみにしている番組があったな
提督,その条件でいうと、大河ドラマくらいか
長門,確かそれをデスクに置いてあるＰＣに撮り溜めていた事はうっすらと覚えている。その、だな。まぁなんだ、あれなんだ
提督,歯切れが悪いな、お前らしくもない
長門,提督が楽しみにしていた“軍師官○衛”が“プリ○ュア”に上書きされていたらどうする？
提督,その艦娘を見つけ出して、そいつの艤装を浮き輪に変えて演習に出すくらいかな
長門,鬼か貴様
提督,どの口が言うか。はぁ……。どこぞのぽんこつ戦艦様のおかげて、俺がアンニュイな溜息ついちまったじゃねぇか
長門,まぁまぁ提督。言ったじゃないか、これはあくまでもしもの話だと
提督,いやホントそうであるように願わざるを得ないわ
長門,安心しろ。このビッグセブン、“プリ○ュア”はリアルタイムで駆逐艦の皆と見る。そう決めているんだからな！
提督,誇らしげな所が一つもねぇよ。まぁ、違うってんなら一安心か。ついでの機会だし、まだ見てない分を仕事しながら垂れ流すかな
長門,そうか。では私は鍛錬でもしてこよう
提督,なんだよ、付き合い悪いな。今回の大河ドラマ面白いんだしお前も見ていけよ
長門,え、いや、その、と、途中から見ても分からないかなと思ってな
提督,そりゃ雰囲気で楽しめばいいだろ。どれ、さっそく溜めていた分のデータファイルを……ッ！
長門,……
提督,……
長門,……
提督,……
長門,……
提督,……確かに“プ○キュア”は上書きされていないな
長門,だろう？
提督,不思議な事にデータ名が“love○ive!”で埋められているんだが、心当たりはないかね長門くん？
長門,きっとドラマのサブタイトルだな
提督,“軍師○兵衛～loveli○e!～”とか世界観ぶち壊しってレベルじゃねぇだろ
長門,意外と見てみると中身はそのままという可能性もあるぞ
提督,一縷の希望、という単語をこんなしょうもない機会に使うとは思ってもみなかったわ。じゃあ再生してみるか
長門,ワクワクするな
提督,悪い意味でドキドキしかしねぇよ。なぁ長門
長門,なんだ提督、今いい所だから邪魔をしないでほしいのだが
提督,岡○准一っていつの間に栗色のサイドテールになったんだ？
長門,ちょんまげを縦で結うか横で結うかの違いだろう
提督,なるほどそうか、はっはっは
長門,はっはっは。ほら見てみろ提督、このライブシーｎ……合戦シーンは迫力満点だろう？
提督,年の為に外付けＨＤＤにドラマを焼いていて良かったわ……
そうしてそれをもう片方が,下手くそ
軽く頭,かぶり
提督,長門
長門,なんだ？。ほぅ、このビッグセブンのカラオケレパートリーを愚弄するとは良い度胸だな。我ながら自信があるものにケチをつけられると躍起になるのは艦娘の性か
提督,どんだけ自信あったんだよ。試しにもっかい歌ってみろや
長門,まかはんにゃ～♪はーら～みーた～♪ふふん、ふんふんははんふん、チェケふんふ～ん♪
提督,ラップに般若心経のミキシングとかすげぇなおい。なんか気も抜けたし、どうにも手が進まねぇ。こりゃ休憩いれるべきか
長門,茶菓子は適当でいいぞ
提督,ノータイムの返答で上司をパシろうとすんなや阿呆
長門,じゃあ私が持ってくるから提督秘蔵の“長崎土産カステラ”を出してもいいんだな
提督,食われぬよう金庫にまで入れて保管してたブツを何故知っている！？
長門,長門、見ちゃいましたというやつだ
提督,どこで見たのか一言お願いします。見られたものは仕方ないとして、眠気覚ましを兼ねたクイズとかどうだ？
長門,クイズ？。ふふ、けっきょくは休憩するんじゃないか。相分かった。秘書艦思いの提督の温情、有り難く賜ろう
提督,お前が不利な条件だから、歌うジャンルくらいは縛り無しでいこう。おぅよ
長門,ぼんぼんぼん、ぼんっぼん♪ぼんぼんぼん、ぼんっぼん♪
提督,まさかのイントロときた
長門,ぼんぼんぼん、ぼんっぼん♪ぼんぼんぼん、ぼんっぼん♪
提督,……
長門,ｳｪﾝｻﾞﾅｲｯ!
提督,……standbyme
長門,正解！流石は提督だな、やるじゃないか
提督,なめてんのか
長門,何故だっ！？。常日頃からの疑問ではあるのだが
提督,あん？
長門,ふむ。成る程。それなら私を連れて行かない理由も頷けるな
提督,……
Ａ督,おい、あの人ってもしかして……
Ｂ督,ああ、間違いない。あの提督をラバウルで知らない人なぞ居ないだろう
Ｃ督,やはり威厳が違うな。目の下に刻まれたクマが威圧感をさらに醸し出している
Ｄ督,あえて練度の低い艦娘だけを連れて、新兵の俺達に勝利を献上してくれるとは……相当な器の大きさまで持っておられる
Ｅ督,その素晴らしい胆力、流石は“新米少佐になってしまった”御方なだけはあるな
Ａ督,しかして、今日も提督の懐刀は姿を見せず、か
Ｂ督,戦艦殲滅用艦娘ﾊﾞﾄﾙｼｯﾌﾟｽﾚｲﾔｰ
Ｄ督,一撃で沈めきれなかった戦艦の胸元に三式弾を素手で撃ち込んだという逸話もあながち誇張ではなさそうだな
Ｅ督,いつの日か俺達も伝説の艦娘と相見えることが出来るよう、あの方に今日も胸を借りていこう！
提督群,応ッッッ！！
提督,…………
長門,しかし、たまには演習に出向かせてくれ。この長門、他の艦娘がどのような強さか非常に気になる所だからな
提督,そのうちな、そのうち
長門,む？見ろ提督、雷ちゃんが外から手を振っているぞ
提督,おお本当だ
長門,今日も駆逐艦は可愛いな
提督,おぅせめてヨダレくらい拭く努力しろや
長門,これは失敬。先月出た給料で買った時雨ちゃんハンカチを使わざるを得ない
提督,この前もそれ買ってなかったか？
長門,あれは保存用だ。複数持ち合わせるのは淑女として当然の嗜みだろう
提督,なに真顔で格好つけて言ってんだ駆逐艦フェチ。まぁ、お前を演習に連れて行かない理由を強いてあげれば……
長門,挙げれば？
提督,憧れは憧れのままがいい、というやつか
長門,提督、酒はいける口か？
提督,嗜む程度だよ
長門,今宵は良い月だ。たまには席を一緒にしないか？
提督,珍しい誘いだな、別に構わんぞ
長門,快諾感謝する
提督,ただし、俺達の目の前に山の如く積んである書類を片してからだがな
長門,片付けていたら夜が明けてしまいそうになるだろう。今日くらい放っておけばいいさ
提督,……それもそうだ。お前は先に酒を持って屋上に行ってろ。間宮さんに何か肴を作ってもらってから俺も上がろう
長門,うむ、了解した。提督が来ずとも肴さえ来てくれたら私としては十二分だな
提督,花より団子か
長門,その言い様だとまるで提督が花みたいじゃないか、失敬な
提督,その失敬という単語をブーメランで返したるわ。ほぅ、本当に綺麗な月だ
長門,夏名残の夜空に浮かぶ銀月の美しさ、これを一人で楽しむにはあまりにも勿体ないだろう
提督,この景色を俺みたいなボンクラに分けて貰えて光栄だな
長門,気にするな。私が貴方と一緒に見たかっただけさ
提督,そりゃ尚更嬉しい限り。どれ、そろそろ酒の席でも設けるか
長門,うむ、楽しみだ
提督,じゃあ……何に向けて乾杯って事にする？
長門,この夜の美しさと、この世の素晴らしさに
提督,大仰だな
長門,では私達が出会えた奇跡にでもするか？
提督,ニヤニヤしながら言うんじゃねぇよ
長門,ふふ、照れる顔だけは可愛いぞ提督。本当にからかいがいのある人だな
提督,うわもう超腹立つ。“だけ”って強調するあたりメッチャ腹立つわ
長門,では、この夜の美しさと
提督,この世の素晴らしさ。そして、もう一つ
長門,？
提督,お前と過ごせた最初の夏に、乾杯
長門,……乾杯。……おい
提督,なんだ？
長門,……ニヤニヤするな
提督,お前も充分からかいがいがあるわホント。そういや、最初の一杯は何故か決まってビールなんだよな
長門,どういう風習でそうなったのかは分からないが、確かに開幕でのビール乾杯は鉄板だな
提督,さっきの乾杯もお互いビールだったか
長門,いつもの癖という奴だろう
提督,ん？いつの間にかお前ジョッキ空っぽじゃねぇか。もう飲み終わるとか早えぇなおい
長門,ビール如きサクッと一気に流し込むに決まっているだろう？
提督,いやそんな当たり前だろう？みたいな顔されても困るわ。学生の飲み会じゃねぇんだから
長門,だらしないな。最初の一杯は即空けするくらいの勢いが提督には足りないぞ
提督,その言い分だと酒の強さには自信がありそうだな
長門,まぁな。４ガロンくらいなら余裕だぞ
提督,お前胃袋以外にも複数臓器を持ってたんか……
長門,なぁ、提督
提督,なんだ？
長門,酒の席は無礼講だろう？
提督,そりゃ目上の人が言って初めて成り立つんだが……まぁいい、今日は確かに無礼講だな
長門,有り難い。無礼講ついでに色々と聞いてもいいか？
提督,美味い酒は口元を緩くするからな。普段話せないこともうっかり話しちまうかも知れん
長門,成る程。うむ、今日の酒は美味しいな
提督,ああ、極上だ
長門,思い返せば、最近はよく海域に赴いて戦っているなぁ
提督,思い返すも何も、今日だって戦ってきたじゃねぇか
長門,小破一隻で退却、碌に戦果も上げれぬままで帰港が今日の結果さ
提督,貧困鎮守府だとドックの空きは少ないほうが備蓄を食わずに済むんだ、合理的じゃねぇか
長門,なかなか貧乏が肩を掴んで話してくれないのは困り者だが
提督,大飯喰らいと年頃の子を養ってると、必然的に足りなくなっちまうんだよ
長門,やれやれ……ようやく年頃の子という認識をしてくれたのか。全く、時間がかかりすぎだぞ
提督,今の流れで前者以外にお前が当て嵌まらないとでも思ってる事に驚きだわ
長門,他の艦隊は任務を併行して出撃しているそうだぞ
提督,へぇ
長門,任務報酬で賄っている軍が殆どで、そこから遠征で燃料などを備蓄しているんだとか
提督,よそはよそ。うちはうち。良い言葉だな。うっかり忘れていたんだよ、うっかりな
長門,はぁ……ほら提督。酒が足りてないぞ
提督,おっと悪いな。次は水割りで頼むわ。ん？
長門,我が鎮守府の主は昼行灯を演じており、あえて戦果を上げていないのかと
提督,買い被りすぎだ。なんだもう酒に酔っているのか長門
長門,……ああ、そうかも知れないな。酔ったついでにまた酌でも願いたい
提督,あいよ。日本酒でいいか？
長門,せっかくだから提督も飲め。ほら、また盃を交わそうか
提督,おぅ、乾杯
長門,乾杯。提督、知らないとは言わせない
提督,ん？
長門,“私達は中破でも戦える”
提督,……
長門,それでも何故、頑なに撤退を繰り返す？駆逐艦の皆も、小破なら戦況にさほど影響は出ない筈だ
提督,……
長門,何をそんなに怯えているのか、教えてくれないか？
提督,……酒が足りないぞ、長門。次は焼酎のロックで作ってもらおうかな
長門,……うむ、失敬。たらふく飲んでくれ
提督,……
長門,……
提督,……大本営から目をつけられたくないだけだよ。強すぎる、ってのは俺に言わせれば悪目立ちだ
長門,どういう意味だ？。必然的に轟沈の確率が跳ね上がる事になる、か
提督,逆らえば銃殺。かといって逆らわなければ轟沈。進退窮まる最低の二択が待っていることになりかねない
長門,嫌なジレンマもあったものだ
提督,好きな人が沈む姿は何度も見たくないんでな。俺はボンクラくらいが丁度いいのさ
長門,要するに、私たちが可愛くて仕方ないと
提督,今日の酒は自白用に最適な一品だな。言わなくていいことばかり喋らせてくれる
長門,おっと私のお猪口が空になってしまったぞ提督。ああ、これは困ったな。このままでは喋る言葉も乾いてしまうなぁ
提督,へいへい。お注ぎ致しますよっと
長門,有り難い。どれ、折角なので一杯頂こう
提督,良い飲みっぷりだな。惚れ惚れするわ
長門,そのまま惚れておけ。損はさせんぞ。そもそも、貴方は心配性すぎる
提督,何がだよ。大胆と剛胆を十で乗法したのが俺だろう
長門,では肝胆に隠しているのは臆病風と思いやりのどちらだろうな？
提督,おいおい。一体何を根拠にそう言ってんだか
長門,先日の演習が主な要因だ
提督,ああ、あれか。相手の提督が非常に畏まってやりづらかった事この上なかったなぁ
長門,いやな、提督。ようやく私を出撃させてくれたのは非常に有り難いのだが
提督,うん？
長門,私の装備一式を守りで固めて出撃させただろう
提督,それが？。なんで照れくさそうな顔してんだよ
長門,……乙女心を分からん輩め。演習だから全力で迎えるのが礼儀だろう？なのに防御一辺倒な装備はあまり好ましくないのだが
提督,いいじゃねぇか。演習でも油断すんなっていう戒めってやつだ
長門,ほら、酌をしてやる。注ぎすぎて酒が猪口から零れる前に本音が漏れるといいんだがな
提督,おま、これむっちゃ高い酒なんだぞ！
長門,ほれ、ほれほれ。もうすぐ溢れるぞ～。
提督,ビッグセブンにあるまじき悪い顔してんな！？お前もしかして本気でちょっと酔ってんじゃねぇの！？
長門,銘酒の森伊蔵が零れるまでのカウントダウン開始。３、２、１……
提督,分かった分かった！お前が怪我するの地味に嫌なの！
長門,やっと喋ったかボンクラめ
提督,うるせぇよポンコツ。脅迫に限りなく近い何かだろこれ……
長門,しかして、さっきの言葉は非常に嬉しい限りだ。だがな提督、あの時の私の装備を思い返してくれ。相手の提督が真面目にやれ、と目で訴えてきたのも致し方ないだろう
提督,そこは猛省してるわ
長門,我ながらこれでよく相手旗艦を打ちのめせたものだと自賛する
提督,この装備で結果を出せるお前のポテンシャルどうなってんだよ
長門,なぁ提督。心配してくれているのは本当なのか？
提督,知らん
長門,おいこっち向け
提督,万力みたいな握力で肩掴むのやめろや
長門,ん？
提督,あ、いや嘘です冗談です、マジでちょっとだけでいいから力をほんの少し緩めてもらえませんでしょうか？
長門,回答次第だ
提督,……俺の秘書艦だからそれくらい察せよ
長門,……相分かった。勝手に解釈させてもらおう。む、酒がそろそろ切れそうだ
提督,頃合的にも良い時間帯だな。明日に差し支える前にそろそろ切り上げるか
長門,まだ飲み足りないぞ
提督,飲み足りないのは同意見だが、流石にお酒を足そうにも間宮さん閉まってるだろうなぁ
長門,おいおい、酒の在り処はもう一箇所あるじゃないか
提督,マジかよビッグセブン。有能じゃねぇか
長門,提督の部屋だ
提督,おぅ褒めた言葉分の労力返せや。そもそもお前な、こんな夜更けに俺の部屋に来るってどういう事か分かってんの？
長門,勿論だ
提督,……長門
長門,二次会に決まっているだろう
提督,……色恋沙汰とか一瞬でも考えた俺が不埒なのか？
長門,なんでそこで色恋の話が出るんだ？
提督,あ、ダメだこいつ天然だ
長門,さぁ、提督！飲みなおしだ、部屋に行くぞ！
提督,はいはい。まぁ俺の部屋だと娯楽もあるし、ゲームでもしながら二次会すっか
長門,勝負事には全て全力でいかせてもらうぞ？提督が泣きを見なければいいのだがな
提督,ぬかせ。お前が泣きべそかいて自室に戻る様がありありと思い浮かぶわ
長門,ふふ、今からが楽しみだ
提督,ほんと綺麗な顔して笑うなぁ、こいつ。可愛いなぁ。おぅ生ける不渡り手形。とっとと資料作成の準備しろや
長門,流石は提督だ。開口一番で人の心を自然とささくれだたせる事に関しては天才だな
提督,なんだ図星つかれて返す言葉もないのか？
長門,呆れてものも言えないだけだ
提督,ほぅ、昨晩マジで泣きべそかいてたビッグセブンは言う事が違うねぇ
長門,コントローラを床に叩きつけようと何度も葛藤していた提督も中々のものだったぞ
提督,あ？
長門,お？
時雨,なんで二人とも朝からあんなにバチバチ火花散らしてるんだい？
夕立,夜遅くまでゲームして遊んでたんだけど、なんかそこでケンカしたっぽい
時雨,……僕が貸したドカポンが原因じゃありませんように
暁,……。……。……。……。ついに、ついに購入してしまったわ。大人への第一歩。一人前のレディになるには避けて通れない道。普段から憧れていたけれど、いざこうして手に取ると緊張するわね。でも、でも提督だって普段から手にしてるし、私が買っても問題ないわよね！。前に買おうとしたら暁ちゃんにはまだ早いっ！なんて止められたけれど。あ、暁だってもう大人なんだから！こんなの全然余裕に決まってるじゃないっ。誰だって初めてはあるわ。挑戦あるのみよ！。……ブラックコーヒー、見てなさい！。でもコレって凄く苦いらしいのよね。前に響が飲もうとしていたけれど、少し口に含んだ瞬間に無表情で吹き散らしていたわ。そのあとにずっと歯磨きとうがいしてたから、相当なものだったんでしょうね。べ、別に暁ならへっちゃらだし！。でも美味しくないのよね……や、やっぱり甘いカフェオレにしておけばよかったかな。どうしよう、もう買っちゃったから返品できないし。もう飲むしかないのかな…？。むぅぅ～～～っ！
長門,どうした、缶コーヒー片手に考え事か？
暁,長門おねえちゃん！？。どうしてここに？
長門,少し休憩をしようと思ってな。飲み物を買いに来たんだ
暁,長門おねえちゃんは大人のレディだから、やっぱりコーヒーを買うのかしら？
長門,いや、私は……
暁,あ、暁もいつものようにコーヒーを買ってみたわ。やっぱり午後の一服はこれが一番よね
長門,そうか？私はどちらかと言えば……。手に持ってる缶の銘柄はアメリカンという事は突っ込んではいけないのだろう……
暁,一人前のレディは、海風にあたりながらブラックを嗜むものよね
長門,……なるほど、そういう事か。どれ、私も飲み物を買おうかな
暁,あっ
長門,おや？
暁,あ、ミルクたっぷりの甘くて美味しいカフェオレだ。え、えぇ…！？。あ、暁は無理なんてしてないわ！
長門,何の事だか分からんよ。それよりどうだ、交換の件は前向きに考えてくれたかな？。ふふ、流石は一人前のレディだ。このビッグセブンも感服せざるを得ない。暁ちゃん
暁,な、なに？
長門,ゆっくりでいい。ゆっくりでいいんだ
暁,……。……。……うん、そうね。そうするわ！じゃあ今度一緒にお茶しましょうね、長門おねえちゃん！
長門,うむ、了解だ。素敵なレディからのお誘いとあらば断るわけにはいかないな。じゃあ私は執務室に戻るとする。また後でな
暁,うん、またね！
長門,ふふ、背伸びする子も可愛いものだ。しかして……。……。カフェオレ、飲みたかったな……。ブラックか……。……。……。……。にがっっッッ！！
電,司令官さん、おはようなのです
暁,本日はお日柄もよく、なのです
提督,おぅ、おはよう。朝から元気が良いな、なんだか励まされるわ
雷,今日もはりきっていくずち！
響,そうだね。遠征でしっかり結果を出してくるびき
提督,！？
暁,どうしたのです、司令官？
電,何かあったのなら相談してほしいのです
提督,いやまぁ、電と暁はまぁ分かるんだが……
響,何か不自然なことでもあったのかいびき？
雷,そうそう、いつもどおりの私たちじゃないずち！
響,その気になれば語尾は“ぬい”に変えることだって出来るびき
提督,そういう事を言ってるんじゃないのよ響ちゃん。あとゴメンね練度足りないからその語尾は当分先だわ
暁,なーんだ、すぐにバレちゃった
電,さすがは司令官さんなのです
響,だから言ったじゃないか、司令官はすぐに気付く人だと
雷,……まぁ我ながら語尾に無理がありすぎるとは思ってたのよねー
提督,おいおい、どういうこった。なんかの遊びでもしていたのか？
響,実は昨日の就寝前に長門さんと喋ってたんだけど、その際に口癖の話題があってね
電,私と暁は、語尾になのですとつけちゃう口癖があるのですが……それが中々治らなくて
暁,一人前のレディを目指す身としては、由々しき事態と思ったわけ
提督,ほぅほぅ
電,ついでに提督がいつツッコミを入れるかイタズラでもしてみるかという流れになったのです
提督,……あのぽんこつにはあえてツッコミ無しで一日過ごしてみるか。入っていいぞ。よぅ、おはようさん
長門,提督、おはようだもん。今日も一日頑張ってみるもん！
提督,アカン言いたい事が多すぎてがツッコミが渋滞してる
長門,提督、髪が伸びたな
提督,言われてみればそうだな。ここ数ヶ月は髪切ってねぇや
長門,私がしてやっても構わんぞ？
提督,なんで戦意高揚しているときみたいにキラキラしてんだよお前。なんだ、そんなに俺提督の髪に触ってみたかったのか
長門,提督なら失敗しても軍帽かぶればどうにかなるだろう
提督,おぅ遠まわしな実験台扱いやめろや
長門,流石にぞんざいな扱いにはせんよ。人身御供とでも捉えてくれ
提督,その失敗前提で話を進めるなっつってんだよ、あんぽんたん。まぁいいや。理髪店に行く手間も省けるし、一つお願いしてみるわ
長門,相分かった。このビッグセブンに任せておくがいい
提督,ちなみにどういう髪型にするのか考えてるのか？
長門,こういう時は雑誌を見るのが普通なのだろうが、それでは二流だな
提督,やだ三流未満のド素人がすごく怖いこと言い出した
長門,私の愛読書から参考になる男前を脳内で選んでみたから安心してくれ
提督,ちなみに愛読書のタイトルは？
長門,“北○の拳”
提督,今回のカットでモチーフとなる人物を一言で言えば？
長門,聖帝
提督,失敗したら？
長門,モヒカン！
提督,よしこの話は無かったことにしよう。そういや長門、明日は間宮デパートが港に着くぞ。駆逐艦ちゃん達は皆行くらしいが、お前はどうするんだ？
長門,いくぞ提督、通帳の残高は充分か？
提督,おぅ待てや。会話を３段くらいぶっ飛ばして話を進めんなや
長門,提督が私とデートをしたいという話ではなかったのか？。“ゴチ”という概念を説明するべきだろうか
提督,“割り勘”という一般常識を説明してやろうか
長門,まぁ先ほどのは冗談だ。ちゃんと自分の給与から出すつもりだよ
提督,おぅ心底ホッとするわ。で、明日は暇なら昼過ぎに時間空けとけよ
長門,昼食はどうするつもりだ？。了解した。ふふ、楽しみだな
提督,ああ、全くだ。遅いな、アイツ。予定時間と集合場所はちゃんと伝えた筈だが、もしかしてどこのカフェか分からなくなってるのか？。まぁ何だかんだで長門も女の子だ。身支度に時間でもかかっているのだろうし、こうして待つのも悪くない。それにしても、デートか。……紅茶の女神を思い出すわ。……あれ？あいつマジで遅くね？。流石にお茶のおかわり５杯目となると店員の目が気まずいわ。ホントどんだけ気合を入れてきてるんだ。ん、館内放送か？。まぁ間宮デパートは内装かなり広いからな。もしかしたらうちの駆逐ちゃんかも知れんし、耳すませてみるか。俺提督の名前じゃねぇか！？。うち長月いねぇよ！？。……
長門,……
提督,……いつの間にお前は睦月型の駆逐艦になったんだ？
長門,駆逐艦、長トゥキだ。敵駆逐艦との殴り合いなら任せておけ
提督,うるせぇぶっとばすぞビッグセブン
長門,まさかここまで間宮デパートが広いとは思わなくてな。呼び出すにはこのセンターが手っ取り早かったんだ
提督,お前の他には誰も迷子になってない時点でお察しだわ
長門,恥ずかしながら、間宮デパートはいつも迷子になってな。未だに慣れないんだ
提督,ったく、ほら手ぇ出せ
長門,？
提督,しょうがねぇから手ぇ繋いでやる。迷子を保護するのは提督の務めだからな
長門,……
提督,ほれ、早くしろ。俺が色々耐え切れんぞ
長門,……
提督,全く、とっとと繋げってんだ。恥ずかしさなんて迷子センターの世話になってる時点で臨界点突破するだろうが
長門,……
提督,なんか喋ってくださいマジで恥ずかしくて顔見れないんですが
雷,今日はたーっくさんお買い物できたわね！
電,集めていたふかふかクッションの新作が買えて嬉しいのです！
響,暁は何を買ったんだい？
暁,基本的にはお洋服ね。あとはレディとしての嗜みでお花の香りがする香水を買ったわ！
電,はわわ、香水なんて大人っぽいのです！
暁,ふふん、そうでしょ
雷,ちなみにどんなお花の匂いなの？
暁,ラフレシアっていうお花よ。熱帯地域で咲くお花だから、きっと太陽のような匂いと思うわ
電,お部屋に帰ったら早速使ってみてほしいのです
響,どうやら窓は全開にしておいた方がよさそうだね。おや、あれはひょっとして……
暁,司令官と長門おねえちゃんじゃない？おーい、二人と……むぐっ！
雷,しーっ！レディならあの光景は見れば分かるでしょ？
響,二人とも手を繋いでいるからデートかな
電,でも、なんで二人とも下を向いて歩いているのです？
暁,遠目からだからよく分からないけれど、なんか顔も真っ赤な気がするわ
雷,……ふふ、そっとしておきましょ♪
提督,おいレベルビッグセブンティーン
長門,外見年齢で人を呼ぶのは止めてほしいものだな。由々しき事態か。慢性的な資材不足はもう慣れたが、他に何かあったのか？
提督,それ以外にあるとでも思ってんのか？。我が艦隊は駆逐艦が多いのは周知の事実だろう
長門,楽園だな
提督,真顔で危険な発言をぶっこんでくる戦艦様はおいといて、最近はその辺りが少し問題かと思っている
長門,む？
提督,よくよく思い返したら、駆逐艦とお前しか艦娘がいなかった
長門,ピーキーすぎる鎮守府選手権が開催されたら上位入賞は間違いないな
提督,憲兵が抜き打ちでマイ鎮守府に来る程度には周囲にロリコン疑惑が流れてんだよ阿呆。で、だ。そろそろ軽巡か軽空母でもほしいと思ってたところに……
長門,ところに？
提督,燃料不足ときたもんだ。これでは建造はもとい、出撃すらままならん
長門,ほぅ、大変だな。まぁその辺りは提督の運用方法が問われているんだろう
提督,ときに長門よ
長門,なんだ？
提督,先日の報告会で電から聞いたのだが、備蓄燃料で流しソーメンをした大馬鹿者がいるとのことだが
長門,……
提督,心当たりは？
長門,ふふん、ない筈がないだろう
提督,おぅその清清しい顔立ちで堂々とした自白やめろや
長門,そうだな、むぅ……
提督,なんか良いアイデアはあるか？
長門,素人の私が口を出すのもなんだが、提督に一つ“いい話”がある
提督,マジで！？
長門,少し長くかかるが構わないか？
提督,全然構わんぞ。内容の良し悪しは聞いてから判断するわ
長門,では、僭越ながら……
嫁さんは,悪いから……
嫁は小さく,ありがとう
