正しくは,憎たらしい糞ガキだった頃は
賢者,いずれも、彼らには装備できない物ばかりです。対して、剣や錫杖、大杖、その他消耗品は一切合切持っていかれています
騎士,まあ、断定はできないけど、人の者を黙って勝手に持っていく感じは勇者そのものだね
遊び人,はい、次の棚ですサルでもわかる女の堕とし方講座上中下巻
商人,あっ！遊び人ちゃん！下巻だけ無くなってる！
遊び人,あらあら、犯人は助平に違いありませんわ。次は、名画裸婦画集上下巻
商人,ぐへへ・・・って！函だけ残して上下巻ともに中身が抜かれてる！！
賢者,・・・
騎士,・・・まあ、勇者も年頃だし
賢者,盗賊ちゃんには黙っておきましょう
騎士,そうしよう・・・
遊び人,黙っておくも何も、連絡手段がないですけど
商人,あ、腹案ありまーす
近衛兵,。お、おい！一体何をしてるんだ！
遊び人,あ！近衛兵さん！助けてください！商人さんが商人さんが！！
商人,も、もう駄目だあ・・・近衛兵が勅命を守らねえわけがねえ・・・。おれたちは・・・一生この中で暮らすんだ、おれのうんことともに・・・
遊び人,いやああああああああ！
商人,いっそ、殺してくれえ・・・
近衛兵,わ、わかった！しばし待て！近衛兵長に相談してくる！
商人,・・・行ったか？
賢者,そのようですね
商人,おい！盗賊ちゃん居るんだろ！？。まどろっこしいのは抜きだ！機会は今しかない！
盗賊,・・・まだ漏らしてませんよね？
商人,演技だよ！いや！このままが続けば演技じゃなくなるが！
騎士,盗賊さん！情報をくれ！一体、外はどうなってるんだ！？
盗賊,ちょっと手短には話せそうにないです。こちらの状況は、なんとかお知らせする方法を考えます。先に中の情報をもらえますか？
賢者,・・・帳簿と照らし合わせた結果、持ち出された品々から犯人が勇者である可能性は高いです
盗賊,それだけですか？えっと・・・宝物庫の中に帳簿に載ってない品々なんかは、ありませんでしたか？
騎士,いや、今のところはそれだけだ
盗賊,わかりました。引き続き、調査をお願いします。ところで、遊び人さんは居ますか？
遊び人,お話は伺っております。貴方が盗賊さんですね
盗賊,・・・貴方がどのような方かは存じ上げませんが、仲間を裏切るような真似だけは為さらないように
騎士,・・・？
遊び人,あらあら、見くびられたものですね
盗賊,それと、商人さんには気を付けてください。何かされたら、すぐに大声を出すんですよ
商人,どういう意味だ！失礼だぞ！
遊び人,ふふふ、気を付けるのは商人さんの方かも知れませんわよ
商人,えっ・・・///
賢者,頬を染めないでください。気持ち悪い
騎士,盗賊さん、私や賢者くんも居るから安心しなさい
盗賊,ふふっ、そちらは楽しそうでいいですね・・・
騎士,それはどう言う・・・？
盗賊,おっと、近衛兵が戻ってきたみたいです。これにて失礼、にんにん！
賢者,どうも様子がおかしいですね・・・
騎士,無理をしているようだね・・・
商人,たく、これだから真面目ちゃんは。手の抜き方も教えておくべきだったな・・・
近衛兵長,おい！まだ漏らしてないよな！？
賢者,・・・
商人,・・・。あああああああああ！ああああああああ！
賢者,ああ・・・プライドと便意の狭間で揺れているのですね商人くん・・・っ！
近衛兵長,すぐに厠に連れて行ってやる！ただし、外部と接触など許さんからな！。逃げ出そうともするなよ！近衛兵を甘く見るなよ！
商人,ああ！ありがとう！ありがとうごじゃいますううううううう！。ふう・・・今回は、まじでやばかったな。危うく、人としての尊厳を失うところだった。へ、ヘビィな話になってんなあ。たーだーいまーっと
賢者,・・・
騎士,・・・
遊び人,・・・あ、お帰りなさいませ
商人,おいおい、みんな辛気臭い顔してどうしたんだ？
賢者,これを・・・見つけてしまいました
商人,お、犯人の尻尾でも捕まえたのか？遂に勇者も年貢の納め時だな。って、なんじゃこりゃあああああああ！
第二章賢者,し、死んでる・・・！
戦士,首尾はどうだ勇者・・・？
勇者,ああ、上々だ
魔法使い,こんな短期間で、陛下への奏上原稿を暗記するなんて信じられない・・・
僧侶,ほ、本当に勇者様なんですか？人が変わったようです
勇者,・・・魔王軍に入隊して変わったのさ。俺はもう、かつての馬鹿な冒険者なんかじゃない。職務を遂行し給与をもらう。今の俺は一端の社会人さ
戦士,成長したな勇者
魔法使い,見違えたわ・・・
僧侶,やっと私たちの将来のことを考えてくださったんですね・・・
勇者,さあ行こう皆！目指すは王都、俺たちの旅が始まった地へ！
商人,今晩はお楽しみといきましょう！。し、死んでんのか・・・？
賢者,確認しました。脈もありません、瞳孔も開いています
商人,なんで、今まで見つからなかったんだ・・・
賢者,マットに埋もれていた上に、幾重にもブランケットが重ねられていました・・・まさか、人がいるとは
遊び人,陛下・・・一体なぜこのようなことに？
騎士,ととととりあえず、落ち着こう。このままじゃまずい、まずは死体を布団の中に隠そう
賢者,そそそうですね、このままじゃ私たちが疑われかねない
商人,いやいやいや、ちょっとまて。事件発覚直後から、この部屋は陛下直属の近衛兵が封鎖してたんだろ。俺たちが、いつ陛下を部屋に連れ込んで殺害するって言うんだ。どう考えても、勇者の仕業だろう！
騎士,いや、そもそも陛下は殺害されたのか？病気や事故って線は
遊び人,賢者先輩、陛下をお隠しになるのをお待ちください。もう一度、ご遺体を確認してみましょう
賢者,・・・そうですね。結論から言うと、他殺で間違いないですね。何者かと争った形跡があります。首に致命傷がありました。死因はこれでしょう、つまり失血死です
騎士,勇者と争ったと考えるのが妥当か・・・しかし、武器も持たない相手をあの勇者くんが殺せるかなあ？
商人,正義のそろばん
遊び人,？
商人,陛下の右手に握られている物だ・・・あれは時に盾、時に矛となる最強の装備のひとつだ
賢者,これが、そうなんですか？ただの大きなそろばんに見えますけど
騎士,つまり、陛下は素手ではなかったと・・・
商人,俺は長年、こいつを探し求めてきたんだ。ああ・・・こんな所で、相まみえることになろうとは
遊び人,横領はだめですよ！
商人,なっ！違うわい！これは横領なんかじゃない！
騎士,・・・
商人,いやだって！保管簿にもソロバンなんて記載はなかったじゃないですか！ということは、これは国有財産とは呼べない！。だから、横領ではない！
賢者,記載がないのは、陛下の装備品だったからでしょうに・・・その場合だと、横領ではなくても窃盗になりますね？
遊び人,王家所縁の品を窃盗ですか、ただじゃすまないでしょうね
商人,ぐぬぬ
騎士,・・・勝手に持ち出したらクビだからね
賢者,・・・話を戻しましょう。陛下は正義のそろばんで、何物かと戦い、そして負けた
騎士,争った現場は、ここではないだろうね。あの傷の深さだ、相当な量の血が流れただろう。しかし、ここには血痕が見られない。つまり、陛下は息の無い状態でこの部屋に運び込まれた
遊び人,犯行時刻はどうでしょうか？賢者先輩、陛下は亡くならられてからどれくらい経っていますか？
賢者,・・・それが、さっぱりわかりません。体温は既になく、瞳孔も濁り切っていることから一日以上が経過していることは間違いありません。それなのに、腐敗が進んでいる様子が一切ない。まるで防腐剤でも使っているみたいに・・・
騎士,ちょっと考えづらいな・・・陛下が一日以上、姿を見せなくて近衛兵が黙っているわけがない
商人,確かに妙ですね
遊び人,すみません賢者先輩。私どうしても死後一日以上という見立ては間違いだと思いますの
賢者,確かに私は医者ではありませんが、見立ては間違ってないと思いますけど・・・何故です？
遊び人,今朝
商人,ん？
遊び人,私・・・陛下に、初出勤の御挨拶申し上げましたの
商人,・・・死体に？
賢者,面白くも無い冗談ですね。さて・・・参りましたね。遊び人ちゃんの言葉が事実なら、一つの仮説が成り立ちます。陛下は二人いた・・・
遊び人,・・・今朝、私が会った陛下と
商人,いま俺たちの目の前にいる陛下ってわけか
賢者,仮に、目の前の陛下が本物だとした場合。遊び人ちゃんが今朝会った陛下。いったい何処のどなた何でしょう？
近衛兵長,お前は、一体何を考えているんだ？
王,勇者の件か？それとも、あの封じられた魔法の部屋の件か？
近衛兵長,その両方だ！。勇者の件に関しては大臣も言った通りだ。魔族に寝返った勇者の帰還はこの都に大きな災いをもたらすぞ
王,ほう？勇者が災いをもたらすか・・・まるで魔王の所業だな
近衛兵長,冗談を言っている場合か！保管庫の件だってそうだ。なぜ、大臣の部下が部屋に入るのを許した！？。俺が勅命だと偽って部屋を封鎖していなければ、全てが白日の下に晒されていたんだぞ！
王,隠したところで、部屋に侵入した犯人からいつかは情報が漏れただろうよ
近衛兵長,そ、そうかもしれんが！
王,まったく余計なことをしてくれたものだな、せっかく大臣に嘯いたものを台無しにしおって。・・・儂はな、もうそろそろ王を退きたかったのだよ
近衛兵長,だったら退けばいい、穏便に退位を申し出ればよかったじゃないか
王,ふふっ、どうせ退くのなら派手にやりたいと思ってな
近衛兵長,くそったれ・・・せめてあの時、30年前に奴が死んだ時に証拠を全て燃やしてしまえばよかったものを。お前が部屋の鍵を無くしてさえいなければ・・・。いや違う・・・そうじゃない。この危機を作り出したのは、お前自身・・・。・・・今のこの状況に至るために・・・お前、もしかして故意に証拠を残したのか？
王,ま、その通りじゃ。鍵も実は無くしてはおらん、とある場所に隠しておいた。いつか、儂達のやらかしたことが露見することを期待してな
近衛兵長,なら、犯人にも検討がついているんじゃないのか？
王,まあ、勇者であろうな。あの部屋の鍵を見つけられるとしたら勇者ぐらいしかおらん
近衛兵長,・・・ったく、昔から破滅願望の強いやつだとは思っていたが。ここまでとはな
王,なんじゃ、長い付き合いなのに未だ儂の好みを理解していなかったのか
近衛兵長,長い付き合いか、そうだな
王,初めて会ったとき、儂が望んだことを覚えておるか
近衛兵長,・・・人の営みは面白い、できればずっと眺めていたいだったな
王,そこまで正確に覚えておられると、逆に引くわ
近衛兵長,・・・殺すぞ
王,すまんすまん。そう、儂の願いは人々の生活を、営みを傍目から眺め続けること。しかし今の儂はどうじゃ？。人間たちの王。儂の立ち位置は本来ここではないのだ
近衛兵長,そうか・・・俺は、お前に甘えていたのだな。だが、あの頃、あの悲惨な世界を救う知識を持っていたのはお前だけだったんだ。俺はお前を頼るしかなかった
王,なら、もう良いじゃろう？儂の役目は、もう終わった。好きなようにやらせてもらうだけじゃ
近衛兵長,そうだな・・・今まで、ありがとう陛下
王,それで、お前はどうする？
近衛兵長,うーん、そうだなあ。・・・まあ、今までお前に力を借りてきたわけだし。今度は、お前の望みを叶えるために尽力してみようかな
王,・・・うん？できれば一人気ままにして欲しいんじゃが
近衛兵長,何言ってんだ？このままだと、お前ギロチン台まで一直線だぞ
王,む・・・老いたとは言え、そこらの連中に後れを取るとは思えんが
近衛兵長,俺の近衛兵団だって敵に回るかもしれんぞ？この俺が丹精込めて育て上げた兵たちだ、勇者にだって引けはとらねえ
王,お前の部下だろうに、どうにか宥められんのか？
近衛兵長,残念だったな、奴らが真に忠誠を誓っているのは俺やお前じゃない。この国自身だ。俺達のやらかしたことがばれたら、容赦なしに殺しにくるだろうよ
王,む、むう・・・
近衛兵長,それに、当代の勇者だって帰ってくる。噂通りの男なら、そうとう手ごわいぞ
王,・・・儂を守ってください。よろしくお願いします
近衛兵長,よし！任された！
遊び人,遺体を調べていて、もうひとつ気づいたことがありますの
賢者,どうぞ
遊び人,この遺体の陛下、仮に遺体王としましょう
商人,酷いネーミングセンスだな
遊び人,この遺体王ですが、生存王より大分若く見えませんか？
商人,生存王どっからでてきた。いや何となくわかるけども
賢者,うーん、あまり陛下に拝謁できる立場ではありませんからねえ。騎士さんにはどう見えます？
騎士,私も似たようなものだよ。直接お会いしたことはほとんどない、が確かに若く見える
商人,実の弟説に一票
騎士,そんな話は聞いたことはないなあ、陛下の実弟は大臣一人だし
商人,大臣が陛下の実の弟！？。初耳なんですけど！
賢者,あまり知られてないですけど、そうですよ。陛下は御子が居られないので、大臣は王位継承権1位の王族です
商人,じゃあ、遺体王影武者説に一票
賢者,悪いですけど、この遺体の正体を探る意味はないと思いますよ。何にせよ生存王が、偽物である可能性が高いですから
商人,なんでだよ？遺体王が偽物って可能性は否定できないだろ
賢者,それなら、遺体を隠す必要がありませんからね。隠すということは後ろめたいことがあるからでしょう？
商人,何か特異な事情があるとか
賢者,そこまで考えていたら先が見えませんよ？
商人,それもそうか
騎士,現在の王が偽物だと仮定すると、犯行時刻は極めて膨大になるなあ
遊び人,そうでしょうか？死体が腐っていない以上、それほどは日にちが経っていないのでは？
騎士,さっき保管物を一通り調べた際に、ひとつ思い至ったことがある。ここの保管物の状態はすこぶる良い、いや良すぎると言っていい。ここの物がいつからあったかは知らないが、手入れがされることも無く最低でも30年近く部屋は閉ざされていたことになる。にも関わらず、この状態の良さ。まるで時間が経過してないみたいじゃないか
商人,たしかに、いくら密閉されていたとはいえ30年前の消耗品がそのまま使えるわけないか。勇者たちが、劣化した薬品を盗んでいくとも思えないし・・・
賢者,・・・なるほど、保管庫自体に保管物の状態を維持する魔法が張ってあった可能性は否定できませんね
騎士,そう、だとするならば。部屋が最後に閉ざされた30幾年前から、死体はここにあったと考えてもおかしくないわけだ
商人,・・・その魔法って、まだ効いてるんですかね
賢者,！
騎士,・・・どうだろう？
遊び人,死体の状況を経過観察できれば分かると思いますけど・・・
商人,ばっかやろう！それじゃ遅すぎる！腐った死体と同じ部屋に居続けるなんて俺には無理だぞ！
賢者,氷魔法フリーズ！。と、とりあえずこれで凌ぎましょう
商人,だいたいさぁ、遊び人ちゃん。この遺体のこと、何か知ってるんじゃないの？
遊び人,どういう意味ですの？
商人,さっき便所に行った時、盗賊ちゃんから情報を受け取ったんだ。遊び人ちゃん、陛下側の人間なんだろ？
騎士,陛下側・・・？
商人,俺たちが閉じ込められている、この状況。どうやら俺たちは、この部屋にある何かを見つけたい大臣と、それを隠したい陛下側の政争に巻き込まれているみたいです
騎士,ああ、やっと合点がいったよ・・・しかし、なんで一役人の私たちが政争に巻き込まれるかなあ・・・
賢者,私たち、大臣の直轄部署ですからね。陛下側からしたら、私たちも大臣の犬に見えてるんでしょう
騎士,えええ・・・大臣も、そういうことなら信頼のおける自分の手駒を使えばいいのに
賢者,孤独な方ですから、動かせる手駒が少ないんでしょう。もしくは私たちは捨て駒なのかも
騎士,勘弁してくれよぉ・・・
商人,そういうわけで、遊び人ちゃん。入ったら出られないこの部屋に何の躊躇もなく入ってきたのは。君が、陛下側の人間で近衛兵と通じているから何じゃないかな？
遊び人,なるほど、そういう疑いが私には掛かっているのですね。では質問にお答えしましょう。残念ながら、私は何も知りません。陛下の遺体の件はもちろんのこと、その政争云々の事も全くです。というわけで。勇者に恋焦がれて、コネを駆使し勇者課に配属された世間知らずのお嬢様。それが私の正体ですわ
騎士,ん？
商人,いやいあいやいやいや！おかしいぞ！なんか話がおかしいぞ！
賢者,ああああの、遊び人ちゃん・・・じ女性に、こんなことを聞くのは失礼と知りながら申し上げます。貴方は一体幾つなんですか！？
遊び人,あらあら、本当に失礼な殿方ですこと。そうですわね。生まれて半世紀ほど経っていることは間違いありませんわ
賢者,そ、そうか！変化魔法で若作り・・・
遊び人,怒りますわよ！決して変化魔法なんて使っておりませんわ！。・・・我が侯爵家には、時より私のような超常の者が生まれると聞きます
騎士,不老不死なのかい？
遊び人,いえ、それほどのものではありません。エルフ並みの長寿と考えていただければよいかと
商人,てことは、てことはだよ？話を整理すると、もしかして遊び人ちゃんって・・・侯爵家の？
遊び人,いかにも、あなた方が勇者様に了承をとることなく婚姻関係を結ばせた。侯爵家娘とは私の事ですわ
騎士,
商人,・・・本当に？
遊び人,もちろん
賢者,い、いや、遊び人ちゃんが自身の疑いを誤魔化す為に大ぼらを吹いている可能性も否定できません
商人,ま、まあそうだな。だいたい、知り合って半日そこらの俺たちに自分の来歴をこうペラペラ話すわけがない！
遊び人,まあ！聞いたのは商人先輩ではありませんでした！？
商人,そうだけども！・・・い、いや、そうですけども！
遊び人,あら、言葉遣いは変えていただかなくて結構ですのよ。この職場では、貴方の方が先輩なのですから
賢者,先ほどの言葉に嘘偽りはないと証明できますか？
遊び人,証明は出来ませんが、誓って真実ですわ
騎士,二人ともそこまでだ
遊び人,騎士様・・・
賢者,しかし、騎士さん
騎士,そこまでだと言ったはずだよ賢者くん。素性がどうであれ、君たちは私の部下だ。そうである以上、私たちは一つのパーティーとして一致団結して事に臨んでもらう。そうでなければ、とてもこの困難な仕事を打開できるとは思えない。だいたい、寄ってたかって新人をいびるなんて社会人としてどうかしていると思わないのかい
賢者,ま、まあ仰る通りですね・・・
商人,そうだな、揉めてる場合じゃないか
遊び人,あら、意外と素直
商人,社会人として、上司に逆らうのはどうかと思うしな
遊び人,前言撤回ですわ、素直でない方。まるで、思春期の男の子みたいで可愛いですね
商人,な、なにおう！
賢者,遊び人さん、言葉遣い！
遊び人,あら、失礼いたしましたわ
騎士,さて、そろそろ就業時間だね。今日一日、本当にみんなお疲れさまでした。たった一日で、これだけ懸案事項が増えることなんて滅多にないよ
遊び人,あることはあるんですのね・・・
商人,いや、ねえだろ
賢者,残業はよろしいので？
騎士,情報は出尽くした感もあるからね、今日はここまでにしよう。ただ明日からは、一気に処理していくよ！
商人,お！遂に、俺たちの逆襲が始まるわけですね！
賢者,へえ、商人君がこんなに仕事に意欲的なのは初めて見ましたよ
遊び人,なんだか、わくわくしてきましたわね
賢者,それで、何か策はあるんですか騎士さん？
騎士,う、うん。ど、どうしようか・・・みんな？
遊び人,台無しですわ・・・
騎士,し、商人君・・・なんか良いアイディアある？
商人,もちろんです！と言いたいところですが、明日にしましょう
賢者,何故です？
商人,もう、五時です。アフターファイブと行きましょうや！
盗賊,大臣、補助係と二回目の接触に成功しました
大臣,手際が良いな、あの厳重な警備をどうやって掻い潜っているのだ
盗賊,一回目の接触と同様に、厠で手紙のやり取りを行いました
大臣,二度、同じ手が通じたのか・・・近衛兵も大したものではないな
盗賊,同じ手は通じませんでした。厠にて賢者と接触を図ろうとしましたが、近衛兵の監視の目が離れず失敗しました
大臣,なれば？
盗賊,今回接触に成功したのは、接触者が遊び人だったからです
大臣,・・・そういうことか。自らの手の者なら、監視する必要すらないであろうからな
盗賊,と言うより、女性の厠までは流石に近衛兵も着いてきませんでした
大臣,しかし、情報元が遊び人となると意図的に情報が捻じ曲げられている可能性も・・・。まあいい・・・何か新しい情報はあったか？
盗賊,お耳を。保管庫の中に、陛下の御遺体が隠されていたそうです
大臣,！。なにか、証明できるものは受け取っていないのか・・・？
盗賊,ここに
大臣,よく部屋から持ち出せたものだな
盗賊,あら大臣、御存じないのですか？女性には体の至る所にポケットが付いているんですよ
大臣,貴様も冗談を言うのだな。それで？物を見せてみろ。王家の指輪！。・・・そうか、そういうことだったのか！
盗賊,？
大臣,兄王は既に天に召されておった！ならば、私がやることは一つだ！
盗賊,兄王・・・？
大臣,盗賊よ！貴族院議長及び衆民院議長の下へ走れ、行政府令に基づいて緊急に両議会を開く
盗賊,こんな時間にですか？
大臣,国家の存亡に掛かる事態である！急げ
盗賊,議題は如何に？
大臣,国家存亡に掛かる喫緊の課題についてとでも言っておけ、詳細は追って知らせるともな。日時は明日、正午より。場合によっては緊急動議も発する。全議員の3分の2を招集する！。必要なら召喚魔法を使い議員を呼び出す、召喚魔法の行政府令も用意しておけ
盗賊,はっ！
大臣,ふはははは、勇者め！やってくれたな！奴が帰ってくる頃には、この国は私の物だ！。王も無警戒に過ぎたな、魔法で封印していたとはいえ自身の弱みを城内に隠しておくなどと。結果、勇者に部屋を荒らされてこのザマだ！。ん？。勇者に部屋を荒らされて？。奴は、この国から最も離れた魔王城にいるというのに、一体いつ部屋を荒らしたのだ？。王都を出発した頃か・・・？いや、そんなに長期間。部屋が荒らされたことに気づかないわけがない。部屋を荒らしたのは勇者ではない？。だが、騎士たちの報告では勇者の疑い強しと・・・あやつらも無能ではない。報告は信頼に値する・・・なれば・・・。・・・っ！。伝説の勇者・・・っ！転移魔法っ！。だ、だとしたら勇者は、その気になればいつでも王国に帰ってこれる！。ま、まずい！
王国民Ａ,ここは、王都。この国の中心だよ
？？？,知ってる
勇者,ただいま！
第三章商人,今晩はお楽しみといきましょう！
商人,もう、五時です。アフターファイブと行きましょうや！
賢者,いったい、どこにそんなもの隠し持っていたんですか
商人,さて、どういうわけかデスクの裏側に隠してあった
騎士,盗賊さんからの差し入れと言うわけかな
遊び人,気の利く方なのですね、しかし仮にも職場で飲むってのは気が引けますわ・・・
商人,さて、これを見ても同じことが言えるかな。これぞ、我ら勇者補助係の最強装備！これに抗えるかな遊び人ちゃん！？
遊び人,それも机に隠してあったのですか？
商人,いや、これは俺たちの持ち込み品
賢者,旅先から呼び出された挙句、旅支度を解く間もなくここに放られましたからね
騎士,と言うか、近衛兵達は食事も持ってきてくれないね・・・私たちを飢えさせるつもりなのかな
賢者,私たちの持ち物を把握しているとは思えませんし、ただの嫌がらせだと良いんですけど。ただ万が一に備えて、食料は節約したいんですね
騎士,このまま、保管庫に一生閉じ込められるなんてことにはならないよね・・・
遊び人,最悪の場合、あり得るかと思いますわ
商人,まったく、悲観的だなあ。奴らだって、人死にまでは出しやしませんって。それに、今日は新たな仲間を迎え入れたんです。年齢的には先輩なんでしょうけど、社会人としては俺たちが先輩なんですから。祝ってやらな、男がすたりますよ！
騎士,いいのかなあ・・・
商人,まあまあ、これは作戦の一つでもあるんですよ
賢者,と、言いますと？
商人,この保管庫には厠がない、近衛兵も監視付きでなら厠に行くことは許してくれている。厠に行けば、外部との接触、まあ盗賊ちゃんと情報のやり取りができる機会が増える。しかし、奴らの目は生半可な演技じゃ誤魔化せない。そこで、この酒ですよ
賢者,たらふく飲んで、厠へ行こうってことですか？
商人,そうそう
遊び人,ただ、飲みたいだけじゃないかしら？
商人,そりゃあ、遊び人の台詞じゃあねえな。それとも高貴な遊び人は酒も嗜まんのかい？
遊び人,あらあら、安い挑発ですが乗って差し上げましょう
賢者,騎士さん、どうします？
騎士,まあもう、業務時間外だし好きにやろうよ。私もちょっと疲れたし少しだけ飲みたい気分だ
商人,さっすが騎士さん！話がわかる！
遊び人,ほら、さっさと栓を開けなさい。遊び人の本領を見せて差し上げますわ
賢者,グラス出しますから、ちょっとお待ちください。騎士さん、みなさんの飲み物が揃いました。よろしくおねがいします
騎士,えー、こほん。では手短に。まずは遊び人さん、ようこそ我が勇者課補助係へ。慣れないことも多いだろうけど、間違いを恐れずに大いに失敗して大いに学んでほしい。そして、いま我々は非常に困難な状況に置かれているわけだが
商人,・・・
騎士,思い返せば約1年前、勇者を追いかけｒ
商人,かんぱーい！
遊び人,かんぱーい！
賢者,・・・か、かんぱーい！
騎士,・・・かんぱい
商人,で、どうしますよ今後の方針。決めておいた方がよくないですか？
騎士,酒が入った状態でやる話かい？おじさんとしては遊び人さんの話がもっと聞きたいなあ。おっ！これすごいよ！このワイン！私が生まれた年の物だ！
賢者,・・・ん、あっ騎士さんそれ
商人,いやいや騎士さん！酒が入った今だからこそ、腹を割って話そうじゃありませんか！。ほらほら、遊び人ちゃんも忌憚ない意見を述べちゃいなよ
遊び人,んー、まあとりあえず状況の整理から始めませんかあ？
騎士,ん、賢者くんよろしくう
賢者,・・・まあいいでしょう、では順序良くいきましょうか。まず懸案事項その一、保管庫荒らし犯人について。まあ、これは我々の通常業務ですから粛々と進めましょう
遊び人,具体的にはどうしますの？正直、手詰まり感がありますがあ
賢者,そうですね、あとは容疑者さんから直接話を聞けると良いんですが
騎士,まあ、あの勇者くんのことだ。問いただせば、悪びれもせず答えてくれるだろうよ
商人,厄介だなあ。奴が自白なんかしやがったら、また尻拭いをしなくちゃいけないってことか。俺はもうやだよ
賢者,その程度、我々なら軽くこなせますよ。その後に控えていることを考えればね
商人,ん？
賢者,まあまあ、順序良く行きましょう。懸案事項その二、遺体王の件です。これは、我々の本来の業務とはかけ離れています。正直、この件には関わりたくないのですけど
騎士,そういうわけにもいかんさ。言葉には出してないとはいえ、大臣が我々をこの部屋に送り込んだ狙いはそれだろう。大臣の考えを忖度して行動すべきだ。つまるところ、証拠の保全ってやつだねえ
遊び人,つまらない答えですこと、騎士君はそれでも男ですか！？股にぶら下ってるものが泣いていますわよ！
商人,この糞ガキ、騎士さんになんて口の利き方しやがる！謝れ！あーやーまーれー！
騎士,まあまあ、ここは無礼講でいこうじゃないか。彼女は、ああ見えて私たちより一回りも二回りも上なんだからさ
商人,騎士さんがそういうなら
遊び人,ちょっと聞き捨てなりませんことよ！二回りは言い過ぎではありませんか！
賢者,まあまあ、落ち着いてください
騎士,まあ、さっきのは建前だよ・・・私としては、大臣の狙いより私たちの立場を守るほうを優先したいもんだね
商人,そりゃあ、俺だって同じですよ。王側と大臣側、うまく立ち回って是非とも上手い汁を吸いたい
遊び人,あら、甘い考えですこと
商人,わかってるよ！そんな立ち回りができるなら、そもそもこんなことになってねえよ
賢者,要は、大臣側と陛下側どっちにつくかという話ですよね
商人,現状、判断できん！
賢者,ごもっともで
遊び人,・・・私たちは大臣の直属ですよ？しかも、陛下には何やら重大な秘密がある様子。そこにある、ご遺体が全てを物語っているではありませんか。正義は大臣にありではなくて？
賢者,そりゃあそうなんですけど、私はどうも今の陛下を嫌いになれないんですよね
遊び人,それはまたどうしてですの？
賢者,今の政治体制を築き上げたのは陛下ですよ？自らの特権の多くを、議会や行政府に委譲し。国民の意見を多く取り入れるため、衆民院まで設立した。身を切る改革とはこのことです
遊び人,陛下の政を評価してらっしゃるのですね
賢者,その通りです
騎士,まあ、そんな陛下もかつては自身の懐を肥やすことに執心していたんだけどね
商人,へえ、そうなんですか
騎士,なんださっきの遊び人さんの話を聞いていなかったのか？勇者の奏上以来、人が変わったように政治に熱心になられたんだよ陛下は
商人,・・・人が変わったようにですか
騎士,人が変わったようにさ
遊び人,では、ここにある遺体王は・・・
賢者,そういうことなんでしょうねえ・・・
騎士,まあ・・・生存王が一体誰なのかは置いておいて、彼の行った改革は人民のためになっている。複雑な心境だなあ・・・懸案事項その二については、どういうスタンスで臨むべきだろうか・・・
遊び人,私としても、陛下に味方したいところですけど・・・。・・・失礼、今のは聞かなかったことにしてください
賢者が,やれやれ
商人,この遺体、焼き払っちゃいましょうゼ
賢者,隠蔽しちゃうってことですか、気が進みませんねエ
商人,そうか？俺たちで事件を握り込むのは初めてじゃないだろ、今なら事が大きくなる前に揉み消せル
遊び人,この遺体の事、大臣や議会・・・いやこの国の国民全てから隠匿するということですか？
商人,そうなるナ
賢者,王側は私たちの行いを高く評価してくれるでしょうね、大臣に捨てられたとしても将来は安泰でス
騎士,いやいや、言葉が悪いよ賢者クン！それじゃあ、まるで私たちが保身に走っているようではないか！。私たちは勇者課、仮にも勇者の名を冠する者たち。国民たちの事を思えばこそ王側につくのが正義に違いなイ！
遊び人,陛下側につくということですの・・・？
商人,まあ、結果的にはそうなるな
遊び人,まったく、呆れた人たちですわ！私が、陛下可愛さにその下卑た動機を見逃すとでも思っているのですか！。なんとも汚い男たち！乗って差し上げます！あなた方は間違っています！
商人,それじゃあ遊び人ちゃんの御高説を賜りましょうか皆さん
賢者,お、いいですねえ
騎士,遊び人さん、ここは無礼講だ。遠慮は不要だよ
遊び人,申し上げますわ！。まずなにより！陛下側も大臣側もありません！私たちが尽くすべきは国民でしょうに！。真実は全て白日の下に晒されるべきです！行政府に、議会に、そして国民すべてに知らせなくてはなりません！。そのうえで判断がなされるべきことを、何をもって私たちの職場内だけで片付けようとしているのですか！？。まさか、勇者課なんて呼ばれているうちに自分が勇者であると思い違いをしてしまったのではありませんか！？
賢者,むう、確かに私たちの言動は独善的に過ぎたかもしれませんねえ
遊び人,そもそも、勇者は何でもかんでも好き放題にやっていいなんて法はありません！
騎士,おおぅ、だいぶ支離滅裂になってきたぞ
商人,でもよお、今の勇者はそうだぜ。好き放題にやって、俺たちをいつも困らせる
遊び人,貴方たちの知る勇者は、確かに自分勝手なところがあるようですわね！しかし、あれは私の知る真の勇者とはかけ離れたものです！。真の勇者とは、常に周囲の人々に寄り添って然るべきなのです！。商人さんは、かつて伝説の冒険商人に憧れたそうですね！？
商人,む、昔の話だ！
遊び人,その気持ちが僅かにも残っていないと言えますか？勇者と呼ばれるものへの憧れが、貴方自身の目を曇らせているように私には見えますわ
商人,どういうことだ・・・？
遊び人,貴方は勇者に憧れるあまり、勇者に近づきつつある！しかし、それは貴方の忌み嫌っている独善的な偽物の勇者にです！
商人,ああ？おちょくってんのかお前
遊び人,いや、仕方ありませんね。あなた方はみな、真の勇者のことを。先代勇者のことを物語の上でしか知らないのですから！
賢者,それは、貴方もでしょう・・・とは言い辛い雰囲気ですねえ
