・故に,？
ｴｱｸﾞﾙｰｳﾞ,フフッ…相変わらずマイペースですね。いいんじゃないですか？
ﾌｼﾞｷｾｷ,やってみましょう？マルゼンスキー先輩！
ﾋｼｱﾏｿﾞﾝ,へへ。ガラじゃねえが…
ﾌﾞﾗｲｱﾝ,あねさんが言うんじゃ、やらないわけにはいかないな？
ﾏﾙｾﾞﾝｽｷｰ,こーら。あねさんじゃないわ、お姉さんでしょ？…ほら、トレーナーさんもっ！
ハナ,わ、私は良いわよ…
ﾏﾙｾﾞﾝｽｷｰ,ダーメーでーす、ほら早く！
ルドルフ,円陣を組むぞ…トレーナー？何か一言
ハナ,…皆の力を、チームリギルの力を、存分に見せつけてきなさいっ！！
ﾏﾙｾﾞﾝｽｷｰ,ふふっ…それじゃあ、行きましょうか…チームリギルー…？！
