それでは、第五章,深夜・前
魔王,どのチョコ菓子を愛そうが、貴様らの自由だ。俺は貴様らの主義主張に口を挟むつもりはない。だが、それと魔界の法を破ったコトとは、別問題だ。理由が如何であれ。魔族の人間界との接触は、干渉だけならまだしも、侵攻はご法度。そして貴様らは、人間の、この列車で暴れた。……もはや弁解の余地はあるまい
族長,…………
魔王,…………。……だが、まあ。俺とて、鬼ではない。いや貴様らは鬼だが、鬼神ではあるまい。貴様らもまた、我が同胞。それも我が盟友たる緋雷めの臣下なれば。おとなしく我がもとに下るのであれば、俺が上には取りなそう。なんとか、処罰を免れるよう……
族長,―――断る
魔族A,……！
魔王,……何？
族長,聞こえなかったのか、魔王？……断る、と言ったのだ
魔王,…………。貴様……
族長,既に罪を犯した我らに、なお罰を免れんと説得してくださったコト。感謝する。きっと貴方様は、魔族であれ、ニンゲンであれ、同じように救いの手を差し伸べるのだろう。その慈愛、その度量。チカラがすべての魔界にあって、まさに魔王と称されるにふさわしい。―――だが、それでも我らは、貴方様の軍門に下るつもりはない。我らは魔界の民として、ニンゲンに打ち勝つため人間界の門をくぐった。人間との別の約定もある。ならば。我らは、チカラをもってそれを為すまで。たとえ敵が、魔王、貴方様であろうと！！
魔族B,族長……！
魔族C,そうッスよ、族長！俺らが束になれば、きっと魔王さまにだって負けません！
魔王,なるほど。―――よく吠えた
族長,……！！
魔族D,な……っ。急に雰囲気が……ッ
魔王,……ああ、久しい。久しいな。魔界より争いの種が絶えて久しい。今日に至るまで、一戦士としての昂ぶり、滾り、喜び。忘れ去って久しい。だが、今しかと甦った。青鬼の族長よ。その強者におもねぬ精神！チカラで強きを倒す気概！自らの意志を押し通す蛮勇！。それこそが魔界の民のホンシツたるモノ、魔界の民が魔族たる所以だッ！！。ならば……。俺は、魔王として、貴様らのチカラにはチカラで応えよう。その精神、如何に崇高か。その気概、如何に頑強か。その意志、押し通すに値するか！！。来るがいい、青鬼族の精鋭どもよ……。そして体現して見せよ、魔界のコトワリを！！
族長,……望むところだ。いくぞ、お前たち！！
魔族A～D,応ッ！！！！
仮面の男,おや……。どうやら、上は始まったようだね。開いた大穴から、青い炎や、碧の光が見える
桜色の女,…………
仮面の男,では、僕らも始めるとしようか。君とは幾度となく戦ったが。この戦いを、今までで最上の、甘美の一時としたい
黒コート,っ……
桜色の女,……黒コートどの
黒コート,……！な、なんでしょうか
桜色の女,まこと勝手な願いで、申し訳ないのだが……。私と奴との、決着がつくまで、おぬしらにはこの部屋の外にいてほしい
黒コート,……そ、それは何故ですか？。たしかに貴女がたには劣るかもしれませんが、私たちも歴戦の身。戦いにおいて自分の身くらいは守れる。そして仮面の男の身柄は逃がせない
仮面の男,……無粋だね、時空環境整備課
黒コート,は？
桜色の女,…………
仮面の男,そうだね。彼女の口には訊きにくいだろうから、僕が彼女の思いを代弁するとしよう。―――彼女は。自分が本気で戦っている姿を見せるのは、恥ずかしい、と言っているんだよ
黒コート,……え？
仮面の男,おかしなコトかな？人間、誰にだって、見られて恥ずかしいコトの一つや二つはある。彼女にとって、それは。自分が本気で戦っている姿、というワケだ
革ジャン,俺だってそりゃあウンコしてるトコに入ってこられたらなあ
黒コート,そ、そうなのか……。それと革ジャン、お前は本気で黙ってろ
仮面の男,だから。彼女の思いを汲むのであれば、どうか部屋の外で待ってほしい。心配せずとも、僕は負けは潔く認めるほうだ。もちろん、勝ったら逃げるけどね。それともアレかい、整備課。君は女のコを辱めるのがシュミなのかい？
黒コート,い、いや。そんなワケないが……
桜色の女,…………。黒コートどの。どうか私からもお願いしたい。私は、本気で戦っている私の姿を見られたくない。私は、彼との死合を余人に見せたくはない。―――少し、恥ずかしい。普段の小競り合いなら、まだしも。この立ち会いは、特別なのだ。どうか、私を信じ……。この勝負を任せてくれまいか。この刀に誓って、約束しよう。鉄仮面卿は、私が必ず仕留める
黒コート,…………。……わかりました。ならば私は、時空整備課は、貴女を信じます。よし、じゃあ行くぞ、革ジャン野郎。さらわれた教授さんを助ける
革ジャン,ん？例の大天使じゃねーのか？おい、待てよ！
桜色の女,…………
仮面の男,……行ったみたいだね
桜色の女,…………
仮面の男,…………。ああ、もういいよ。彼女らは行った。これ以上隠す必要は無い
桜色の女,……そうか。ならば、良かった。これで私は、本当の私を、貴様以外に見られずに済む。……はぁっ。はぁっ……。本当の私を、貴様に。さらけ出す、コトが、出来る
仮面の男,……いい顔だ
桜色の女,先刻、貴様と数合だったが、斬り合って理解した。やはり私がすべてをさらけ出せる相手は、貴様しかいないと。私が心から刀を向けるコトが出来るのは、貴様しかいないと！
仮面の男,ああ。僕もだよ、チェリーガール。僕が振るうべき刀は、君だけのモノだ
桜色の女,だから、聞いてくれ。私が、これまで秘めてきた、いや、目を背けてきた、思い。―――私は。貴様が、欲しい
仮面の男,…………
桜色の女,私は、貴様の、肉を。心を。刃を。頭を、顔を、手を、体を、足を、技術を、人生を――――。すべて、私のモノにしたい。貴様のすべてを征服したくて、仕方がない。……。ふぅっ……。ああ、もうおかしくなりそうだ。目がとろけて、口が定まらない、頬が締まらない。私は、貴様を感じたい。貴様のすべてを、この刀で斬り刻みたくて、仕方がない！！
仮面の男,……君は、その思いを普段は胸の内に閉じ込めている。なるほど、素晴らしい擬態だと思うよ
桜色の女,ああ、普段の拙者は、ただの風来坊……。ひがな、風光明媚を求め、各地を漫遊するばかりでござる。……だが、本当の私は、違う。本当の私は、強い敵を、斬りたくて、斬りたくて、斬りたくて斬りたくて斬りたくて仕方がない。敵を斬って、自分を確かめたくて。敵を斬って、相手を貶めたくて。敵を斬って、血を見たくて。血をすすりたくて。血を満たしたくて
仮面の男,……まったく。変わった女性だ。僕は君のようなヒトを、今までに見たコトが無い。だが、だからこそ、愛おしい
桜色の女,―――いざ。覚悟めされよ、鉄仮面卿。その、ココロを隠す気障な仮面、叩き割り……。すべてを私の前にさらけ出せ。私の目を見ろ。私の手を見ろ。私の足を見ろ。私の刀を見ろ。私の、私の――――。私の、モノに、なれ
仮面の男,断る。あいにく、僕は、楽しい年末年始の旅行中なのでね……。ここで君に生を絞り取られるワケにはいかないのさ！！
執事,待てェェェェェェッ！！！
キノコ頭,待てと言われて待つバカがいるか！それ、窓から飛び降りろ！
教授,はなせー！！
テロリストA,こ、この列車時速何キロだと思ってるんですか！？。さすがに生身で転げ落ちたら死にますよ！！
キノコ頭,う、むむ……。言われてみれば、そうだな
テロリストB,なら、一度屋根に登って、そこから飛び降りましょう！。上からほぼ垂直にジャンプすれば、衝撃は最低限で済みます！
キノコ頭,それだ！お前ら、そこのハシゴから屋根に登れ！
運転士長,―――させるか！！
キノコ頭,何？屋根への通路が塞がっただと！？
運転士長,ふふふ……。この列車の防衛システムの一つ、隔壁封鎖だ。本来は対魔族用にと仕掛けた、戦闘の被害を最小限に留めさせるシステムだが……。こうして侵入者の逃亡防止に応用するコトも出来る。驚いただろう？
副運転士,そりゃ驚きますよ！？なんでドライ・ブラー号ってそんなモンついてるんですか！！
運転士長,これで列車の内部は、ウナギの寝床のように一本道だ……。ハイジャック犯よ、逃げ続けろ！逃げたところで逃げ道は無いがな！！
キノコ頭,くっ……！！
白ドレス,―――さあっ！私も、ただ一人の傍観者として、特等席での見物といきますか！
執事,逃げるなァァァァァァ！！！
キノコ頭,俺たちとて逃げたところで逃げ道がないなら逃げたくなどないッ！！
白ドレス,え？え？なになになに！？う、うわあ――――――ッ！！。う、うぅ……。ヒドい、ヒドすぎる……。大天使たる私を足蹴にしまくっていくなんて。がく
黒コート,まるで台風だな……。いや、正しく、列車を襲った嵐か。……って、あ、アレ？
革ジャン,あれ？この女、客室でヤクやってた白ドレスの姉ちゃんじゃねーか
白ドレス,だから私ヤク中じゃないからねっ！？
黒コート,ちょっと、何でお前が踏まれて……。いや、貴女が踏まれてらっしゃるんですか？
革ジャン,あれ？待てよ……。白い、乳デカ姉ちゃん……。やっぱりコイツが、件の白の大天使じゃねえのか？
黒コート,ギク！！
白ドレス,ちょ、ちょっと、ハナシが違うよ時空整備課？私の身柄は見逃すんじゃなかったの！？
黒コート,っ～～～……。ああ、もう！！
キノコ頭,スイートルーム……！つまり、ここを抜ければ食堂車の６号車だ！。さっきの爆発で、食堂車の壁には穴が開いていたハズだ！そこから脱出するぞ！
テロリストC,了解！！
執事,そうはさせるか！くらえッ、回し蹴りっ！！
キノコ頭,え？何、ゴハアアアアアアッッッ！！！
副運転士,ん？今、カチって……
運転士長,あ、あれは！魔界の術式自動防衛装置だ、伏せろ！！
副運転士,え。術式……？
キノコ頭,ぎゃああああああああああああ！！！！！！
テロリストD,あばばばばばばばばばばばばばばばばばば
運転士長,コレはこの列車のモノじゃない。スイートルームの乗客が防衛用に仕掛けたモノだな……
ウェイター,相当用心深い性格の魔族の乗客なのかね？しかし、部屋が焼けちゃったよ
ウェイトレス,掃除するのは私たちなのに、ホント、困るなー
キノコ頭,し、死ぬかと思った……。だがココが食堂車だ！
ヒーロー,そうはさせるか！とうっ！
キノコ頭,なっ！俺たちの上を飛び越えただと！？
ヒーロー,すたっ。HAHAHA！どうだ！食堂車の穴を使いたければ、立ち塞がる俺を倒して……
料理長,ぬっ！さっきの赤色仮面！！
ヒーロー,え？
料理長,死ね！
ヒーロー,投げナイフぅぅぅっ！！？
キノコ頭,何か知らんが、全弾命中したぞ！今だ、穴に飛び込め！
小型メカ,―――させません！！
テロリストA,あ、圧縮レーザー砲！？焼けるうううううう！！！
キノコ頭,最近のメカは高性能だなあ！くそっ、ラウンジの屋根にも大穴があった、そこから逃げる！！
マスター,―――なにやら、騒がしいですな
キノコ頭,しまった！ラウンジにいるのは、あのマスターだ！！
テロリストA,無理です俺たちじゃ絶対に勝てません！
白ドレス,ああああああどいてどいてどいてぇ――――――！！！
キノコ頭,なんだ？翼の生えた女が飛んできた！？
教授,あれってウワサの白の大天使じゃないの？
副運転士,白ドレスのお姉さん？と、お姉さんに捕まってるのはタイムパトロールのお二人！？
黒コート,白の大天使、この状況を何とかしろ！お前なら出来るだろ！？。出来なきゃ殺す！！
白ドレス,ふえーん、キョーハクだぁー。普段は冷静な人がパニクると一番手がつけられないよぉ
革ジャン,なあ、お前……。俺たちの味方なのか、敵なのか、どっちだ？
白ドレス,低い！声が低いよコワいよ！？私が君たちに何をしたっていうのかなぁ！！？
マスター,―――天使の翼！！貴様が、魔王の言っていた天界の者か！！
白ドレス,ちょっシュボッって何、ああ、右手を飛ばした音か―――ってええええええッ！！？
キノコ頭,食堂車どころか、ラウンジまでも……！くそ、こうなりゃ逃げられるところまで逃げてやる！！。ロビー！！たしかココは、アル○ォート派が戦いに行ったくらいで、他には何も……
フロント,ああ、ガキ使終わっちゃったなぁ……。あの後テレビを修理して、ついつい最後まで観ちゃったけど。やるコト無いし、朝まで寝てようかな？
テロリストB,フ、フロントにも乗務員がいます！！
キノコ頭,こ、この列車の乗務員の例なら普通じゃない！気をつけろ！
副運転士,フロントさん、ソイツら捕まえてください！！
フロント,え？また揉め事ですか？
テロリストC,ハ、ハルバードです！あのフロント、斧槍を持っています！！
キノコ頭,なんで列車のフロントがハルバードなんか持ってるんだぁぁぁ！！？
テロリストD,後ろの絵画とかと同じ飾りモノじゃないのか！！
フロント,……？それはモチロン、銀行でもどこでも、真っ先に狙われるのはロビーなので。襲撃があった場合、初めに襲撃のあった場所で迎撃するのは当然では？
キノコ頭,暴力団の事務所か何かか、この列車は！？う、うわああああああっ！！！。ロ、ロビーもダメだ！９号車に逃げるぞ！
テロリストA,はい！で、でも、どこまで逃げるんですか！？
車掌,いや、貴方がたの逃亡劇は、ここまでですよ
キノコ頭,新手の乗務員！？
副運転士,車掌さん！
運転士長,車掌くん！無事だったか！
車掌,ええ。今のところ後方車両では何も起こっていませんので、コチラの応援に駆けつけました
副運転士,あ、そういえば。車掌さんと一緒にいた、剣使いのヒトたちは……？
車掌,ああ、彼らですか……。彼らは既に向かいました。自分たちが行くべき、戦場に
運転士長,……そうか。ならばココからは、我々の戦いというワケだな
執事,さあ……。お嬢様を返してもらおうか
テロリストB,へっ、やなこった！俺たちは教授の“最強の兵器”でたけ○こ派を倒すのだ！
教授,バカ！私のコトはいいから、お前は逃げろ！
キノコ頭,ぐ……。だが、この状況……
副運転士,さあ、追いつめましたよー！
運転士長,年貢の納め時というやつだな
フロント,というか何でこんな状況になってるんですか？
車掌,実は、き○ことか、たけ○ことか、色々ありまして……
執事,ジャマするならば……。倒す！！
キノコ頭,数の上でならば、５対５……。正面から戦えば、勝てないとは限らない。だが俺たちは、教授の拘束に一人を割いている。その時点で不利。とはいえ、後ろの副運転士とか運転士長とかいうのは、本当に戦闘力があるのか……？。いや、普通に見えても、この列車の乗務員だ。きっと何かを隠し持っているに違いない。くそっ、万事休すか……！？
テロリストC,リ、リーダー。どうします……？
キノコ頭,手持ちの弾薬も、底を尽きている。正直、もう打つ手が……
テロリストD,あ、ちょっと待てよ。そういやお前、アレ仕掛けてなかったか？
テロリストC,アレ？
テロリストD,ほら。この列車に来た時に仕掛けた、脅迫用の爆弾。たぶんこの車両だったよな？。おとなしく従わないと爆破するぞー、って言うための。まあ、結局使ってないけど
キノコ頭,それだ……！！。お前ら、動くな！！！
副運転士,……！
運転士長,なんだ！？
キノコ頭,……くっ、くくくくくく……。くくくっ、クハハハハハ……！。ハハハッ、クハハハハハ……ッ！！。お前たち、すっかり忘れているようだな。この俺たちが、何者かというコトを！！
副運転士,何者か、って……？たしか、たけ○こ派のヒトたちでしたっけ？
キノコ頭,違う！き○こ派だ！ソコはいちばん間違えてはいけないところだろうが！！。そうではなく……。俺たちがこの列車に来て、初め、何をしたかというコトだ
執事,……ま、まさか！！
キノコ頭,そうだ！もう一度言う、動くな！！。―――俺たちはこの車両に爆弾を仕掛けた！！
フロント,何ですって……！？
車掌,コシャクな……！
キノコ頭,クッククク。形勢逆転というやつだな。爆破されたくなければ、おとなしくしろ！。この列車は俺たちがハイジャックした！！！
族長,―――ぬぅッ！
魔王,チョコマカと……！。焼け消えろ！砕け散れッ！！
族長,くっ……！避けろ！
魔族A,ぐぁッ！！
族長,っ……、しまっ――――
魔王,どこを見ている、青鬼の族長！！
族長,！
魔王,碧夕の名の下に命じる！光よ此処に、舞い戻れ！。大いなる光輝は此の手に、大いなる漆黒は此の空に！。逆光の輝き放つ落陽、今ひとたびの静寂を！！
族長,……っ
魔王,―――吹き飛べ！！
仮面の男,なんだ！？
桜色の女,……！
仮面の男,茜色の光だって……？いったい、上ではどんな戦いが
桜色の女,―――っ！
仮面の男,うおっと！
桜色の女,……！脇が甘いッ！
仮面の男,まったく。喋っている途中だというのに、容赦がないな、君は……！
桜色の女,さもありなん。貴様は会話の最中に突然手元をいじり出す相手を許せるか？。我らの戦いに、場の如何など、詮無きこと。ただ肝要なのは。この場に立っている者がいるか。いるとすれば、それは誰なのか、それだけだろうッ！
仮面の男,っ……！
桜色の女,あぁ……
仮面の男,…………
桜色の女,あぁ……っ
仮面の男,…………ッ
桜色の女,あぁ……っ！。あぁ……、あぁ……っ、あぁ……っ！この感触！。刀の交差する音！汗と汗の混じった醜悪な匂い！鉄と血の混じったかぐわしき薫り！。貴様の表情、わからぬなぁ……。貴様はその仮面の内で、私の表情を、どう見る？。私はこのうえなく楽しい、愉しい、快しい、悦しい！！。貴様のその刃に、私の刃をぶつけるのが！。貴様のその刃を、私の刃が受け入れるのが！。貴様に近づき、その手の震えを感じるのが……。貴様に近づき、私の臓の鼓動を伝えるのが……。貴様と競り合い、鉄の冷たさに私の体温を教えるのが。貴様と競り合い、私の温かさが貴様の冷血を教えられるのが。貴様を斬り、貴様の濁った血を浴びるのが……！。貴様に斬られ、私の濁った血を浴びせるのが……！。私は、たまらなく、たのしい……っ！！
仮面の男,多弁なコトだ
桜色の女,私と貴様の戦いは運命だ。私と貴様は、出会うべくして出会った……。ならばこの立ち会いは、運命だ。因果だ。宿命だ。どちらかが倒れるまで、死合は終わらぬ。そして終わった時、私が貴様の血をすするのか、貴様が私の血をすするのか。斯様なことは、些末で、どうでも良い。どちらにせよ、貴様は私のモノで、私は貴様のモノだ。欲しいんだ、私は、心から。貴様の体が、心が、すべてが……！！
仮面の男,まったく。ワガママだね、君は
桜色の女,ヒトが我が儘であることの何が可笑しい！！
仮面の男,いや、可笑しくはないさ。とうてい笑えるモノではない。だがそれは、獣の道理ではないかな？
桜色の女,獣だと……？
仮面の男,そうさ。ヒトは、獣とは違い理性を保てるから、ヒトたれるのだろう？。男女は相手を思いやるコトから始まると。学校で習わなかったかい？
桜色の女,あいにく、色恋には興味があらぬのでな。だが……。刀を見ると、瞳が熱くなる。強者を見ると、口元が熱くなる。戦を見ると、体が熱くなる。貴様を見ると、腹の底が地獄のように煮えたぎる。その高まりを、貴様にぶつけたい……。それが、私の思いやりというモノだ
仮面の男,……ぷっ。……ふふ、くふふ、ふふはははは！！！。面白い、面白いよ。やはり君は面白い
桜色の女,―――貴様。くだらぬことを考えているな。下卑た口を閉じろ。語るべき言葉があるなら、刀で語れ
仮面の男,いやいや……。君もあれだけ語ったんだ。僕にも喋らせてくれよ。まったく。ディスコミュニケーションだ。相互不理解だ。戦闘言語だ。どうやら、君に刀以外での気遣いというのは……。存在しないらしい。いや、正確には存在するが……。だが君にとっての最上の交流は、刀だ
桜色の女,そのとおり。言葉での気遣い、行動での気遣い……。どれも存在するが、上辺は超えられない。だが刀は、虚言を弄さない。刀に訊けば、どんな人生で、どんな人間か、おのずとわかる。物言わぬ木偶を斬っても仕方がない。そして、冷えた屍の死は尊重されるべきもの。私が斬りたいのは、ヒトだ……。斬ることで、相手を感じたい。それこそが、私の生きる意味、私が存在する意味……。人生の意味だ
仮面の男,なるほどね。ヒトも薄皮一枚剥がせば、しゃれこうべ。君にとって、獣とヒトは、明確別個たるモノで……。斬るべきはヒト、というワケだ！！
桜色の女,来るか。それでこそ我が望み、我が人生……！鉄仮面卿、この刀の錆となれ！！
魔王,―――ここまでか
族長,ぐ……ッ
魔族A,ぞ、族長……
魔族B,大丈夫、ですか……
族長,大丈夫、だ。あとは俺に任せろ
魔族C,そういうワケには、いきませんよ。族長……
魔族D,一蓮托生だって、俺たち。約束しましたから……
族長,……。お前たち
魔王,……なるほど。貴様らの、主従たる絆は真実、まことのようだ。だが無謀な戦いからは部下を遠ざける勇気も必要であると、俺は魔王として忠告しよう
族長,…………
魔王,いや、もう遅いか。青鬼の魔族たちよ。此度の戦いは、良い戦いであった。魔界における大いなる戦の終わった今、その矜持を持つ魔族もそうはいまい。だが貴様らは特別だ。緋雷王の部下だからなどではない。俺がじかに戦って、感じた。貴様らは、魔族を名乗るに値する、勇者であると
族長,…………
魔王,今なら、俺のチカラで魔界に送り返してやる。どうだ
族長,断る
魔王,そうか……。ならばここで散れ！この俺の魂に名を刻む栄誉に震え、そして、逝き果てろ！！。何か言い残すコトは
族長,…………
魔王,……終いだ。っ、ガ…………ッ！！？
族長,……！？
魔王,魔力の矢だと……？いったい、どこから。……！俺に二度同じ術が通じると思うな！！。つうッ！これは、魔力でないな。鉄……、鉄砲か！？
剣使い,ああ、そうだ。気付くのが遅すぎるぜ、奴さん
魔王,何！？
剣使い,ヘッドショットだ、お山の大将！！
魔王,人間……ッ。この魔王を侮るなっ！！
剣使い,うおっと！！
弓使い,よっと！うわ、こりゃヒドい状況だなぁ～。大丈夫？剣ちゃん？
剣使い,ああ……。何とかな
銃使い,立てる？魔族のヒト
族長,……！貴様らは……
剣使い,よう。夕方ぶり、だな。魔族のオッサン
族長,……。お前たちが、どうしてここに……
剣使い,ん？そんなの決まってるだろ。ポっと出の魔王なんぞに倒されちゃ、困るんだよ。……お前を倒すのは、この俺だ
第六章,深夜・後
それでは、第七章,未明・前
魔王,ぬぅぅ……ッ、この魔王の玉体にキズをつけるとは。貴様ら、何者だ！！？
弓使い,通りすがりのフリーターです☆
魔王,ただのフリーターが剣や弓や銃を使うワケあるかぁぁっ！！
剣使い,さて、魔王だか何だか知らねぇが……。とっとと、この列車から退場してもらおうか
銃使い,…………
族長,貴様ら、本気か……？。魔王様は、強い……。魔界でも七本指に入るからこその、七魔公王。たかがニンゲン風情が勝てる相手ではないぞ……
剣使い,ンなモンやってみなきゃ、わかんねぇだろ？
弓使い,本当にコレ勝てるの？死ぬよ！？なんてシチュエーション、今までにも何度もあったもんねー
銃使い,人間死ねば、それまで。だけど、だからこそあがいてみせる
魔族A,……！。……ぞ、族長
族長,……なんだ？
魔族A,俺は。コイツらのコト……。信じてみても、良いと思います
族長,何……？
魔族B,そうですよ。俺たち魔族でも、魔王さまに逆らおうなんて奴、なかなかいない……
魔族C,だけど、相手が強者たる魔王であるとわかって、なお挑む……。それは。俺たち魔族の真の精神、そのものではありませんか……？
族長,……！
魔族D,不屈の精神。リスペクト、ってやつですよ……！！
魔王,……人間
剣使い,なんだ？
魔王,貴様らの考えは、よぉくわかった。つまり俺が、魔王であると知って。七魔公王の一角であると、なお知って。それでも脆弱な人間の身でありながら、なお、この俺に挑むと？
剣使い,ああ。そして、倒す
魔王,…………
剣使い,…………
魔王,…………。フッ。良い目だ。俺はかつて、同じ天雷のごとき稲光のような目をした人間の男と出会ったコトがある。俺が唯一、友と認めた人間のコトだ
剣使い,へえ。そんな奴がいて、今も生きているなら、俺も一度戦ってみたいモンだな
魔王,ああ。案外、すぐ近くにいるかもしれん。奴が手隙になれば、訪ねてみるがいい。―――もっともその未来、訪れるに能わぬ、夢物語であろうがな！！
剣使い,……！
弓使い,すさまじい魔力……！並の人間なら、浴びただけで昏倒だろうね
銃使い,…………
族長,……待て
剣使い,おい！大丈夫か、立てるのか！？
族長,このくらいでくたばっては、族長の始末がつかぬ。こやつらへの示しもつかぬ。お前たちは、よく戦った。後は、俺に任せて休んでいろ。お前たちは、俺のジマンの部下だ
魔族A,族長……っ！！
族長,……魔王よ。ここからは、魔族と魔族の戦いではない。貴方様を倒すためだけの戦いだ。たとえ俺たちが勝利せしめても、我らの処罰は変わらぬであろうが……。だがそれでも剣を取ろう
魔王,ふん。貴様たちの全力に、その助力が加わるのは当然だ。条件は変わらぬ。来い！人間どもよ、魔族どもよ。その小さき手で、大いなる栄光を奪い取ってみせるがいい！！
剣使い,望むところだ、魔王。姐さん、ジュー、行くぞ！！
弓使い,おうよっ！
銃使い,…………
魔王,まずはアイサツ代わりだ！ふんっ！！
弓使い,あらまあ、オオゲサなコトですよって……。でもその戦法、ちょっと大味過ぎない！？
魔王,何！？
弓使い,私の得意技は奇襲なモンで！その魔法陣、最初に見た時に、セットしておいたんだよ！！
魔王,ちぃっ……！
剣使い,足下がお留守だぜ、魔王さん！！
魔王,なんだと！？。ぐっ……。まずはあのスナイパーを始末せんコトには始まらんか！！
弓使い,おっと私狙い！？参ったなあー、オトリとか慣れてないんだけど、まぁそれはそれで！
魔王,ぐぬううううううっ！！！
族長,避けさせんよ、その連射！燃えろ、燃えろ、燃えろ！
魔王,うおおおおっ！！こざかしいッ！！
銃使い,よっと
仮面の男,こ、今度は大爆発だって！？
桜色の女,くッ……！！
仮面の男,やれやれ、１号車が丸焼けだ……。床も、柱も、展望台も、何もかもが燃えている。こうなっては僕らの身も危ない。ここは一旦、お開きとするべきじゃないかな？
桜色の女,場の如何など詮無きこと、言ったはず。ここがどこであれ、二匹の剣の鬼が出会ったならば。果たし合うは、ただ一つのみ
仮面の男,二匹の剣の鬼……、か
桜色の女,そうだ。貴様の理に則るのであれば、犬でも、獣でも、狼でもよいぞ。いずれにしろ、敵の肉を食らい尽くすのは変わらぬ
仮面の男,なるほどね。それが君の、相手への思いやり、気遣い、理解、と言ったか。だがそれは、あまりにも悲しくはないか？
桜色の女,何？
仮面の男,僕らはヒトだ。こうして語るべき言葉を持ち、ささやくべき愛を持つ。だのに、殺し合うしか、理解の手段が無いとは……。いささか不便、ではないかな？
桜色の女,そんなことか。ならばそれも、言ったはず。言葉もいいだろう。行動もいいだろう。それはヒトのみが持つ、理性の表現なれば。だが、私には……。どうしてもそれが、虚ろに見える。まるで鏡面の出来事のようで、訝しい。だからこそ、刀に訊く。刀が斬った体、流した血は……。すべて真実であるだろうから
仮面の男,僕はそこまでは思わないのだがね。この世は楽しい。たとえ命のやり取りなどせずとも、ヒトは争えるし、ヒトは助け合える。もっとも、僕が介入したせいで、少々大事になってしまったようだがね……
桜色の女,何の話だ
仮面の男,僕はこの戦いで君に斬られるコトはない、というハナシさ
桜色の女,……！
仮面の男,だって、そうだろう？この世には、美しい女性もたくさんいる。さっきだって、それでも呼びたければ教授さんに再会したばかりだ。君を倒して、僕は、彼女を追わねばならない
桜色の女,何かと思えば、女の話か……。気に食わぬな。虫唾が走る。不愉快だ。決闘の最中に、他の女のコトを考えるなど。構えろ、鉄仮面卿。貴様の脳髄を、私の血で染めてやろう
仮面の男,……くっくく。だから君、それは……。……いや、やめておこう。君の理解とは、殺し合いそのもの。常人のモノサシで測れるそれではなかったね。だが安心してくれ。いつだって、君が僕にとってのいちばんだ。君のような、ねじ曲がった表現を持つ女性を、他に見たことはない。だからこそ、僕は君のトリコなんだよ。ラブズッキュンだ
桜色の女,殺すぞ
仮面の男,すまない。だけども、僕は自称しよう！愛と正義の戦士を！。そりゃあ、度が過ぎて、君に斬られるコトもあるが……。そこはそれ。僕は女性の愛のために戦い、万人の正義のために戦う
桜色の女,妄言だな。言葉では何とでも言える。行動では如何とでも出来る。その感情、その想念が、真実か。それは刀に訊けば、わかることだ
仮面の男,やれやれ。議論は平行線、というワケか。だがそれでいい。僕の言葉一つで変わってしまう君など、君ではない。しかし、愉悦に浸る、君ではなく……。桜のように可憐な君も、一度は見てみたいモノだ。ゆえに、僕はここで死ぬコトは出来ない。僕は剣の鬼であっても、それだけではない。生きる。生きて、逃げおおせ、愛と正義のために生きる。そのために、僕は君を倒そう。……春風のごとき、桜色の剣士よ
桜色の女,上等だ。ならば、その生ぬるい心構え！散り行く桜の嵐となるがいい！！
仮面の男,君との戦いは、本当に楽しい……。だけど女性を斬るのは僕のポリシーに反する！難しいモノだ！
桜色の女,ぜああああああッ！！！
仮面の男,ぬうっ！
桜色の女,これで終わりだァッ、鉄仮面―――！！
仮面の男,来い、桜色の剣士よ……！。この一撃をもって、君への花束としよう！！
ヒーロー,ま、待ってくれ！俺たちは味方だ！。この列車をハイジャック犯から助けに来た正義の味方なんだ！！
料理長,何……？
小型メカ,そ、そうなんです。この風体では、信じてもらえないかもしれませんが……。実は、私たち、き○こたけ○こ大戦を止めるために、未来からやって来たんです
料理長,ふむ。何やらき○こたけ○こを巡る未来人がいる、とは士長から聞いていたが……。それが君たちだったのか！
ヒーロー,ソ、ソッコーで理解してもらって助かる。というワケで、良かったらナイフ、抜いてください。イタイ
小型メカ,しかし、キノコ頭のハイジャック犯たち、既にどこかに行ってしまいましたね……。教授さんを助けるにしても、居場所を探すのから始めるのは、この状況では
料理長,それなら、屋根の上から探せばいいんじゃないかな？
ヒーロー,それが屋根への道は、あの士長が隔壁封鎖してしまってな……
料理長,そういうコトか。それなら、この食堂車に開いた穴を使うといい。案外君たちは良いヒトそうだ。き○こたけ○この争いを止める、と言ったね。食べ物をダイジにするヒトに、悪いヒトはいない
小型メカ,さ、散々ナイフ投げといて、なんだか説得力がありませんけど……
ヒーロー,まあ、なんでもいいさ！ありがとう料理長！それじゃあ屋根の上に出てみるとしよう！
白ドレス,ハッ……！！
黒コート,え……？どうかしたか、大天使
マスター,―――隙あり！！
革ジャン,あっ
白ドレス,ぎゃああああああ！！？つ、翼がもげた―――！？
マスター,この腕は、神殺しのための武器……。天使であれば、斬るもたやすい
白ドレス,う、うう。死ぬ。このままじゃ死んじゃうよ、この列車、バケモノばっかりじゃん……。っと、そんなコトよりも！聞いてください、時空整備課！
黒コート,はっ！？右の翼がもげたのは、そんなコトで片付けないほうがいいと思うが
白ドレス,いや、そんなコトだよ！今から数分後、ある乗客の命が危ない！
