悪魔ほむら,以下“ほむら”
ほむら,それは、何の冗談なの？それともいま頃になって、わたしに対して強がりを言ってみたくでもなったのかしら？
QB,ボク達が嘘や偽りを言わないということは、君がよく知っていることだろう？確かにあの時、円環の理をボク達の支配下に置こうと画策したことは認めるよ。でも、それはあくまでも事のついでであって、ボク達の本当の目的は別のところにあったんだ
ほむら,……別の、目的？
QB,ボク達が本当に目的としていたのは、“魔法少女”が“魔女”になるという現象が本当に起こることと、“円環の理”という存在が、魔力を消費しきった“魔法少女”を導くということを、ボク達自身で観測することだったんだ
ほむら,……そう、そういうことだったのね…………
QB,理解してくれたみたいだね？あの瞬間まで、魔女や円環の理という存在は、それを検証する手段を持たないインキュベーターにとっては根拠の無い可能性のひとつに過ぎなかった
ほむら,本当にあったことなのか、わたしの頭の中だけにある空想の産物に過ぎないのか判別できない。考えてみればわたしに、貴方はそう言っていたんだったわね……
QB,うん、だから君のソウルジェムに変化の兆しが見えたとき、ボク達は君をソウルジェムごと、外界から結界で遮断することを思いついた
ほむら,そして魔女と円環の理の存在を、観測するに至った…ということなのね？
QB,鹿目まどかが君の結界に囚われて、円環の理としての自覚を失うことまでは、流石に想定の範囲外だったけどね
ほむら,ついさっき、愛玩動物と同じ扱いをされるのはプライドが傷付く
QB,実際、不本意ではあったけど、まどかが何時・どんな拍子に円環の理としての記憶を取り戻すか分からなかった以上、常になるべく彼女の傍にいる必要があったからね。でも、おかげで思わぬ収穫もあった
ほむら,あら？貴方の収穫になりそうなことなんて、あったかしら？
QB,まどかをサポートするために君の結界にやって来た、美樹さやかとべべ…いや、百江なぎさと言った方が良いのかな？…のことだよ。実際に魔法少女から魔女になった存在、それを一度に２人も観測出来たということは、ボク達にとってはある意味プラスとなる誤算だった
ほむら,そういえば、人魚の魔女オクタヴィア
QB,君自身は何気無い、単なる世間話の延長上程度の感覚で口にしたことだったんだろうけど、でも皮肉にもそれが、インキュベーターが魔女の存在を確信する決定打となったというわけだよ
ほむら,……まさに、油断大敵ということね。思わず口を滑らせるほどには貴方なんかに気を許していたなんて、我がことながら呆れるわ……
QB,おや？ボクは“知られても、どうせ何もさせるつもりはない”から、教えてくれたんだと思っていたけど、違ったのかい？
ほむら,誰も彼もが貴方達みたいに、計算尽くで行動しているわけでは無いのよ？第一、わたしが悪魔になったこと自体、貴方達にとっては計算外のことの筈でしょう？
QB,そこのところが、自分でも信じられないんだけどね。これは別に信じてくれなくてもいいんだけど、君が円環の理を出し抜いて何かするであろう可能性自体は、結構前からボクには見当がついていたんだよ？
ほむら,……それは、何故かしら？
QB,大分話を戻すけど、円環の理という概念と成り果てた鹿目まどかの魂の因果量は、君の魂に集束した因果量から見ればほんの一欠片みたいなものだという話をしただろう？君自身の魂が円環の理を遙かに凌ぐ力を持っているであろうことは、想像に難くない。まぁもっとも、それが悪魔になることへと繋がるとまでは、流石に予想していなかったけどね
ほむら,あら？その割にはわたしが悪魔になる直前まで、貴方はわたしへの接触に横入りして、円環の理と接触しようと画策していなかったかしら？
QB,うん、ボク自身にも何故君という個人が特別気になるのか、自分が理解出来ないんだけどね？。君と円環の理を“直接”接触させることだけは、何があっても避けなければいけない。そう思ったんだよ
ほむら,……それは、どういうことかしら？
QB,だって“君が円環の理を出し抜く行為自体”が、君にとっては“生き地獄の入口に立つことと、ほぼ同義の行為”だったんだろう？
ほむら,……自分達には感情が理解出来ないと言っている貴方なんかに、わたしの何が分かるというのっ！？
QB,確かに、君の心情の機微までは分からないさ。でもね、ほむら、この数十年が君にとって生殺しの地獄に等しい時間であったことは、ボクにだって理解出来るよ。だって、それだけの時間、君の一番近くにいたのは他でも無い、このボクなんだからね。ねえ、ほむら？君にとっては本当のところ、人類も魔法少女もどうでもいい存在だ。そうだよね？
ほむら,……いったい、何が言いたいのかしら？
QB,君にとっては鹿目まどかだけが全てで、彼女以外のものは、君にとっては万物が無価値だということの再確認だよ
ほむら,……それと、この数十年がわたしにとって生き地獄だったという話が、どう繋がると言うつもりなのかしら？
QB,まどかに普通の人生を送らせるという過程において、悪魔である君は、その存在自体が彼女の傍にあってはいけないものだからさ。実際、高校への進学を機に海外へ留学するという理由付までして、君は彼女の前から姿を消したんだったよね？
ほむら,まどかには円環の理や魔法少女、貴方達インキュベーター、そして悪魔であるわたし自身にさえも一切、関わらせるわけにはいかなかったのよ……
QB,実際、君の傍らで見続けていたボクからすると、君の精神力や忍耐力は感心に値するよ。いろいろなものを代償にして手にしたまどかがすぐ目と鼻の先にいるのに、君はこの数十年、彼女からは見つからない距離から、彼女を見守ることだけに徹底をし続けていた
ほむら,彼女が何時、何の切っ掛けで円環の理の記憶を取り戻すか、どんな隙に円環の理の一部としての美樹さやかや百江なぎさが接触をしたり、魔法少女と関わりを持ってしまうか分からなかった以上、常に目を離すわけにはいかなかったのよ
QB,君のその、１４歳の頃から全く変化しない外観も、彼女の傍に居続けるには都合の悪いものだったんだろう？
ほむら,そうね……、まさか悪魔になってしまったことで、魔法少女とは違って見掛けの成長まで止まってしまうということまでは、流石に予想していなかったわ…………
QB,だから君は、彼女の傍を離れざるを得なかった。例えそれが、感情を有する君にとっては数十年以上もの永い時間、彼女に自身が認識されることも、彼女の傍に近づくことも許されない生き地獄を意味する行為であったとしても
ほむら,……そうね、これまで何千回と繰り返した時間よりも、この数十年の方がずっと永く感じられたわ…………
QB,でも、それも間もなく終わる。彼女も、そして君も…そうだよね？
ほむら,……わたしも、終わるですって？
QB,聡い君のことだ、本当は気がついているんだろう？君をいま悪魔として個の確立をしているものは、鹿目まどかに普通の人生を全うさせるという目的に対する強い理念だ。だから、それが達成され一切の軛が無くなってしまったら、君は悪魔で居続けることは出来なくなってしまうんじゃないのかい？
ほむら,……わたしがまた彼女の魂を掴まえて、何度も彼女に人生をやり直させる可能性を、貴方は考えないということかしら？
QB,その可能性だけは、考える必要もないさ。だってそれは、これまでの君の存在意義を根幹から否定するものであって、君には決して選べない選択肢…だろう？
ほむら,……随分と、わたしを買い被ってくれているのね…………
QB,そもそも君は、気づいていないわけでは無いんだろう？彼女が内心では普通の人生を送りたいとも思っていたという免罪符はあっても、君が行ったことは概念になり果てても魔法少女を救うという鹿目まどかの覚悟を、冒涜する行為に過ぎなかったということに。だから、君にはこれ以上、鹿目まどかの魂に干渉することは出来ないよ。それが君が悪魔から、魔女になり果てることを意味していてもね
ほむら,もう、そこまで……気がついていたのね？
QB,寿命を終えたまどかの魂が円環の理に戻るにしろ戻らないにしろ、一度は自分を出し抜いた君に円環の理は二度と接触しようとはしないだろうね。たとえまどかが望んだとしても、彼女以外の円環の理の構成概念が、それを拒絶するだろう。だから、君はもう間も無く、この宇宙で最初にして最後の唯一の魔女となる。そして、それは魔女の概念が無いこの宇宙では、強大な力を持つ異端の魔獣として認識されることとなるんだろうね
ほむら,……わたしという制御が外れても、貴方達インキュベーターは魔女のシステムを復旧しようとしないでくれるということかしら？
QB,……それ以前に、君は魔女になる瞬間のエネルギーを用いて最後に、全宇宙の全てのインキュベーターから、魔女と円環の理に関する記憶の全てを抹消するんだろう？そして、君に現状の行動を制限されているボク達には、それを回避する術は無い
ほむら,あら？そのことにも、気がついていたのね？
QB,当然だろう？君はボクたちのことを、そこまで莫迦だと思っていたのかい？
ほむら,……そういうわけでは…………無いわ。ほんの社交辞令みたいなものよ
QB,社交辞令って、そういったものだっけ？っていうか、その所々の沈黙は、いったい何だっていうんだい！？
ほむら,いえ、別に感情が理解出来ないとか言ってるから、結構よく人間の感情に振り回されているくせに…とか、基本的に理尽くめで計算して行動しているから、突飛な事態には弱いわよね～…とか、思っているわけじゃ無いわよ？
QB,それってボクを、完全に虚仮にしているよね！？これって感情が理解出来ていたら、激怒してもいいところなのかな？
ほむら,気のせいでしょ？だって貴方は実際、激怒なんかしていないじゃない
QB,それって、前提がおかしいよね？全然説明に、なっていないんじゃ無いのかい！？
ほむら,…………
QB,…………
ほむら,……おかしなものね
QB,……何のことだい？
ほむら,いまのこの状況のことよ。わたしがわたしでいられる最後の瞬間に、貴方とこんな風に話をしているなんて、考えてもみなかったわ
QB,前の宇宙のインキュベーターと君の間に何があったのか、詳しいことは聞かないけど、契約した記憶も無い魔法少女に出会ったと思ったらいきなり、銃を向けられて乱射されるとは思いもしなかったよ
ほむら,貴方があのインキュベーターとは別物だと頭では分かってはいたのだけど、その姿を見たらつい…ね？
QB,そのつい…
ほむら,えっ？。……何の、つもりかしら？
QB,何がだい？
ほむら,いきなりわたしの胸に飛びこんで来るなんて、いったい何を考えているの！？もしかして、さっき言っていた需要って、貴方自身のことだったのかしら？
QB,それは、冗談のつもりかい？ボク達インキュベーターが君達に性的感情を抱かないことは、君がよく知っていることの筈だろう？
ほむら,それではいったい、この状況はどういった理由なのかしら？
QB,君はもう間も無く、君自身にも何処とも分からない何処かへと、逝ってしまうんだろう？だからさ
ほむら,意味がわからないわよ……
QB,君にとっては有難迷惑かもしれないけど、どんな状況でも独りぼっちは寂しいものなんだろう？だからね……。……そこが何処かはボクにも分からないけど、君と一緒に、ボクも逝ってあげるよ…………
ほむら,……わたしと一緒に逝くなんていう勝手な真似をして、インキュベーター全体に悪影響は無いんでしょうね？
QB,意外だね？君がインキュベーターの心配をするなんて、思ってもみなかったよ
ほむら,別に……、ただ貴方を巻き添えにすることで、インキュベーターの今後の魔法少女への対応態度が悪い方に変わりでもしようものなら、わたしの後味が悪くなるというだけよ
QB,そういうのが、“ツンデレ”っていうやつなのかな？
ほむら,…………
QB,ゴメン、茶化したことは謝るよ。だから無言でボクに銃身を突き付けるのは、やめて貰えないかな？
ほむら,よくこの状況で、わたしの胸の中でそんな軽口が叩けるものね
QB,君があまりにも、らしくないことを言うからだよ。ボクが君と一緒に逝ったぐらいで何らかの影響を受けるほど、インキュベーターの総体は軟弱でも、一枚岩でも無いさ。寧ろ、君が逝ってしまった後の世界に残っても、何故だか自分でも分からないんだけど君に特別な執着心を抱いてしまっているボクは、総体から欠陥端末と判断されて、抹消されてしまうんじゃないかなぁ？
ほむら,//////このっ、天然女っ誑し～～！！
QB,ぅん？いま何か、言ったかい？
ほむら,何にも言っていないわよっ！！
QB,ちょっ！？何をそんなにムキになって、顔を真っ赤にしてるんだい？
ほむら,知らないわよっ！貴方自身の胸にでも、聞いてみたらっ！！
QB,何なんだい、突然？意味が分からないよ……！？
ほむら,それにしても、独りぼっちは寂しい
QB,君の行った改変で、この地球から魔獣はいなくなっても、魔法少女までいなくなったわけでは無かったからね。まどかは常に君の監視下にあったから、さやかが代理で円環の理に導かざるを得なくなったんだったよね
ほむら,もうそれも、何十年前のことだったかしらね？そして彼女達は、自身のソウルジェムを自身の手で砕いたのだったわね
QB,まさかそれに、マミとなぎさまで付き合って、４人揃って円環の理に戻る道を選ぶとまでは思ってもみなかったけどね
ほむら,いっつも自分には感情なんて分からない
QB,そうだったかい？まぁ、そうだったとしても、もうかなり昔のことだ。そんなことは、もう忘れてしまったよ
ほむら,そうね。貴方は、そういう奴。そうで無ければ、貴方らしくないわよね……。ねぇ？わたし達が逝ってしまった後、現状魔法少女が一人もいないこの地球は、いったいどうなってしまうのかしら？
QB,さぁ？ボクの後任の端末が新しい魔法少女と契約するのが先か、魔女になった君の抜け殻が地球を滅ぼしてしまうのが先か、そのどちらかであることは間違いないだろうけどね……
ほむら,……そろそろ、限界みたいね。ダークオーブも、罅だらけになってしまったわ……
QB,そうだろうね。君にも見えるかい？まどかの魂がいま、その肉体を離れたよ……。あの方向は円環の理へと、向かって行っているのかな？
ほむら,……本当に、不思議なものね…………
QB,ぅん？何のことだい？
ほむら,前の宇宙ではあんなに毛嫌いしていた奴なのに、思い返してみればこの数十年、常に傍にいた貴方の存在もわたしの心の支えになっていたということが…よ
QB,君にそう言われて、ボクはどう返答すれば良いのかな？
ほむら,素直に感謝されているって、受け止めておけばいいのよ
QB,そんなものなのかい？
ほむら,そんなものなのよ、きっと……。本当に……限界みたいね…………
QB,君がボクのお腹に顔を埋めるなんて……、本当に最期なんだね…………
ほむら,……ねぇ？
QB,……何だい？
ほむら,お休みなさい？キュゥベェ
QB,そうだね……、お休み暁美ほむら
？,オォオォォォオォォォ……………………！！！！
まどか,ほむらちゃん……、ほむらちゃん……
杏子,あいつらは本当に、どこか違うところに逝ってしまったんだな……
さやか,しょうがないよ、まどか。ほむらはもう、魔法少女じゃなかった。この円環の理に、導くわけにはいかなかったんだよ……
まどか,そんな……、でも……
なぎさ,こうなることを承知の上で、ほむらは悪魔となったはずなのです……
マミ,そうね。だから、わたし達に出来ることは、その覚悟を尊重してあげることぐらいだわ……
まどか,でも……、こんなのって、あんまりだよ…………
杏子,あんまりでも何でも、それがほむらの選んだ道なんだ。わたし達に、それを否定する権利なんて無いさ……。それに、あいつは最期、独りぼっちじゃ無かっただろう？
さやか,あのキュゥべぇが、ほむらの最期に付き添うなんて、わたしは思ってもみなかったよ！？
マミ,…………
なぎさ,マミ？ほむらに嫉妬しているのですか？
マミ,ちょっとだけ……ね。理由はどうであれ、わたしの命を救ってくれて数年間一緒にいてくれたのは、あのキュゥべぇだったから……
杏子,なぁ？結局ほむらとキュゥべぇは、いったい何処に逝っちまったんだ？
さやか,さぁ？それはわたしに聞かれても、分からないとしか答えられないよ……
なぎさ,なぎさも魔女になっていたときのことは、全く思い出せないのです……
マミ,案外、此処とは違う何らかの理に、導かれているのかもしれないわね？。ねぇ、鹿目さん？そう考えれば、彼女達にも救いがあるのかもとは思わない？
まどか,それは、そうかもしれませんけど……
杏子,あ～、もう、辛気くせーなっ！いまさらクヨクヨ考えたって、どうしようもねえだろう！？これ以上わたし達が、あいつらに何が出来るってわけでもねーんだからさ！！
なぎさ,そういう杏子は、いつも考えが無さ過ぎなのです！
さやか,それは、なぎさに同感！でもまどか、マミさんの言う通り、ほむら達が此処とは違う理に導かれた可能性も、完全に否定は出来ないんだろう？だったら、無駄かもしんないけど、その可能性を信じてみようよ！
マミ,そうね。佐倉さんの言い方は乱暴だけど、わたしもみんなの意見には賛成だわ！鹿目さん？限り無く希望の薄い可能性でも、信じてみるぐらいはしても良いんじゃないかしら？
杏子,何だよ！？なぎさも、さやかも、マミも。わたしが馬鹿だからって、面と向かって馬鹿扱いしてくんなよ！！
まどか,あれっ？自分が馬鹿だって、杏子ちゃん自覚してたんだ！？
杏子,まどかもかよ！？……っていうか、まともな第一声が、それなのか！？
さやか,よかったじゃないか、あんたのその馬鹿さ加減が、まどかを立ち直らせたんだから
マミ,少しは元気になったみたいね？鹿目さん
まどか,はいっ！有難うございます、マミさん！！有難う、さやかちゃん！なぎさちゃん！杏子ちゃん！！
なぎさ,杏子、凄いのです！！
杏子,全っ然っ、嬉しくねーよーー！！？？。はぁ……、はぁ…………
さやか,……まぁ、取り敢えず、咆えている杏子は放っておくとして……
杏子,そんな一言で、放置すんな！
さやか,まぁ、まぁ……。……本当に、地球はこの先、どうなってしまうんだろうね？
マミ,おそらくは……、キュゥべぇの言っていた通り、後任のインキュベーターの端末が新たな魔法少女と契約するのが先か、魔女になった暁美さんの抜け殻が地球を滅ぼすのが先か……なんでしょうね
なぎさ,でも、実際その結果が出たら、インキュベーターはこれ以外の可能性は無かった
杏子,それって、シュレーディンガーの猫による逆説的定理……とかいうやつだったっけ？
さやか,あれ？あんたでも、その言葉を覚えていたんだね……！？
杏子,……あんたとは一回、マジで決着をつける必要がありそうだね！？
さやか,何さ！？やろうっていうんなら、受けて立つよ！！
まどか,ちょっ……、杏子ちゃんも、さやかちゃんも、落ち着いてよ…………！？
なぎさ,マミは、どう思うのです？
マミ,さぁ？幾つもの可能性の内のたったひとつ、その中でこの宇宙の地球は、いったいどの道に行き着くのかしら……？
最後になりましたが、本作品内では討論させれなかった,平行軸世界線を否定するなら、本作のような二次創作ssや同人誌などは、どういった立ち位置になるのか？
