で書いています。,話の都合で６人目が少しだけ出演しています
紗代子,……。ふぅー………。あー……もう！私ってばなにやってるんだろう
未来,先パイ？
紗代子,ううん、なんでもない。それより、さっき未来ちゃんのしていた話だけどね。同じ話だと思うわ、私も。未来ちゃん！
未来,は、はい！
紗代子,私、未来ちゃんと会えてよかった。ありがとう
未来,えっと……どういたしまして？
ロコ,カンバセーションは終わりましたか？そろそろ試合をリスタートしますよ
紗代子,ごめんロコちゃん……私、やっぱり第5ビーチバレー部が好きみたい。だから
ロコ,なんですって
未来,紗代子先パイがこちらのコートに！
恵美,杏奈先輩にくわえて紗代子先輩まで仲間になったら百人力だよ！
杏奈,ロコ……これでもう決着……だよ……
ロコ,……。フフフ……決着？笑わせないでください。４人対1人になったからフィニッシュだというのですか？。たしかに１人ではレシーブからトスやスパイクにつなげることすらインポッシブル。勝つ方法などありません。普通ならそうでしょう。ですが！ロコはキング！。キング’ｓルールその４！アトモスフィアなどドントリード、ジャストビーマイセルフ。教えてあげましょう。あなたたちの相手など、レシーブさえできればイナフだと！
恵美,ぜ、絶対に強がりだよ！この状況から勝てたりするわけがない
紗代子,ううん、違う。あの表情は、絶対に自分が勝つと信じている表情。はったりなんかじゃない
恵美,マジで…!?でもたしかに、すごい圧を感じる
杏奈,ロコは死ぬ気でレシーブを打つ気……杏奈にはわかるよ。とてつもない大技が来る
未来,じゃあこちらも戦いましょう、命を懸けて！
紗代子,未来ちゃん、まさか
未来,封印していた魔法の力を使います
恵美,あれは使っちゃいけないって練習の時に言ってたじゃない！危なすぎて使えても一度だけだって
未来,その一度がいまです！マジカルパワー開放！。行きます！”マジカルシャボンサーブ”！！
恵美,未来の全魔力がボールに込められたサーブ！その威力は超電磁砲を超えて超熱線の域にまで到達する！さらに……
紗代子,シャボンのように消える弾道を持つ……！
杏奈,ほ、本当に消えた！どこに落ちるのかギリギリまでわからないってこと？これなら行けるかも！
ロコ,ビーカームですロコ……いつものプラクティスを思い出して
恵美,キングが目を閉じてしまった⁉ボールが見えないからやけになったの？
ロコ,大丈夫……ずっと繰り返してきたムーブです……。何ミリオン回、何ビリオン回も……。ボールなんて見えなくてもロコボディが反応してくれるはず……。……っっ!!アイキャンレシーブ！
恵美,現れたボールがキングの両手の真正面にぃ⁉
ロコ,くらいなさい！”SunshineRhythm”!!
恵美,返された？でも真上に打ち上げてる！コントロールが効かなかったんだ！
紗代子,違う！これは……
ロコ,”SunshineRhythm”はサンシャインのパワーを借りる技。ボールは一度成層圏を超えたあと、サンシャインのパワーを吸収して地上へフォールダウンします
紗代子,見て！空に太陽がもう一つ現れた！
恵美,極小の太陽並みのエネルギーを持ったってこと⁉まずいよ！
未来,そんなの止められる人なんて……
杏奈,杏奈が止める。一度も試したことのない技だけど、やってみる！。月にいるウサギさんたち……力を貸して。”VividRabbit”！！
恵美,え、何をして……空に月が現れた！昼なのに！
未来,しかもあの月、動いてる！
ロコ,これがアンナの本気だというのですか……
杏奈,月も……広い意味ではバレーボール……だから……。このボールで……ロコの太陽を……止めて見せる……よ。アタ……ック！
ロコ,止められるはずがありません！ブレイクスルーしなさい”SunshineRhythm”！
未来,月が動き始めた2つ目の太陽に向かっていく！
紗代子,そして今、激突……した！
恵美,やったの⁉
紗代子,いえ、これは……！月と２つ目の太陽、両方とも粉々に……！
杏奈,そん……な……
ロコ,ふう……少しだけコールドスウェットをかきましたが
恵美,杏奈先輩、もうあの技は……？
杏奈,月がないから使えない……よ……
恵美,じゃあ……もう一度あの”SunshineRhythm”を使われたら……
紗代子,ええ……その時点で止める方法のない私たちはゲームセットよ……
ロコ,アンダスタンドしたようですね。さあ、双方のボールがロストしたので先ほどのポイントをやり直しです。最期のサーブを打ちなさい
恵美,未来も杏奈さんも力を使い果たしてしまってる……どうすれば
紗代子,私がサーブするわ！
恵美,紗代子先輩！
紗代子,大丈夫、任せて。恵美ちゃんも私の必殺サーブの力は知っているでしょう？。集中して、紗代子……あなたならできる。弱い自分はコートの外に置いてきたでしょう。”サマートリップゴールデンフィッシュ”!!ハッ！！
恵美,すごい！これまで見てきた中で最大級の炎！鮮やかなフレアが幻の金魚伊勢ハナフサのように！
ロコ,サヨコの”サマートリップゴールデンフィッシュ”は途中で跳ねて軌道が変わる変化球。さっきと同じ……読むんです、ボディ全体で。ライトか、レフトか、レフトか、ライトか……レフトです！
恵美,キングが左に動いた！紗代子先輩の打球は……右へ！逆だ、よっしゃあ！
ロコ,まだですぅうううううう！！
恵美,まさか！その体勢から切り返すの⁉
ロコ,フッ……アイキャンレシーブ！！。これでジ・エンド・オブ・ザ・ドリームです！”SunshineRhythm”!!
紗代子,またレシーブが空の向こうへ！くっ、これで……もう手が出せない
未来,まだです！まだやれます！
恵美,未来！もう休んでないとダメだって！
未来,まだ手はあります！私の最後の魔力で！。静香ちゃん、恵美ちゃん、紗代子先パイ、杏奈先パイ……これまで会ったすべての人たち。お願い、私に最後の力を貸して……。これなら飛べる……ジャンプアップ！！
紗代子,未来ちゃんが空へ⁉……そうか、”SunshineRhythm”はまず太陽の力を吸収する必要がある。ならその前に叩けば……
杏奈,”SunshineRhythm”を……破れる！
紗代子,未来ちゃん、あとはあなたに託すわ……お願い
未来,っ……ロコ先パイのレシーブ、すごいスピードだ。間は詰めたけどなかなかボールに追いつけない！なんとか宇宙空間にたどり着く前に止めなきゃ。見えた！あれだ！もうすぐ追いつける。よし、さすがにスピードが落ちてきてるんだ……本当に？違う！もう太陽のパワーを吸収し始めているんだ！。ま、間に合わなかった……。ううん、まだ。まだあきらめない！。あきらめない！どんなボールだって止めてみせる！。さぁ来ぉい！。こっちへ来た！。!!!!!!!?。うぁあああああああああああ!!。強い！触れただけで両腕が粉々になりそう……！。ああああああああああああ!!。止める！止めるんだ！。ぐ、ぐうううううう止まれえええええええええ！！。あっ⁉。取りこぼした⁉。ああ……。もう……どうしようもない。終わったんだ、これで……私のビーチバレーの初試合が
恵美,まだあきらめるのは早いって!!
未来,！？恵美ちゃん！どうしてここに
恵美,決まってるでしょ！。受け取って！アタシの最高のトス！
未来,うん！
恵美,未来！アタシ動けたよ！大事な一歩、踏み出せた！
未来,ありがとう恵美ちゃん……恵美ちゃんにはなんども勇気をもらっちゃってるね。私、絶対に決めるよ。この大事な一撃を。静香ちゃんにも届けるんだ。……見てて。私、打つよ。いつだって不確かな未来に向かって、ただまっすぐに打つよ。明日にはまた悩んで、怒って、笑って。そんな未来にたどり着くように。全力で。”ミライウルトラスーパーギャラクティカマジカルハイパースパイク”ｩｳｳｳｳｳｳｳｳｳｳ！！。この思い、君に届けええええええええええええええええ！！
紗代子,空が、光った……
ロコ,ザッツトゥーバッド、ミライは夜空のスターの仲間になりました。”SunshineRhythm”を止められるはずがありません
杏奈,待って、あの光
ロコ,マイガー！ありえません！
杏奈,流れ星みたいに見えるけど……
紗代子,未来ちゃんのスパイクだわ！
ロコ,……来る！。……ふんっ！！
杏奈,流星がロコの待ち受けてた両手に！
紗代子,爆風がこちらにまでくる！
ロコ,んんんんぃいいいいいいいいいいいいいいいいいい！
紗代子,受け止めた？でも拮抗してる！
ロコ,ロコはキング！ロコは負けない！。アイ……キャンンンンンンンンンンンンンンンンン
紗代子,まだ粘れるの！？
ロコ,ンンンンンンンnotレシイイイイイイイイイイイイイイイイブ！！
紗代子,ロコちゃんが吹っ飛ばされて未来ちゃんのスパイクが砂浜に……決まった！。これでゲームセットね！
杏奈,うん……
紗代子,あ、見てあれ！。未来ちゃん！宇宙から帰ってこれたのね！
未来,はい
紗代子,見てたよ！すごかった、未来ちゃんの”ミライウルトラスーパーギャラクティカマジカルハイパースパイク”！
未来,いや、あれは……みんなが打たせてくれたんです。紗代子先パイも杏奈先パイも恵美ちゃんも、みんなの力があったから。……ハッ。恵美ちゃんは？
紗代子,それが……まだ
未来,そんな……まさか
紗代子,考えたくはないけど、宇宙の塵に……え、嘘！あそこ！
未来,隕石が砂浜に……ちがう！恵美ちゃんだ！
恵美,ｱｲﾀﾀﾀ……。にゃはは、髪型で上手くクッションになってくれたみたい。アホ毛が付いたキャラデザじゃなかったら危なかったよー
未来,恵美ちゃんんんんん
恵美,こらこら、未来はまた抱き着いてきて……。甘えん坊さんかー？
未来,だって”え”えええええええ
紗代子,恵美ちゃん、私からも。帰って来てくれて本当に嬉しいわ。これで第5ビーチバレー部のメンバー、元通りね！
未来,ごれがらも3人でがんばっでいぎまじょうねええええ！！
恵美,泣くなってー！もう
杏奈,ロコ……負けちゃったね
ロコ,はい。これでもう無敗のキングではなくなってしまいました
杏奈,うん……
ロコ,これからは、ロコはロコです。ただのロコです。……バット。ただのロコが勝ち上がっていく。これも最高にインタレスティングでアメイジングなエンターテインメントって思いませんか？。アンナにそんなロコのビサイドにいるﾗｲﾄアームになってほしいなって思うんですけど……どう、ですか？
杏奈,ロコ……！
ロコ,どうもロコはアンナと一緒にプレイしたほうが調子がベターみたいです。無茶なプレイはどこまで減らせるかわかりませんが……ドゥーベストします。だから
杏奈,うん！杏奈もいい外科医さん知ってるから紹介する……ね
ロコ,ですけど……。キング’ｓルールだけは曲げたくありません……わがままですね
杏奈,うん……知ってる
ロコ,……。……ミライたち、楽しそうですね
杏奈,そう……だね
ロコ,まあ、ウィナーですしね……いや、ううん、なんでもありません。んー！！……よし！ビーチバレー、しますよー！
静香,～～……。窓の外……いい天気だな……。……
♪♪～～,静香のスマホが鳴る
静香,あら。未来から？。……ビデオ通話？なにかしら。～ッ⁉。耳が壊れるかと思った……。ちょっと未来、あなたいきなり。！。ちょ、ちょっと落ち着いて。話が全然わからないわ。それにさっきから後ろで声がたくさん聞こえててよく聞き取れないの。はあ……、未来ったら……高校生になっても騒がしいのね。知ってるわよ、もう
