本田未央,ただいま～疲れたよ～
モバＰ,ん～今回は勝手に俺がボールに当たっただけだし。結果的にお二人を守れたのは良かったですけど
美優,あの、Ｐさん。一回二回は偶然かもしれません。でも三回となるとそれは必然……ううん、運命だと思いませんか？
モバＰ,う、運命？話が噛み合ってないような……えっと、明確に助けたって感じなのは、最初の時だけで……
美優,今言ってることは、そこじゃないんです。シンプルに……その……出会えたことです
モバＰ,え、あの……手……
美優,奇跡だと思いました。でも奇跡は起きないから奇跡……なら、二人は会うべくして会った、出会った……運命、だと……
モバＰ,み、美優さん？あの……
美優,はっ！ご、ごめんなさいっ！私ったら何言って……
留美,美優。一応言っておくけど、それ私にも言えることなのよ？ふふ
美優,うぅ……留美さんのいじわる……恥ずかしい……
モバＰ,は、はは……
拓海,……なんかイラつくな。凛達にチクってやろうか……
モバＰ,たくみん！腹減ないか！？ここ名物のうどんがあるらしいんだ！一緒に食いに行こう！
拓海,フンっ！バーカ。…………奢りなら行ってやらんでもない
モバＰ,へへ、ありがとうごせぇやす
拓海,巴は？
巴,うちはええ。今いいとこじゃ！ぶちかませぇ！おまえが決めろぉ！
留美,私達は遠慮したほうがいいようね。ほら、美優。涙目にならない
美優,ぅぅ……
拓海,……和久井の姉御、変な勘ぐりはやめろよっ！
モバＰ,よしっ！うどんデートに出発だ
拓海,く、くだらねぇこと言ってんじゃねぇ！あ、待てよバカっ
美優,……いいなぁ
留美,……同意
美優,！？
巴,いよっしゃぁぁ！破天荒じゃあ！！
合法口リ,うわぁぁ！おっきいの入っちゃたぁ！
巴,昨日の試合、引き分けはなんか煮えきらんのう。勝てたと思ったんじゃが
拓海,まあ、楽しかったからいいじゃネェか。あの点の取り合い燃えたぜっ
巴,そうじゃな。お互いノーガード殴り合いって感じで熱くなれたしの。お？Ｐ、新幹線来たみたいじゃ
モバＰ,おー、そうか。それでは、俺達一足先に帰りますね。わざわざ見送りありがとうございます
留美,いいのよ。私達もこれから電車で宮島に行くんだし
美優,あの……連絡しますから、その……また……
モバＰ,ええ！飲みにでも行きましょうね！
美優,はいっ！楽しみにしてますから……約束、ですよ？
モバＰ,うっす！留美さん、今度は俺が隠れた名店ってやつに案内しますね！
留美,ん、楽しみにしてる。……あのね、Ｐ君。もし私達が……
モバＰ,？
留美,ふふ、なんでもないわ。近いうちにまた会いましょう。ね、美優？
美優,……はい。私も決めました
モバＰ,え、ええ。……？？
拓海,Ｐ、またギリギリになるぞ。そろそろ乗ろうぜ
モバＰ,そうだな。それじゃ宮島楽しんできてくださいね
巴,鹿には気ぃつけぇの。あいつら、若干人をナメとる感があるけぇ
拓海,和久井の姉御なら鹿ごときに遅れはとらねぇよ。美優さんをバシっと守ってくれんだろ
留美,向井さんの私への認識が気になるところだけど、まあ気をつけるわ。……あら、発車メロディーね
美優,では、みなさん。またお会いしましょう
巴,うん。またの
拓海,おう、それじゃーなぁ！
モバＰ,美優さんが意味深……おわっ！
留美,ほらほら、乗り遅れるわよ。寝過ごさないようにね
モバＰ,は、はい……では、また。お疲れさまです。出張から帰って来ましたよ～っと
巴,うちらも、出張になるんか？
拓海,さぁ？カチコミでいいんじゃねぇの？
モバＰ,不穏だな、おい。あっちで時子さんも不穏な空気を醸し出してるけど
杏,なに冷静に見てんのさ！くるみが杏にしがみついて盾に、盾にっ！！
モバＰ,うん、まあ……何かあったら杏を頼れって言ってたから
杏,貴様っ！杏は全力で人に頼る側の存在なんだ！ていうか、鞭怖いっ！目怖いっ！
時子,……
くるみ,っ……っっ
拓海,くるみ、声も出せんぐらいビビってんな
巴,こっちにも気づいてないのう
モバＰ,時子さん、どうしたんです？流石に鞭を振り回すのは駄目ですよ
時子,別に当てる気はないわ。ただ
くるみ,！？ぷろでゅーしゃー！ふぇぇ、ぷろでゅーしゃーぁぁ
モバＰ,おおっと。ほとんどタックルだな
時子,……どこまでも癇に障るわね
モバＰ,まあまあ。それで何が？
時子,たいした事じゃないわ。そこのトロトロしてるのにデビューしたことを伝えただけよ。跪けって
モバＰ,脈絡のなさにびっくり。あ、それはそうとイベント成功したみたいですね。安心しましたよ
時子,クックック……この私にとってアイドルは天職だわ。下僕達の私を崇める様が可愛いもの
モバＰ,可愛いっすか……
時子,次は貴方が私に付き従いなさい。私を崇める下僕達を眺めることを許可するわ。アーッハッハッハ！！
モバＰ,……うい
巴,パンチ効いとるのう……
拓海,Ｐのズボン、くるみの鼻水でテッカテカだな
巴,密かに机の下で乃々が体育座りしとるの
拓海,居たのか……
巴,杏はもう寝とるの
拓海,……
巴,パンチ効いとるのう……
拓海,頑張ろうな……
巴,うん……
モバＰ,おはよーございまーす
アイドル達,おはようございまーす
モバＰ,……え、多くない？
ちひろ,ふふ、凛ちゃん達は午後から仕事なんですけどね
凛,学校が休みの日じゃないと、朝からプロデューサーに会えないからね
卯月,仕方ないね
モバＰ,……すぐに担当アイドル達をレッスンに連れていくけどな
杏,プロデューサー！凛ちゃん達が悲しそうな顔してる！女の子を悲しませたら駄目だよ！ここは涙を飲んでレッスンを中止にしよう！そしてここでだらだらしてよう！
モバＰ,お前必死すぎ。ほら行くぞ
ちひろ,あ、プロデューサーさんは送って行ったらすぐ帰ってきて下さいね。新しいアイドル候補の方と顔合わせしますので
モバＰ,はい。そういえば先輩スカウトしたって言ってたな。あれ？でも見学じゃなかったっけ……
杏,プロデューサーだけずるい！杏もすぐここに帰ってくる！
モバＰ,何言ってんだお前。みんなもう車に行ったぞ。ほらほら
杏,小脇に抱えるなぁ！ぬぉ～はなせ～
ちひろ,行ってらっしゃ～い
モバＰ,ただ今帰りまし、たぁ！？
美優,Ｐさん！来ちゃった。あはっ
モバＰ,あらかわいい……じゃなくて！どうしてここに！？
留美,私もいるわよ。美優テンション上がりすぎ
モバＰ,留美さんも！？
留美,私にはかわいいって言ってくれないの？せっかくアイドルになろうと思ってたのに
モバＰ,マジっすか！？かわいい！かわいい！！めちゃくちゃかわいいです！！！
留美,……ごめんなさい。かわいいって言われるのは思ったより恥ずかしいわ
モバＰ,じゃあ綺麗ッス！いや～うれしいなぁ！
美優,む～……
モバＰ,もちろん、美優さんも綺麗ですよ！
美優,ふふ……ふふふ。Ｐさん、Ｐさんっ
留美,……美優。ちょっと壊れすぎよ
トライアド,
未央,呆然ってこういう状態のことをいうんだね
卯月,口がポカンって開いてるね。そしてここに、さっき買ってきた熱々のおでんがあります
前川,いや駄目だよ？
卯月,じゃあ、未央ちゃんが？
未央,こんにゃくならなんとか
美嘉,みんな動揺しすぎ。プロデューサー説明して。私達も二人とさっき会ったばかりなの
モバＰ,おお！そうだな。この前広島に行ってたろ？その時に仲良くなってな、スカ
トライアド,誰！？広島にしようって言ったの！？
凛,加蓮でしょ！
加蓮,奈緒じゃん！
奈緒,凛だろ！
トライアド,そうだったぁ……
未央,あの三人見てたら落ち着いてきたよ
卯月,おでんはおいしく食べるべきだよね
みく,よくよく考えたらＰちゃんと仲良しな娘、たくさんいるにゃ。凛ちゃん達もいつもなら余裕あるのになんでかにゃ？
美嘉,言い方悪いかもしれないけど想いの重さが違うっていうか……年齢も近そうだし。むぅ……アタシだって……
モバＰ,……ウトをしただけなんだが
ちひろ,二人共お待たせしました。この契約書に判子を押してもらったら手続きは終わりです
留美,わかりました。これからよろしくお願いします
美優,はい。精一杯頑張ります
ちひろ,確かに頂きました。ふぅ……これから仲良くやっていきましょうね
留美,ええ、もちろん。……Ｐ君、この歳でアイドルをやらせるんだから、ちゃんと責任とってね？
美優,あっ！留美さんずるいです！Ｐさん私だって！
モバＰ,もちろん責任もって、トップアイドルに！
留美,ふふっ……まぁそう言うわよね
モバＰ,そうですね。プロデューサーですから
美優,む～
トライアド,あぅあぅ……
先輩Ｐ,……よし。わかった
モバＰ,何がですか。今まで黙ってたと思ったら
先輩Ｐ,お前がスカウトしてきたから、担当はお前にしようと思ってたけど私が担当するわ
美優,え！？
留美,ちょっと自分を出し過ぎたわね……
モバＰ,……あ～、了解です
美優,そんな！？
先輩Ｐ,特に深い意味はないけど、お前ってアイドルと恋人になることを会社が許したらどうする？
モバＰ,……どうもしませんよ。ファンの方を裏切る事は絶対しません
先輩Ｐ,つまりアイドルと恋人になることは絶対ないと
モバＰ,はい
トライアド,異議あり！
未央,はいは～い。ちょ～とこっちでおでん食べてようねぇ
トライアド,プロデューサー後で話そう……
モバＰ,ん。遠慮しとく
トライアド,こ、このっ……
卯月,凛ちゃん達ハモリすぎっ！
美優,わ、私……やっぱり
ちひろ,判子……押しちゃいましたね？
モバＰ・美優,ひぃ！？
先輩Ｐ,なんでお前もビビッてんだよ。美優さん、我々は悪徳事務所なわけではないですから、何か思うとこがあって辞めるというなら止めません。その契約書もシュレッダーにすぐかけましょう
モバＰ,ちひろさん……
ちひろ,プロデューサーさん。その視線の意味を問い詰めていいですか？
モバＰ,いえ……
ちひろ,キィ！むかつくっ！
先輩Ｐ,んんっ！……でもですね、あなたには手放すには惜しい素質があります。個人的には一緒にトップを目指して欲しい。どうですか？
美優,……
留美,はぁ……人のこと言えないけど、美優ちょっと浮かれすぎて短絡的になってるわ
美優,……え？
留美,ここでやっぱりアイドルやーめたっなんて、Ｐ君どう思うかしら？
美優,でも……留美さんはいいんですか？その……Ｐさんは……
留美,そんなもの百も承知よ。あのＰ君が後ろめたいことする訳ないじゃない
美優,だったらなんで……
留美,お互いを理解しあって絆を深めるには時間が必要だもの。アイドルとプロデューサーなんてうってつけじゃない……担当が替わったのは想定外だけど
美優,……
留美,先のことなんてどうなるかわからないけど、とりあえず言えることはこの契約は二年契約ってことね。そして、契約終了後のことについては特に制約はないわ
先輩Ｐ,……え？マジで？
ちひろ,……社長に報告しときます
留美,……こんな契約もう出来ないみたいよ？どうするの？
美優,そう……ですね。確かに私浮かれ過ぎてました。大体、Ｐさんに振り向いてもらってもないのに……
留美,ん。私もお人好しね。ライバルに塩を送るなんてね
美優,ふふっ。そうですよ。……Ｐさんの横に並べるように、お互い頑張りましょう
先輩Ｐ,それじゃ？
美優,はい。すいませんでした。いい歳して幼稚なことしてしまって……これからよろしくお願いします
先輩Ｐ,良かった。こちらこそ、よろしくお願いします
モバＰ,未央……こんな時どんな顔すればいいかわからないの
未央,あれ完全に告白だもんね。モテ男はつらいですねっ！ふんっ！
モバＰ,怒っちゃいやん。大体モテ男だったら彼女いると思うんだ。DTなめんな？
未央,セクハラっ！
美嘉,……プロデューサー、まだなの？
モバＰ,どうかな？ふっふっふ……
卯月,なんの話ですか？
みく,卯月ちゃんはあっちで一緒におでん食べるにゃ
凛,……どう思う？
奈緒,し、知らねぇよ！
加蓮,最終的に私の隣にいれば……でも、くっ！気になるっ
先輩Ｐ,そういえば、もうすぐ仙台でスカウトした子が見学にくるから
モバＰ,言ってましたね。今日は新人祭りですね
先輩Ｐ,まだアイドルやってくれるかわからんけどな。……お、噂をすれば駅についたみたいだ。メール来た。ちょっと向かえに行ってくる
モバＰ,へ～い。いってらっさ～い
ちひろ,どんな子ですかねぇ
モバＰ,精神的に防御力が高い子だといいですね
ちひろ,なんですか、それ
モバＰ,だってこいつら偶にぶっ飛んだことするから。攻撃力高いでしょ。猫娘いるし
みく,どーゆー意味にゃ！？むしろ癒す側にゃ！ねっ？未央チャン！
未央,？
みく,にゃあ！！
未央,しゃー！
モバＰ,ほら、キャットファイトとか始めますもん。意味合いが違うけど
美嘉,女の子の戦いなんだから合ってるでしょ？
モバＰ,……だよね
美嘉,あ、ゲスい顔
モバＰ,……
ちひろ,まあ、みんな良い子ですから多少のことなら平気ですよ
卯月,凛ちゃんどうしたの？
凛,何か美優さん以上の波動を感じる……
美優,え！？は、波動……？
加蓮,留美さん以上の敵にしたくない何かも感じる……
留美,褒められてるのかしら……
奈緒,気のせいだといいけど……何かオーラが……
モバＰ,……多少？
ちひろ,だ、だーいじょうぶ！これ以上の子なんてたくさんいますから！普通普通っ！ふ、ふふ……
モバＰ,引きつってますやん
先輩Ｐ,ただいま。この子が今日一日見学する……
佐久間まゆ,佐久間まゆです。邪魔にならないようにしますので、すいませんが今日一日よろしくお願いします
ちひろ,千川ちひろです。よろしくね、まゆちゃん
まゆ,はい。よろしくお願いします
モバＰ,俺は……そうだな、名刺渡そう。こういうものです
まゆ,ご丁寧にありがとうござい……ま……す
モバＰ,えっと……何かな？
まゆ,…………………………………………うふ
モバＰ,あの……
まゆ,先輩Ｐさん。まゆアイドルやります
先輩Ｐ,お、おう……ちひろさん。そういうことになりました
ちひろ,は、はい。……………………攻撃特化だこれ
まゆ,Ｐさん。運命って信じますか？
モバＰ,え、え～と……偶然が三回続くと運命だという説が……
美優,……
まゆ,……うふ
美優,！？
まゆ,まゆは一目で感じました。Ｐさんにプロデュースしてもらうために来たんだって。これって運命ですよね
先輩Ｐ,担当は私だぞ
まゆ,……聞き間違いでしょうかぁ？まゆのプロデューサーは
先輩Ｐ,私だ
まゆ,……
凛,運命ね……ふっ
まゆ,渋谷さんですよね。……何がおかしいんですかぁ？
凛,私のこと知ってたんだ。別になんでもないよ。ただ、かわいいなぁって思っただけ。夢見る少女みたいで。運命……ふふっ
まゆ,そうですね。まゆは穢れの知らない少女ですから、運命を感じとれるんですよぉ？渋谷さんは年下なのに、擦れてるんですね……うふ
凛,どういう意味かな？
まゆ,渋谷さんが感じとったままでいいですよ？
凛,……ふ、ふふっ……一つ言っとくけど、プロデューサーはリアリストだから。運命の人とか鼻で笑うよ、ハッ何だそれって
モバＰ,俺リアリストなんですか？
先輩Ｐ,知らんがな
モバＰ,ハッ何だそれ。もうちょっと気の利いた……すいません調子乗りました殴らないでやめてやめて
先輩Ｐ,アホが。しかし、これ……
まゆ,適当なこと言わないでくださいね。さっき目を合わしたとき、まゆはＰさんと添い遂げるために、この世に生まれたって思ったんです。貴方もそう……感じますよね?ねぇ?
凛,プロデューサー。はっきり言ってあげた方がいいよ。俺には凛がいるからって。ほら、はやく
まゆ,圧をかけて無理矢理言わせようとするなんて、正気ですかぁ？
凛,その言葉、そのままそっくり返すよ
まゆ,……うふ
凛,……ふふっ
先輩Ｐ,どうすっかなぁ……
留美,夢見る少女……
美優,ぅぅ……いじわる……にゃあにゃあ
モバＰ,何このかわいい猫パンチ。みくを超えたなこりゃ……
みく,にゃ！？聞き捨てならないにゃあ！これがほんとのかわいい猫パンチにゃ！
留美,あら、逃げてきたのね。あの子、Ｐ君見て急に雰囲気変わったけど知り合いなの？
美嘉,そうそう。目が完全に凛達のそれと一緒だよ。どこでコマしてきたの？
加蓮,Ｐさんのナンパやろー
奈緒,アニメの主人公気取りっ
モバＰ,人聞きの悪い……。知り合いじゃないですよ。俺も戸惑ってます
みく,……これが、ほんとのっかわいいっ猫パンチにゃっ
モバＰ,所々、前川さんが出てるからっ。ごめんって、かわいいかわいい！
みく,雑にゃっ！前川さん言うな！……にゃ！
卯月,みくちゃん、腰の入ったいいワンツー、ワンツースリーだね
未央,しまむーってほんと何者なの……
卯月,ニュージェネレーションだよ？
未央,……私もだよ
ちひろ,最近お疲れのようですね、どうです？ダースで
先輩Ｐ,頂きます……
ちひろ,毎度っ♪担当アイドル増えましたもんね。あんまり無理しちゃ駄目ですよ
先輩Ｐ,そこは大丈夫です。NG、TPと美嘉。最近はみくも仕事を取るんじゃなくて受ける立場ですから、営業しなくていいだけちょっと楽な面もあるんです。まぁ、ちょっとですけど
モバＰ,じゃあなんでそんな……
先輩Ｐ,まゆと美優さん、留美さんが来てから凛達の発情っぷりが面倒くさいんだよ
モバＰ,発情ってあんた……
先輩Ｐ,私が止めてないとお前がいるからって、夜遅くなっても事務所によろうとしたりするんだよ。腹立つわ～お前
モバＰ,俺なにもしてないっすよ……
先輩Ｐ,腹立つからまたお前に新人つけるから
モバＰ,え？……そりゃ杏達はだいぶ仕事くるようになって、俺も余裕出てきたけど。拓海達もいるし……
先輩Ｐ,余裕出てきたなら大丈夫大丈夫
モバＰ,適当だなぁ……それで、どんな子なんですか？
先輩Ｐ,……え？普通の子？だよ。うん、普通の子
モバＰ,……またそうやって
先輩Ｐ,……マジだって。今回オーディションだったから、エントリーシート見てみ？
ちひろ,はい。これですよ～
モバＰ,確かに。かわいらしい子達ですね。おかしな感じはしませんね
先輩Ｐ,だろ？んで、実はもう会議室に居たりします
モバＰ,いつの間に……ずっと待たせてたんですか？
ちひろ,打ち解けてもらうために、ちょっと自由にして貰ってたんですよ。でも、そろそろ行ってあげたほうがいいですね
モバＰ,わかりました。んじゃ、行ってきますね
先輩Ｐ,行ってら～。……頑張れー
モバＰ,流石に先輩も、そう何度もしょーもない嘘なんか言わないか。……普通の子達ならむしろ俺が個性的なキャラでいくのも……。って、行き過ぎた。とりあえず、場の流れで決めるか。……よしっ！。入るよ～。始めまして！今日から君たちをプロデュースさせてもらうモバＰです。よろしく！
神崎蘭子,今こそ創世の時!
佐藤心,はぁとはとってもスウィーティー♪
モバＰ,………………………………………………………………三番、優勝！
鈴帆,よっしゃ！
