怪談,かいだん
マリ,うにゃ!?
シンジ,ちょっ
カヲル,・・・
ミサト,あ、青葉くん・・?
冬月,ふむ
マヤ,う、嘘だよね
日向,おい・・
青葉,・・・なーんて冗談ですよ!そんな音なんて聴こえませんって
アスカ,ふ、ふん。そんなのわかってたわよ。幼稚なことすんじゃないってーの!
綾波,子供騙しもいいとこ。深夜２時に貞○と○レディと佳○子が自宅訪問する程度のレベル
マリ,ま、まぁまぁかにゃ。わたしとしてはちょっとビクッただけだしぃー。全然恐くなかったよいやほんとまじで
シンジ,あ、アスカ?む、胸が腕に当たってるんだけど
アスカ,は、はぁぁ!?///アンタなにしてくれてんのよこのドスケベ!!痴漢大魔王!歩く猥褻物!
シンジ,りふじんっ!?
マリ,む。・・わんこ君だいじょぶ?やっぱ姫みたいにガサツじゃないわたしには怖かったかにゃ。にゃーにゃーもう少しこのままがいいかにゃー
シンジ,ちょっちょ!?マリさん
アスカ,一生にゃーしか言えなくしてやろうかしら?
綾波,碇君私もぽかぽかしたい
アスカ,ちょっ!?おもっ!ファーストあんたわざとやってるわね!こら、髪引っ張んな!頭越しにシンジに抱きつこうとしてんじゃないわよ
リツコ,毎回毎回騒がしいわね
加持,はは、中学生らしくていいだろリっちゃん。こっちに比べたら・・
ミサト,青葉くんは思いやりって言葉の意味が分からないみたいね。次の人がどんな気持ちになるか考えてなかった?え、どんな気持ちかって・・こんな気持ちよっ!
青葉,葛城三佐ッ!だ、ダメです!小指の可動限界とっくに越えてますって!ヒトに戻れなくなりますって!
ゲンドウ,落ち着け葛城三佐
ミサト,チッ
冬月,何にせよ思わぬ伏兵といった所だったぞ
日向,ですね。正直シゲルのことただのギターロン毛だと思ってたから見直しました
青葉,貶なすのか褒めるのかどっちかにして
マヤ,私は怖かったなぁ。青葉くん凄いと思ったよ
青葉,ま、マジで?
マヤ,うん。そんな経験してるのに平然としてるなんて男らしいんだね
青葉,。(ここにきてフラグが建ったのか?伊吹ルート突入!?確率変動きちゃいましたー!!)
ミサト,てい
青葉,え?・・・・いだだだだだだ!?葛城三佐!肘はそれ以上曲がりませんから!ひ、捻るのやめて!折れちゃう折れちゃう!
ミサト,幸せそうな顔してたからつい
青葉,酷すぎなんですけど・・・その理由
ミサト,だいたいねー青葉くんちょっち話盛ってるでしょ。白状しないと次は首いくわよ首
リツコ,遂にはいちゃもんつけ始めたわねミサト
冬月,露骨に脅しとるしな
青葉,え、いや、それは
ミサト,あ?
青葉,だ、だから
ミサト,あぁ?
青葉,・・・はい。ちょっと盛りました
マヤ,えぇー!嘘だったの?
青葉,だってさ普通に話したら面白くないかなーって・・まるっきり嘘じゃないのは確かだけど
ミサト,浅ましいわね。特典目当てでホラを混ぜるなんて
アスカ,(すごい・・ミサトが言うと説得力皆無だわ)
青葉,嘘じゃないんだからいいじゃないですかー!ちょっとぐらい
冬月,葛城三佐、その辺にしておきなさい。多少の嘘が悪い訳ではないしな
ゲンドウ,うむ
マヤ,確かにそうかも
青葉,み、みんな
マヤ,私は嘘をつく人は嫌いですけど
青葉,・・ちくしょおぉぉ!!
ミサト,あああー・・私の番かぁ
アスカ,ミサト
ミサト,あ、アスカ。そんなにこわい顔してどうしたのよ
アスカ,ミサトなら大丈夫だって信じてる。信じてる。うん。ほんっっと信じてるから
ミサト,ちょっ・・やめなさいよその真顔!プレッシャーかかるじゃない!
シンジ,アスカってば必死になってるけどそんなに温泉行きたいのかなぁ
マリ,猿は温泉すきだからねー(鈍感だにゃあ)
カヲル,フラクラなシンジきゅンきゃわわ(ふふふ。見てて面白いね)
マリ,・・ホモさ逆になってる逆に
ゲンドウ,葛城三佐。準備はできたか?
ミサト,はい・・
リツコ,ああ、楽しみねマヤ。さぞ恐ろしくて戦慄する・・それこそ自我崩壊を引き起こして魂が凍りつき地獄の釜が開かれるような話をミサトはするんだから
マヤ,はは、ですね(ぼっち発言に相当怒ったんだろうなぁ先輩)
シンジ,ミサトさん頑張ってください
アスカ,頼んだわよミサト!
ミサト,・・リツコ覚えてなさいよあんた。んじゃ話すわよ。これは外国にいる友達から聞いた話なんだけどーー。ーーーおしまいよ
日向,・・・
リツコ,・・・
ゲンドウ,ふむ
青葉,おー・・
マリ,にゃー
マヤ,あぅ・・
カヲル,・・・うん
ミサト,(・・ふふふ。これこそ私の狙い!)。(マヤの話した怪談は感動系・・・受けが良かったのは見て取れた。ただそれと同じ流れだと二番煎じ)。(だからこそ怖さをプラスしたこの怪談に死角はないわ)。(・・・・まあ、嘘はついてないしちょっち盛ったけどほとんど事実だし・・・問題ないでしょ)。(さぁーてリツコぉ!散々いじってくれた分は返すわよぉ!)
マリ,こわいっちゃこわいんだけどさー
レイ,そうね。少しご都合主義過ぎる
ミサト,・・・え?
シンジ,そうかなぁ。僕は面白かったよ
マリ,いやさ、面白いんだけど面白いと恐いはまた違うベクトルじゃにゃい?
シンジ,あー・・・
レイ,ホラー映画で途中までは凄い恐いのに後半で家族の絆やら愛やらで感動させようとする製作者側の虚しさが伝わってくる感じ
カヲル,ダー○ウォーターやシッ○スセンス・・・最近だとM○MAみたいな?
レイ,そう。ハリウッドテイスト
ミサト,・・・え?
日向,確かに詰め込んだ感があったのは否めないが個人的には好きだよこんな話
マヤ,うん。私も
冬月,ふむ・・そうだな。だが最後に至るまでの経緯をもう少し詳しく聞きたかった
ゲンドウ,・・・
ミサト,え、え・・えええ!?。みんな辛口過ぎない!?なんか貶されるより辛いんだけど!
カヲル,いや、まあ・・うん。気持ちは分かるかな
青葉,強いて言うならオチが弱かったんじゃないですか?
ミサト,
リツコ,・・・。ねぇ、ミサト今どんな気持ち?後学の為にどんな気持ちになるか教えて貰えないかしら?
ミサト,
青葉,い、いだだだだだだだだっ!!!!痛い痛い!葛城三佐!!ス、ストマッククローは止めてください!!ってかな、なんで俺なんですか!!?
ミサト,青葉二尉。暴力にはね、理由なんてないのよ。人と人がいれば争いが生まれ憎み合う・・・自然の摂理なの
青葉,いや、それただの八つ当たりでしょ!?い、いっでぇぇ!!
マヤ,か、葛城三佐、その、アスカの様子がおかしいんですが
ミサト,へ?
アスカ,
マリ,ね、ねぇ姫
アスカ,
綾波,・・・大丈夫?
アスカ,
カヲル,聞こえてないみたいだね
シンジ,何か言ってるみたいだけど
アスカ,
ミサト,・・・。アスカ、あ、あのね
アスカ,。ミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサトミサト
ミサト,ひぃぃ!?。アスカ
アスカ,何よ
ミサト,本当にやらなくちゃダメ?
アスカ,早くやりなさいよ
マヤ,せ、先輩
リツコ,なにかしらマヤ
マヤ,想像したら今から笑っちゃうんですけど
リツコ,大丈夫よマヤ。生暖かい視線で見守ってあげましょう
日向,(これはキツイな・・)
カヲル,ふふふ
冬月,葛城三佐、始めるなら早くしたまへ。あと二人残っているからな
ゲンドウ,やるなら早くしろ。でなければ・・・早くしろ
シンジ,何でアスカってばミサトさんにあんなに当たるんだろう
綾波,気にしない方がいいわ。碇君
マリ,(わんこくんの鈍感っぷりが半端ない)
アスカ,ほら、ミサト。みんな待ってんじゃない。やんなさいよ
ミサト,・・・
アスカ,司令に酔っ払って居酒屋にシンジに迎え行かせた時のことバラすわよ
ミサト,むぐぐ・・分かったよわーったわよ!!やればいいんでしょやれば!。えー・・・じゃあモノマネでシンジくんが初めて初号機に乗って歩くシーン
シンジ,え
マヤ,(確かあれって・・・)
ミサト,コォーコォー
リツコ,ぷっ
カヲル,・・・
マリ,エヴァってそんな音だしてなくね・・?
日向,真顔で突っ立てるぞ葛城三佐
ミサト,コォーコォーコォー
カヲル,呼吸音凄いね
青葉,れ、冷静にツッコむのやめてくれよ
ミサト,ズシーンズシーン
加持,歩いたぞ
シンジ,ぎ、擬音語まで
ミサト,ズシーンズシーン・・
アスカ,・・・
ミサト,ズシーンズシッ!?・・・!痛っ!鼻、鼻ぶつけたぁぁ!?
綾波,っ・・しっかり細部までさ、再現してるわ
アスカ,ダメです!初号機活動限界です(裏声)
マリ,ちょっ、なんか姫が演出してるんだけど
マヤ,私あんな声で喋ってないわよ
アスカ,ま、まさか・・・暴走?(低音)
リツコ,
ミサト,は!?ぼ、暴走?そんなのできるわけ
アスカ,暴走?(低音)
ミサト,ちょ、アスカ
アスカ,暴走?(低音)
ミサト,・・・。アォォォォォヲヲヲヲン!!
綾波,さ、叫んだわ・・・初号機が
カヲル,駄目だ、僕も真っ直ぐ彼女が見れないよ
アスカ,初号機再起動!サングラスをかけた髭型の使徒へ突貫していきます(裏声)
ゲンドウ,!?
ミサト,!?
加持,か、葛城
シンジ,サングラスをかけた髭型の使徒って・・・あれは父さんじゃないか
青葉,ブフォ!
日向,シ、シンジ君。俺にはそれが煽りにしか聞こえないよ
綾波,い、碇君。今のタイミングでそれは・・・ずるいわ
ゲンドウ,・・葛城三佐
ミサト,・・・
ゲンドウ,私は司令だ。最早言うまでもないが
ミサト,・・アォーン(震え声)
ゲンドウ,親睦を深めると言ったが度を越えた事は認めていない。今後の君の進退に影響するような事はしない方が身の為だぞ
ミサト,ア、アォーン(震え声)
カヲル,司令のATフィールドがぜ、全開してるね
リツコ,初号機が弱々しくなってるわ・・
シンジ,ミ、ミサトさん、もうこの辺でいいんじゃないですか?アスカも満足したでしょ
ミサト,ア、アォォォン!(感涙)
ゲンドウ,シンジは優しい息子に育ってくれました。心からそう思います。冬月先生
冬月,そうだな碇
アスカ,・・・。ミサト。居酒屋の件と司令から貰っている生活費の2/3がえびちゅ代になってることがバレてもいいわけ?
ミサト,!!!(な、なななんでアスカが、それを・・・)
アスカ,こないだ酔っぱらって帰ってきたときにバックから通帳が落ちてたから見てみたのよ。冷蔵庫に入ってるえびちゅ代と生活費の口座残高が計算すると不思議と一致したのよねー。司令がコレ知ったらどうなるか・・試してみる?。嫌なら何をするかミサトはちゃーんとわかってるわよねぇ
ミサト,
アスカ,さあ
ミサト,
アスカ,どうするのよミサト
ミサト,
ゲンドウ,・・・なんだね葛城三佐
リツコ,初号機と、し、使徒が向き合ったわ
シンジ,ミ、ミサトさんの様子が
ミサト,・・・・ォ
ゲンドウ,まさか、な。葛城三佐
ミサト,・・・・ォォ
ゲンドウ,それは有り得ない事だ。有り得てはいけない事象だ
ミサト,・・・ォォォン
ゲンドウ,・・・
ミサト,・・・。ア、アォォォォォン!アォォォォォン(落涙)
ゲンドウ,グベホッ!?
マリ,・・・
シンジ,やっと父さんもミサトさんも落ち着いたよ・・ってどうしたの?ボーッとして
マリ,恐い怖い
シンジ,え?
マリ,いや、なんか言わなくちゃいけない気がしてさ。何だろね?
シンジ,・・・?
