ラジオ,本日未明……ｻﾞｻﾞｯ…げ出し………く中との……近隣住………さい…ｻﾞｻﾞｯ
提督,ちげぇよ！！バカ！！俺は人間だっての！！これは着ぐるみで……ちょ、こら！！てめぇら！！見てんじゃねぇ！！早くこのゴリラ撃ち殺せ！！！！！！！
卯月,さよなら……ゴリの助！！
フェニックス響,今度ゴリラパークに遊びにいくからね。
長門,さらば！！我が友よ！！
提督,くそがぁぁぁぁ！！！！このボケどもがぁぁぁぁぁぁぁぁ！！！！！！！！！
飼育員,たくさん友達が出来て良かったな！！ゴリの助？
ゴリの助,ウッホウッホホホイ♪
提督,おい、このクソアホ無能飼育員！！とっとと離させ……
ゴリの助,ウッホーー♪
提督,うべぇぇぇっ！！？？？。
ゴリの助,ウホッ♪
長門,そういえば……お兄ちゃんどこ行っちゃったんだろう……
フェニックス響,ウ○コじゃないかな？
卯月,これにて解決ぴょん♪ぷっぷくぷ～♪
ウホ,おつ
