約２年前に書いた前作です。,読まなくても支障はありません。
叢雲,アンタいくらなんでもがっつきすぎ・・・
深雪,え？じゃあ、いらないの？
叢雲,うぅ・・・そ、それは・・・
白雪,まぁまぁ、食べきれるだけ買って帰りましょ。ね？
深雪,おーー！！！
リク,あ！みんな！提督さんは元気？
深雪,もちろん！！今日も今日とてドンシャインのDVD一気に観るって張り切ってたぞ！！
叢雲,あんなことがあったのにお気楽な男ね・・・
白雪,あはは・・・今回は吹雪ちゃんも付き合わされてるみたいで・・・
リク,へぇ～！吹雪も！！ドンシャイン好きが増えるのはいい事！よっし！！僕も今から・・・
ライハ,バイトが先でしょ？
リク,は、はい・・・
モア,今度のライバルはセーラー服女子！！私もまだまだいける！！！ハズ・・・うん・・・
ライハ,さっきから何ブツブツ言ってんの？
提督,どうだった？ドンシャイン！感想を聞かせてくれるかな？
吹雪,はい！とってもかっこよくて、面白いです！！早く続き観ましょう！司令官！！
提督,ははは。気に入ってくれて何よりだ・・・ところで吹雪
吹雪,なんですか？
提督,あの時、なんで単機で出撃したんだ？ウルトラマンがいたとはいえ、かなり危険な行為だったんだぞ？
吹雪,だって私も司令官を助けてみたかったんです！それにですね・・・
提督,それに？
吹雪,ジーッとしててもドーにもなりませんから！！
